Disadvantaged,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount
D,Osceola,DWLSL-160-23,LSLI,919,"$                       40,000",$                                -,"$                       40,000"
D,"Barton, Dade, Cedar, Jasper CPWSD 1",DWLSL-161-23,"LSLI, LSLRP","9,375","178,308$",$                                -,"178,308$"
,Cole  PWSD No. 2,DWLSL-162-23,LSLI,"12,985","$                 1,200,000","$                    1,097,500","$                    102,500"
D,Pilot Knob Rural Water District,DWLSL-163-23,"LSLI, LSLRP","1,449","$                     300,000",$                                -,"$                    300,000"
,Lee's Summit,DWLSL-164-23,LSLI,"9,110","252,255$","$                       149,755","102,500$"
,Fulton,DWLSL-165-23,"LSLI, LSLRP","12,721","$                     250,000","$                       147,500","$                    102,500"
D,Bowling Green,DWLSL-166-23,"LSLI, LSLRP","5,334","$                       80,000",$                                -,"$                       80,000"
,Matthews,DWLSL-167-23,LSLI,635,"150,000$","$                          88,500","61,500$"
D,Laredo,DWLSL-168-23,LSLI,200,"$                       60,000",$                                -,"$                       60,000"
D,Carrollton,DWLSL-169-23,"LSLRP, LSLR","3,514","208,594$",$                                -,"$                    208,594"
D,Drexel,DWLSL-170-23,LSLI,965,"$                     250,000",$                                -,"250,000$"
,Boonville,DWLSL-171-23,LSLI,"7,964","$                       78,100","$                          46,079","$                       32,021"
,Excelsior Springs,DWLSL-172-23,"LSLI, LSLRP","13,198","$                     132,500","$                          78,175","54,325$"
D,Vandalia,DWLSL-173-23,LSLI,"3,553","$                     250,000",$                                -,"250,000$"
D,Wayne & Butler PWSSD 4,DWLSL-174-23,LSLI,"1,850","$                     250,000",$                                -,"$                    250,000"
D,Arcadia,DWLSL-175-23,"LSLI, LSLRP",643,"275,000$",$                                -,"275,000$"
D,Monett,DWLSL-176-23,LSLI,"9,576","$                     144,388",$                                -,"$                    144,388"
D,Linn,DWLSL-177-23,LSLI,"1,507","$                     150,000",$                                -,"$                    150,000"
D,Jasper,DWLSL-178-23,LSLI,985,"$                       30,000",$                                -,"$                       30,000"
,Ash Grove,DWLSL-179-23,LSLI,"1,512","$                     250,000","$                       147,500","$                    102,500"
D,Weableau Public Water Supply	,DWLSL-180-23,"LSLI, LSLRP",418,"$                     100,000",$                                -,"$                    100,000"
,Holcomb,DWLSL-181-23,"LSLI, LSLRP",746,"$                     167,808","$                          99,007","$                       68,801"
,Buckner,DWLSL-182-23,LSLI,"3,448","$                       87,000","$                          51,330","$                       35,670"
D,Senath,DWLSL-183-23,LSLI,"1,721","$                     350,000",$                                -,"$                    350,000"
D,Village of Big Lake,DWLSL-184-23,"LSLI, LSLRP, LSLR","2,000","$                       65,000",$                                -,"$                       65,000"
D,Leeton,DWLSL-185-23,LSLI,612,"$                     166,400",$                                -,"$                    166,400"
D,Daviess PWSD 2,DWLSL-186-23,LSLI,"2,578","$                     250,000",$                                -,"$                    250,000"
,Puxico,DWLSL-187-23,"LSLI, LSLRP",873,"$                     166,900","$                          98,471","$                       68,429"
,MO American Platte County,DWLSL-188-23,LSLI,"18,213","$                 1,893,360","$                    1,790,860","$                    102,500"
,MO American Eureka,DWLSL-189-23,LSLI,"12,154","$                     901,110","$                       798,610","$                    102,500"
,MO American Tri-State,DWLSL-190-23,LSLI,"9,265","$                     785,470","$                       682,970","102,500$"
,MO American Warrensburg,DWLSL-191-23,LSLI,"19,638","$                     695,380","$                       592,880","$                    102,500"
,MO American Lawson,DWLSL-192-23,LSLI,"2,526","$                     430,220","$                       327,720","$                    102,500"
,MO American Stonebridge Village,DWLSL-193-23,LSLI,"2,183","427,770$","$                       325,270","$                    102,500"
D,MO American Garden City,DWLSL-194-23,LSLI,"1,614","$                     376,810",$                                -,"$                    376,810"
D,MO American Brunswick,DWLSL-195-23,LSLI,788,"242,550$",$                                -,"$                    242,550"
D,MO American Emerald Pointe,DWLSL-196-23,LSLI,"1,298","$                     222,950",$                                -,"222,950$"
,MO American Maplewood,DWLSL-197-23,LSLI,"1,010","$                     192,570","$                       113,616","$                       78,954"
,MO American Orrick,DWLSL-198-23,LSLI,738,"192,570$","$                       113,616","$                       78,954"
D,MO American Stewartsville,DWLSL-199-23,LSLI,750,"$                     178,850",$                                -,"178,850$"
,MO American Smithton,DWLSL-200-23,LSLI,513,"$                     125,440","$                          74,010","$                       51,430"
,MO American Wardsville,DWLSL-201-23,LSLI,"1,616","102,410$","$                          60,422","$                       41,988"
D,MO American Ozark Mountain 2,DWLSL-202-23,LSLI,598,"$                       99,470",$                                -,"$                       99,470"
,MO American Warren County,DWLSL-203-23,LSLI,"1,620","96,530$","$                          56,953","$                       39,577"
,MO American Purcell,DWLSL-204-23,LSLI,317,"93,590$","$                          55,218","$                       38,372"
D,MO American White Branch,DWLSL-205-23,LSLI,423,"$                       82,810",$                                -,"$                       82,810"
,MO American Ozark Mountain 1,DWLSL-206-23,LSLI,415,"$                       69,090","$                          40,763","28,327$"
,MO American Riverside Estates,DWLSL-207-23,LSLI,823,"$                       68,600","$                          40,474","28,126$"
D,MO American Rogue Creek,DWLSL-208-23,LSLI,338,"$                       48,020",$                                -,"48,020$"
D,MO American Ozark Mountain 3,DWLSL-209-23,LSLI,318,"$                       47,530",$                                -,"$                       47,530"
,MO American Spring Valley Estates,DWLSL-210-23,LSLI,305,"$                       46,550","$                          27,465","$                       19,085"
,MO American Rankin Acres,DWLSL-211-23,LSLI,228,"$                       42,630","$                          25,152","$                       17,478"
,MO American Saddlebrook Village,DWLSL-212-23,LSLI,415,"$                       36,260","$                          21,393","$                       14,867"
,MO American Woodland Manor,DWLSL-213-23,LSLI,438,"$                       35,280","$                          20,815","$                       14,465"
