Project,Project County,System Name/Borrower,Description,Population,Project Cost,Score,Cumulative Total,DAC
19445,CLINTON,ROUSES POINT WATER DISTRICT,"Lead Service Line Inventory., Upgrade Distribution System",2195,273980,30,248211843,Yes
19398,CAYUGA,WEEDSPORT (V),"Lead Service Line Inventory., Upgrade Distribution System",1945,606500,30,248818343,Yes
19461,JEFFERSON,ADAMS (V),"Lead Service Line Inventory., Upgrade Distribution System",1775,519120,30,249337463,Yes
19808,GREENE,VILLAGE OF COXSACKIE,"Lead Service Line Inventory., Upgrade Distribution System",1300,41450,30,249378913,Yes
19470,JEFFERSON,RUTLAND (T),"Lead Service Line Inventory., Upgrade Distribution System",1250,48419,30,249427332,Yes
19637,STEUBEN,VILLAGE OF CASTILE,"Lead Service Line Inventory., Upgrade Distribution System",1135,315000,30,249742332,Yes
19372,CHENANGO,NEW BERLIN (V),"Lead Service Line Inventory., Upgrade Distribution System",1000,398200,30,250140532,Yes
19444,OTSEGO,EDMESTON (T),"Lead Service Line Inventory., Upgrade Distribution System",900,359200,30,250499732,Yes
19458,LEWIS,DIANA (T),"Lead Service Line Inventory., Upgrade Distribution System",650,28818,30,250528550,Yes
19459,ST. LAWRENCE,EDWARDS (T),"Lead Service Line Inventory., Upgrade Distribution System",400,20138,30,250548687,Yes
19815,GREENE,VILLAGE OF COXSACKIE,"Lead Service Line Inventory., Upgrade Distribution System",210,1294945,25,251843632,Yes
19397,MONROE,MONROE COUNTY WATER AUTH,"Lead Service Line Inventory., Upgrade Distribution System",558818,25390000,25,277233632,No
19282,ERIE,TONAWANDA (T),"Lead Service Line Inventory., Upgrade Distribution System",88990,324500,25,277558132,No
19620,OTSEGO,ONEONTA (C),"Lead Service Line Inventory., Upgrade Distribution System",16000,2100000,25,279658132,Yes
19293,SENECA,WATERLOO (V),"Lead Service Line Inventory., Upgrade Distribution System",4924,502310,25,280160442,Yes
19293,SENECA,WATERLOO (V),"Lead Service Line Inventory., Upgrade Distribution System",4924,502310,25,280160442,No
19404,CORTLAND,HOMER (V),"Lead Service Line Inventory., Upgrade Distribution System",4000,1050600,25,281211042,Yes
19400,ONONDAGA,ELBRIDGE (V),"Lead Service Line Inventory., Upgrade Distribution System",3600,288144,25,281499186,Yes
