"Single Audit
Required","Equivalency
Project","Categorical
Green or
Business Case
Green",Loan #,Project Name,PWSID,"Total
Assistance
Amount",Loan (2),"Principal
Forgiveness",Green,"Est. Binding
Commitment",Small (Cust < 10K)
Yes,Equivalent,,80303,Aqua Pennsylvania Inc. - Cabot/Hall Rd PFAS Project PWSID PA1460073 (1),1460073,"$9,970,718.00","$2,831,273.00","$9,970,718.00",,1/14/2026,
Yes,Equivalent,,80301,Buckingham Township Hearthstone PFAS Treatment,,"$2,057,063.00","$865,853.00","$2,057,063.00",,3/31/2026,x
Yes,Equivalent,,80302,PA American Water Company Summit Point PFAS/Mn Treatment Improvements,,"$3,728,985.00","$1,115,015.00","$3,728,985.00",,10/16/2025,x
Yes,Equivalent,,80311,Pennsylvania American Water Company - Berwick PFAS WTP,,"$1,087,628.00","$24,362,372.00","$1,087,628.00",,3/24/2026,x
Yes,Equivalent,,80312,Pennsylvania American Water Company - Pine Hill Well PFAS/Mn Treatment Improvements,,"$562,434.00","$4,484,137.00","$562,434.00",,2/23/2026,x
Yes,Equivalent,,80313,Western Berks Water Authority - Water Treatment Plant Improvements,,"$1,635,950.00","$45,224,050.00","$1,635,950.00",,4/17/2026,
Yes,Equivalent,,80314,"Aqua Pennsylvania, Inc. - Ridley PFAS Project PWSID PA1460073",1460073,"$3,900,704.00","$22,835,769.00","$3,900,704.00",,1/14/2026,
Yes,Equivalent,,80321,"Aqua Pennsylvania, Inc. - Hunt, Oreland, and Flourtown Wells PFAS Removal Project PWSID PA1460073",1460073,"$2,261,518.00","$4,503,482.00","$2,261,518.00",,6/2/2026,
