"Single Audit
Required","Equivalency
Project","Categorical
Green or
Business Case
Green",Loan #,Project Name,"Total
Assistance
Amount",Loan,"Principal
Forgiveness",Green,"Est. Binding
Commitment",Small (Cust < 10K)
Yes,Equivalent,Water Efficiency,82251,"The Municipal Authority of the Borough of Portage - Waterline &
Meter Replacement Project 1","$4,731,307.00","$11,833,693.00","$4,731,307.00","$13,323,800.00",7/16/2026,x
Yes,Equivalent,,80296,"East Taylor Municipal Authority - 2"" Waterline Replacement Project2","$8,071,453.00","$8,754,417.00","$1,165,933.00",$0.00,7/16/2026,x
