timestamp,call_label,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,stop_reason
2026-04-28T18:47:11Z,1_col_names,claude-haiku-4-5-20251001,3850,984,0,0,end_turn
2026-04-28T18:47:26Z,2_types_nulls,claude-haiku-4-5-20251001,9397,1395,0,0,end_turn
2026-04-28T18:48:19Z,3_script_logic,claude-sonnet-4-6,3263,3069,3283,0,end_turn
2026-04-28T18:49:26Z,4_script_data,claude-sonnet-4-6,9196,3568,0,3283,end_turn
