EPIC Project ID,Entity,Project,PWS ID,County,SDC-EC Grant*,Project Type
SDC1,Beverly,Water System Imp PFAS/PFOS Treatment,OH8400112,Washington,"$181,600.00",Design
SDC2,Oxford,WTP Membrane Softening Imp,OH0902312,Butler,"$2,400,000.00",Design
