Project #,Applicant Name,Project Description,Attachment Project Name,Attachment Project Description,City/Town,County,Population,Disadvantaged Rank,"Priority
Ranking Points",DW SRF Amount Granted,DW SRF PF,DW SRF PF%,Applied for Project Amount,Interest Rate
FS010256-07,Selma Water Works and Sewer Board,Lead Service Line Inventory & Replacement,Lead Service Line Inventory & Replacement,Selma Water Works and Sewer Board proposes to complete its lead service line inventory project and follow up with the replacement of lead service lines identified as part of the inventory project.,Selma,Dallas,18429,0.67,35,6532500,6532500,1,6532500,NA
FS010002-06,"Northport, City of",Lead Service Line Replacement,Lead Service Line Replacement,The City of Northport proposes to conduct a lead service line inventory. The inventory will identify service lines made of lead and/or any service lines made of galvanized steel downstream of lead goose necks.,Northport,Tuscaloosa,30334,1.12,SUPP,182112,182112,1,182112,NA
FS010003-03,"Eufaula, Water Works and Sewer Board of The City of",Lead Service Line Replacement,Lead Service Line Replacement,"The Water Works and Sewer Board of the City of Eufaula proposes to replace existing lead and galvanized water service lines within the distribution system. The Board has conducted a Lead Service Line Inventory of the system which identified 1,339 services requiring replacement. The proposed project will include replacement of these service lines consisting of installing a new service tap and corporation stop, and the replacement of approximately 126,200 linear feet of service tubing on both the owner's and customer's side of the water meter. The existing lead and galvanized service lines will be abandoned and a
cap placed on the existing corporation stop.",Eufaula,Barbour,13000,1.1,55,5417000,5417000,1,5417000,NA
FS010122-19,Central Alabama Water,Lead Service Line Replacement,Lead Service Line Replacement,Central Alabama Water proposes to replace all of the known lead service lines in the entire distribution system. Completion of this project would improve service to all affected customers and improve compliance with the Lead and Copper Rule.,Birmingham,Jefferson,770000,1.06,SUPP,40979388,13522008,0.29,252000000,0.0275
FS020411-02,Central Talladega County Water District,Lead Service Line Assessment,Lead Service Line Replacement,Central Talladega County Water District proposes to conduct a lead service line inventory. The inventory will identify service lines made of lead and/or any service lines made of galvanized steel downstream of lead components. The proposed project will allow the Water District to plan for future lead service line replacement.,Alpine,Talladega,3000,2.19,95,127000,127000,1,127000,NA
FS010384-04,Wilcox County Water & Sewer District,Lead Service Line Replacement,Lead Service Line Inventory & Replacement,Wilcox County Water & Sewer District proposes to replace all lead and galvanized water service lines in the Wilcox County Water and Sewer District.,Camden,Wilcox,5494,4.07,25,600000,600000,1,600000,NA
