Rank,Points,Project Title,Project Number,"Beneficiary
Population",PWSID,Applicant / System Name,County,"Leg.
District","Cong.
District",W/S,PFA,"Public /
Private","System
Size",Disadvantaged,PFAS/EC,LSL,"Construction
Start","Construction
End",Design Date,Milestone / Project Type,Project Description,Total Cost ($),Green Cost ($),"MDE Requested
Funding ($)"
52,55,LEAD SERVICE LINE REPLACEMENT - TOWN OF MYERSVILLE,DW0031,2800,MD0100020,KRISTIN ALESHIRE / TOWN OF MYERSVILLE,Frederick,46,,Y,2,PUBLIC,Small,N,N,Y,12/01/2026,06/30/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Town's water system includes about 10 galvanized and lead service lines. PROJECT: P/D/C - Replace lead and galvanized service lines with copper, PVC, or HDPE to address Lead and Copper Rule.","$67,900",,"$67,900"
53,55,LEAD SERVICE LINE REPLACEMENT - TOWN OF EMMITSBURG,DW0029,4298,MD0100010,CATHY WILLETTS / TOWN OF EMMITSBURG,Frederick,2A,6,Y,2,PUBLIC,Small,N,N,Y,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Transmission/Distribution",PROBLEM: Town has lead service lines; aims to help potentially non-compliant system meet LCRR rules. PROJECT: P/D/C - Replace approximately 161 lead or galvanized water service lines in town's distribution system.,"$1,098,020",,"$1,098,020"
54,55,WC-1280 GLENMORE AVE & VICINITY WATER MAIN REPLACEMENTS,DW0046,4863,MD0300002,AARON MOORE / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,45,7,Y,Y,PUBLIC,Large,Y,N,N,07/01/2027,06/30/2029,07/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Aged unlined cast iron pipes deteriorating causing poor water quality, bacterial growth and reduced hydraulic capacity. PROJECT: Construct rehab/replace approximately 18,500 LF of 4""Ð12"" diameter drinking water mains, valves, fire hydrants, etc.","$14,945,675",,"$11,834,649"
55,55,WC-1285R CAROLINE STREET & VICINITY WATER MAIN REPLACEMENTS,DW0047,5585,MD0300002,AARON MOORE / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,45,7,Y,Y,PUBLIC,Large,Y,N,N,03/01/2026,09/30/2027,09/01/2024,"Construction, Design, Transmission/Distribution","PROBLEM: Aged unlined cast iron pipes deteriorating causing poor water quality, bacterial growth and reduced hydraulic capacity. PROJECT: Construct rehab/replace approximately 19,590 LF of 3""Ð12"" diameter drinking water mains, valves, fire hydrants, etc.","$24,513,711",,"$12,896,853"
56,55,TOWN OF CENTREVILLE LEAD SERVICE LINE REPLACEMENT,DW0083,7118,MD0170001,TONYA WRIGHT / TOWN OF CENTREVILLE,Queen Anne's,1,36,Y,Y,PUBLIC,Small,N,N,Y,07/01/2026,10/31/2028,10/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: Town trying to comply with LCCR; lines built between 1913Ð85; protect public health. PROJECT: P/D/C - Replacement of approx. 600 LSL; project also offers water reuse & conservation; install membrane bio filtration.,"$1,689,600",,"$1,689,600"
57,55,TOWN OF THURMONT LEAD AND COPPER SERVICE LINE REPLACEMENT,DW0030,7875,MD0100023,HAROLD LAWSON / TOWN OF THURMONT,Frederick,2A,6,Y,2,PUBLIC,Small,N,N,Y,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Approximately 235 service lines are lead or galvanized; need to be replaced for Lead and Copper Rule compliance. PROJECT: P/D/C - Replace existing lead or galvanized service lines with copper, PVC, or HDPE pipes.","$1,767,700",,"$1,767,700"
58,55,WC-1271 CROSS ST & VICINITY WATER MAIN REPLACEMENTS,DW0045,9400,MD0300002,AARON MOORE / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,40,7,Y,Y,PUBLIC,Large,Y,N,N,01/01/2028,02/28/2030,09/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Aged unlined cast iron pipes deteriorating causing poor water quality, bacterial growth and reduced hydraulic capacity. PROJECT: Construct rehab/replace approximately 31,070 LF of 4""Ð20"" diameter drinking water mains, valves, fire hydrants, etc.","$25,531,223",,"$21,310,358"
59,55,CITY OF BOWIE WATER MAIN REHABILITATION PROJECT,DW0061,27000,MD0160002,JESSE BUGGS / CITY OF BOWIE,Prince George's,5,23,Y,Y,PRIVATE,Large,Y,N,N,11/01/2027,06/30/2028,,"Construction, Transmission/Distribution","PROBLEM: Aging water main infrastructure with frequent breaks and corroded pipes is a public health concern; low flows. PROJECT: Construct replacement of water lines, meters and valves to ensure proper operation and delivery of water.","$4,500,000",,"$4,500,000"
60,55,RC WILLSON TRANSMISSION MAIN REPLACEMENT,DW0071,108600,MD0210010,NANCY HAUSRATH / CITY OF HAGERSTOWN,Washington,6,02A,Y,2,PUBLIC,Large,Y,N,N,12/01/2026,12/31/2028,11/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: 95-year-old water system is deteriorating. PROJECT: Construct replacement of 6,000 LF of two parallel 24-inch water transmission mains.","$17,250,000",,"$15,000,000"
61,55,WC-1243 CROMWELL PUMP STATION IMPROVEMENTS,DW0041,1800000,MD0300002,KHALIL ZAIED / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,08,3,Y,Y,PUBLIC,Large,Y,N,N,06/01/2025,06/30/2027,06/01/2015,"Construction, Design, Transmission/Distribution, Compliance","PROBLEM: Aging pumping station necessary part of system to provide safe/reliable drinking water. PROJECT: Construct repair/replace/rehab of equipment, systems, and structure inc. chlorination system.","$72,821,687",,"$12,032,359"
62,55,WC-1243 CROMWELL PUMP STATION IMPROVEMENTS,DW0097,1800000,MD0300002,ROBERT BURROS / BALTIMORE COUNTY,Baltimore County,08,3,Y,Y,PUBLIC,Large,Y,N,N,06/01/2025,06/30/2027,06/01/2015,"Construction, Design, Transmission/Distribution, Compliance","PROBLEM: Aging pumping station necessary part of system to provide safe/reliable drinking water. PROJECT: Construct repair/replace/rehab of equipment, systems, and structure inc. chlorination system. (Baltimore County co-applicant; cost carried by Baltimore City DW0041.)",0,,"$48,790,530"
63,50,DANVILLE ROAD WATER MAIN REPLACEMENT,DW0076,118,MD0150005,CAVILLE STANBURY WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Prince George's,REG,REG,Y,2,PUBLIC,Large,Y,N,N,08/01/2026,11/30/2027,10/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Aging cast iron water mains deteriorating; frequent breaks and leaks; public health concern. PROJECT: Construct replacement of trans/distribution water mains; 2.5 miles of 8"" to 24"" pipe to be replaced.","$10,645,006",,"$10,645,006"
64,50,JONES CREEK WATERMAIN CROSSING,DW0084,470,MD0190002,"ANTHONY STOCKUS / SOMERSET COUNTY SANITARY DISTRICT, INC",Somerset,1,38A,Y,Y,PRIVATE,Small,Y,N,N,08/01/2026,11/30/2026,09/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: DW main is old and deteriorating; has failed in the past releasing DW to the creek; poses maintenance risk. PROJECT: P/D/C - Replacement of trans/distribution watermain adjacent to/crossing US Route 13 and Jones Creek.,"$345,200",,"$335,200"
65,50,BERLIN LEAD SERVICE LINE REPLACEMENT PHASE 2,DW0020,920,MD0230001,MARY BOHLEN / TOWN OF BERLIN,Worcester,38A,01,Y,Y,PUBLIC,Small,Y,N,Y,11/01/2026,04/30/2027,06/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Town replacing LSL to meet EPA and MDE MCL of zero. PROJECT: D/C - Replace remaining approx. 333 LSL containing lead gooseneck, galvanized pipes, & other defining factors.","$1,838,520",,"$1,838,520"
66,50,TOWN OF SHARPSBURG WATER SERVICE LEAD ABATEMENT PROJECT,DW0067,3750,MD0210017,JOSEPH MOSS / WASHINGTON COUNTY BOARD OF COUNTY COMMISSIONERS,Washington,6,02A,Y,2,PUBLIC,Small,N,N,Y,06/01/2025,11/30/2025,01/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: Existing water system contains lead components in meter/cradle and fittings. PROJECT: Construct replacement of lead-containing components in meters and associated fittings.,"$1,250,000",,"$750,000"
67,50,MIDLAND/GILMORE RAW WATER STORAGE TANK,DW0089,4700,MD0010018,TYLER RAYNER / TOWN OF LONACONING,Allegany,01A,06,Y,2,PUBLIC,Small,Y,N,N,06/01/2026,05/31/2027,09/01/2025,"Construction, Design, Storage, Compliance","PROBLEM: Dam inspection classified a high hazard potential and rated unsafe. PROJECT: Decommission existing Midland Gilmore Reservoir, restore Elk Lick Run, and construct 6 MG raw water storage tank.","$12,000,000",,"$12,000,000"
68,50,TOWN OF LONACONING NEW GEORGES CREEK WATER LINE,DW0088,4700,MD0010018,TYLER RAYNER / TOWN OF LONACONING,Allegany,01A,06,Y,Y,PUBLIC,Small,Y,N,N,01/01/2026,05/31/2026,08/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Failing water line from Midland to Barton affecting 19 to 23 svc connections. PROJECT: P/D/C - Replace approximately 4,300 LF 8-in water main and 19 to 23 service connections.","$1,315,000",,"$1,315,000"
69,50,WELL 13 BOOSTER STATION - TOWN OF INDIAN HEAD,DW0003,5003,MD0080020,RYAN HICKS / TOWN OF INDIAN HEAD,Charles,5,28,N,Y,PUBLIC,Small,N,N,N,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Issues with PS & well house operability, structural condition and chemicals; pressure issues with Anchor Pnt development. PROJECT: P/D/C - Design & construct water booster PS, tie-in-points, pipes, access drive & parking, setback lines & zoning information.","$1,283,150",,"$1,283,150"
70,50,DENTON WATER SYSTEM LCRI: LEAD LINE REPLACEMENT,DW0050,6343,MD0050001,KATIE NORTHAM / TOWN OF DENTON,Caroline,37B,1,Y,Y,PUBLIC,Small,Y,N,Y,08/01/2026,12/31/2037,03/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Lead in drinking water; to comply with Lead and Copper Rule Improvement (LCRI) requirements set by EPA. PROJECT: D/C - Replacement of approximately 596 service lines; each line is approximately 75 LF, 1.5"" diameter.","$18,519,000",,"$18,454,000"
71,50,TOWN OF MOUNT AIRY LEAD SERVICE LINE REPLACEMENT PROGRAM,DW0027,7000,MD0060007,BERNARD QUINN / TOWN OF MOUNT AIRY,Carroll,5,REG,Y,2,PUBLIC,Small,N,N,Y,07/01/2025,07/31/2026,03/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: Baseline lead service line inventory identified 29 galvanized service lines to be replaced. PROJECT: P/D/C - Replace 29 galvanized service lines to comply with requirements under the LSLR and Notification Act.,"$283,347",,"$283,347"
72,50,LEAD SERVICE LINE REPLACEMENT - CITY OF TANEYTOWN,DW0026,8655,MD0060012,RANDY MYERS / CITY OF TANEYTOWN,Carroll,52,,Y,Y,PUBLIC,Small,Y,N,Y,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Transmission/Distribution","PROBLEM: Town seeks to actively comply with LCRR rule and improve drinking water quality. PROJECT: P/D/C - Replace approximately 235 lead service lines with copper, PVC, or HDPE pipe.","$1,602,700",,"$1,602,700"
73,50,WELL 14 PFAS TREATMENT FACILITY - CITY OF TANEYTOWN,DW0025,8655,MD0060012,RANDY MYERS / CITY OF TANEYTOWN,Carroll,52,,Y,Y,PUBLIC,Small,Y,Y,N,12/01/2026,12/31/2027,04/01/2026,"Construction, Design, Treatment","PROBLEM: Well 14 tested above interim health advisory levels for PFOA and PFOS; risks non-compliance with Safe Drinking Water Act. PROJECT: P/D/C - Project includes pilot testing, acquisition and installation of GAC filtration system at Well 14 facility.","$1,223,300",,"$1,223,300"
74,45,TOWN OF PRESTON LEAD SERVICE LINE REPLACEMENT PROJECT,DW0051,723,MD0050005,AMBER KORELL / TOWN OF PRESTON,Caroline,37B,1,Y,2,PUBLIC,Small,N,N,Y,04/01/2027,12/31/2027,10/01/2026,"Construction, Design, Transmission/Distribution",PROBLEM: 164 known lead service lines & some lines are unknown; replacement to comply with Revised Lead and Copper Rule. PROJECT: D/C - Replacement of approximately 164 known lead service lines found during LSL inventory.,"$1,968,000",,"$1,968,000"
75,45,TOWN OF UNION BRIDGE LEAD SERVICE LINE INVENTORY,DW0024,1200,MD0060013,MIKE REYNOLDS / TOWN OF UNION BRIDGE,Carroll,52,,Y,Y,PUBLIC,Small,Y,N,Y,01/01/2026,03/31/2026,12/01/2024,"Construction, Design, Transmission/Distribution",PROBLEM: Material of 52 service lines remains unknown after initial material records review; need to comply with LCRR regulations. PROJECT: P/C - Excavate and identify 52 water lines of unknown material; update LSL inventory.,"$55,000",,"$55,000"
76,45,WC-1417 RIDGELY'S DELIGHT WATER MAIN REPLACEMENT,DW0048,1300,MD0300002,AARON MOORE / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,46,7,Y,Y,PUBLIC,Large,Y,N,N,07/01/2027,06/30/2029,07/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Aged unlined cast iron pipes deteriorating causing poor water quality, bacterial growth and reduced hydraulic capacity. PROJECT: Construct rehab/replace approximately 7,300 LF of 4""Ð12"" diameter drinking water mains, valves, fire hydrants, etc.","$8,091,145",,"$6,119,591"
77,45,WALDORF SYSTEM SERVICE LINE VERIFICATION,DW0002,4000,MD0080049,JAMES SIZEMORE / CHARLES COUNTY,Charles,27A,05,Y,2,PUBLIC,Large,N,N,Y,10/01/2026,12/31/2027,10/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Non-compliance with LCRR due to 2,613 service lines of unknown material. PROJECT: P/D/C - ID & report material; verify info; secure pitcher filters for LSL or GRR; educate customers; bid & procurement.","$2,015,712",,"$2,015,712"
78,45,TOWN OF MOUNT AIRY LEAD SERVICE LINE IDENTIFICATION,DW0098,7000,MD0060007,BERNARD QUINN / TOWN OF MOUNT AIRY,Carroll,5,REG,Y,2,PUBLIC,Small,N,N,Y,06/01/2026,06/30/2027,04/01/2026,"Construction, Design, Transmission/Distribution",PROBLEM: About 25% of total service lines composed of unknown material based on 2024 preliminary inventory and may contain lead. PROJECT: P/D/C - Perform test holes by vacuum excavation to identify material in the relevant service lines.,"$1,192,294",,"$1,192,294"
79,45,FRUITLAND LCRR INVENTORY FIELD INVESTIGATION,DW0008,8908,MD0220008,MARCUS HENDERSON / CITY OF FRUITLAND,Wicomico,38B,01,Y,Y,PUBLIC,Small,Y,N,Y,04/01/2026,09/30/2026,07/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: 880 potential LSL of pre-1970 properties; unknown lead exposure of such properties leading to LCRR non-compliance. PROJECT: D/C - Field investigations on 880 properties to identify lead & notify residents.,"$912,000",,"$912,000"
80,45,WC-1427 PATTERSON PARK EAST AND VICINITY WATER MAIN REPLACEMENTS,DW0042,9000,MD0300002,AARON MOORE / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,46,7,Y,Y,PUBLIC,Large,Y,N,N,07/01/2027,07/31/2029,07/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Aged unlined cast iron pipes deteriorating causing poor water quality, bacterial growth and reduced hydraulic capacity. PROJECT: Construct rehab/replace approximately 23,000 LF of 4""Ð16"" diameter drinking water mains, valves, fire hydrants, etc.","$19,704,311",,"$15,635,440"
81,45,SERVICE LINE STEWARDSHIP PROGRAM - HOWARD COUNTY,DW0040,10500,MD0130002,CRAIG DALY / HOWARD COUNTY DPW,Howard,REG,3,Y,2,PUBLIC,Large,Y,N,Y,10/01/2026,12/31/2030,10/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: Some water service lines are of unknown material; need to verify and address presence of lead or galvanized pipes. PROJECT: P/D/C - Conduct LSL inventory in eastern Howard County; replace water lines in priority areas first after inventory.,"$10,841,745",,"$10,841,745"
82,45,LEAD SERVICE LINE INVENTORY - WSSC,DW0079,13250,MD0150005,JIN SHIN / WASHINGTON SUBURBAN SANITARY COMMISSION,WSSC,REG,REG,Y,2,PUBLIC,Large,N,N,Y,02/01/2025,10/30/2037,07/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Out of 485,000 records reviewed there are 11,858 services of unknown material and 1,385 services classified as galvanized. PROJECT: P - QA/QC of all remaining unknowns w/tech validation & field validation; goal to implement and execute risk mitigation.","$34,250,000",,"$21,121,174"
83,45,LEAD SERVICE LINE REPLACEMENT - WSSC,DW0081,13250,MD0150005,JIN SHIN / WASHINGTON SUBURBAN SANITARY COMMISSION,WSSC,REG,REG,Y,2,PUBLIC,Large,N,N,Y,04/01/2025,10/31/2037,07/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Out of 485,000 records evaluated, WSSC anticipates 5,300 service lines will be identified as LSL or GRR for replacement. PROJECT: C - Replacement of known LSL/GRR; 5-year plan/budget; private & public mitigation; education & focus on vulnerable populations.","$155,173,560",,"$127,963,994"
84,45,POTOMAC MAIN ZONE PIPELINE PROJECT,DW0080,1582300,MD0150005,THEON GROJEAN / WASHINGTON SUBURBAN SANITARY COMMISSION,WSSC,REG,REG,Y,2,PUBLIC,Large,N,N,N,06/01/2028,06/30/2032,10/01/2024,"Construction, Design, Transmission/Distribution","PROBLEM: Aging cast iron water mains need replacement; 2.1 mile of line to be addressed; frequent breaks, leaks; public health concern. PROJECT: P/D/C - Provides redundant finished water mains ensuring reliable water supply to 1.36M pop; PS & discharge mains replaced.","$121,388,000",,"$121,388,000"
85,40,NEWARK LEAD/COPPER & BACKFLOW PREVENTION WATER SERVICE REPLACEMENT,DW0018,445,MD0230002,ROBERT MITCHELL / WORCESTER COUNTY,Worcester,38C,01,Y,2,PUBLIC,Small,Y,N,Y,04/01/2026,09/30/2026,06/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Newark is not compliant. Pit setters do not stop back siphoning. Old pipes causing low pressure, pipe failure & health hazard. PROJECT: D/C - Replace copper setters with double check valves; connect all Newark Road & Langmaid Road services to 8"" PVC WM.","$613,380",,"$613,380"
86,40,LEAD AND COPPER LINE REPLACEMENT - TOWN OF ROCK HALL,DW0059,2525,MD0140006,ROBERT RESELE / TOWN OF ROCK HALL,Kent,36,1,Y,2,PUBLIC,Small,Y,N,Y,04/01/2027,12/31/2027,10/01/2026,"Construction, Design, Transmission/Distribution",PROBLEM: Town currently has 800 lines of lead or unknown material; replacement needed to comply with the Revised Lead & Copper Rule. PROJECT: D/C - Replace a portion of the lead service lines (80 lines or 10%/yr for 10 years) identified during the LSL inventory.,"$960,000",,"$960,000"
87,40,TOWN OF SMITHSBURG WATER SYSTEM IMPROVEMENTS,DW0070,3250,MD0210018,BRIAN BRANDT / TOWN OF SMITHSBURG,Washington,6,2A,Y,Y,PUBLIC,Small,N,N,N,08/01/2026,05/31/2027,07/01/2025,"Construction, Design, Transmission/Distribution (GREEN-General)","PROBLEM: Inadequate flow and pressure to maintain fire protection for much of town. PROJECT: P/D/C - Replacement of 3,915 LF of 12"", 7,535 LF of 8"", 230 LF of 6"" waterlines & 26 hydrants; green infra where lines replaced.","$7,228,000","$1,000,000","$6,327,800"
88,40,SERVICE LINE MATERIAL IDENTIFICATION - CITY OF HAGERSTOWN,DW0072,40000,MD0210010,NANCY HAUSRATH / CITY OF HAGERSTOWN,Washington,REG,6,Y,2,PUBLIC,Large,Y,N,Y,03/01/2026,12/31/2030,09/01/2024,"Construction, Design, Transmission/Distribution","PROBLEM: Unknown material in Hagerstown's water service area; total of 17,161 estimated lines of unknown material. PROJECT: P/D/C - Identify unknown lines using customer surveys, field inspections and other methods.","$15,358,619",,"$14,908,618"
89,40,WFP MEMBRANE FILTRATION BUILDING (PROJECT NO. 2023-20-WFP),DW0087,45453,MD0010008,ROBERT SMITH / MAYOR AND CITY COUNCIL OF CUMBERLAND,Allegany,0601,,Y,Y,PUBLIC,Large,Y,N,N,10/01/2026,04/30/2028,03/01/2025,"Construction, Design, Treatment","PROBLEM: Outdated filter bldg w/11 conventional filters, inadequate insulation, lead-based paint. PROJECT: P/D/C - New membrane filter bldg with membrane and GAC filtration systems & 5 MG finished water tank.","$56,074,609",,"$56,000,000"
90,40,CITY OF ROCKVILLE - LEAD SERVICE LINE INVENTORY INVESTIGATION,DW0054,65700,MD0150003,"YAOLIN FENNELL / CITY OF ROCKVILLE, MARYLAND",Montgomery,17,8,Y,2,PUBLIC,Large,N,N,Y,04/01/2023,10/31/2027,,"Construction, Transmission/Distribution","PROBLEM: Comply with revisions to LCRR & proactively address expanded requirements of LCRI. PROJECT: P - Reduce 'unknown' service lines via customer surveys, field investigations & using predictive modeling software.","$1,234,274",,"$528,875"
91,40,AUTOMATIC METERING INFRASTRUCTURE REPLACEMENT,DW0043,1600000,MD0300002,MOHAMMED RAHMAN / MAYOR AND CITY COUNCIL OF BALTIMORE,Baltimore City,46,7,Y,Y,PUBLIC,Large,Y,N,N,09/01/2025,06/30/2033,01/01/2025,"Construction, Design, Transmission/Distribution (GREEN-Water)","PROBLEM: Metering system needs upgrading; older meters & transmitters battery operated, inaccurate. PROJECT: Construct testing & replacement of SM/LG customer meters, etc. to state-of-the-art advanced metering technology.","$287,129,401","$2,500,000","$127,318,229"
92,40,AUTOMATIC METERING INFRASTRUCTURE REPLACEMENT,DW0099,1600000,MD0300002,ROBERT BURROS / BALTIMORE COUNTY,Baltimore County,46,7,Y,Y,PUBLIC,Large,Y,N,N,09/01/2025,06/30/2033,01/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Metering system needs upgrading; older meters & transmitters battery operated, inaccurate. PROJECT: Construct testing & replacement of SM/LG customer meters, etc. to state-of-the-art advanced metering technology. (Baltimore County co-applicant; cost carried by Baltimore City DW0043.)",0,,"$143,564,699"
93,35,COULBOURNE LANE WELL BACKUP POWER,DW0021,2793,MD0230007,RICK POLLITT / TOWN OF SNOW HILL,Worcester,38A,01,Y,2,PUBLIC,Small,Y,N,N,04/01/2026,06/30/2026,06/01/2025,"Construction, Design, Source",PROBLEM: No backup power to largest producing well for water system. PROJECT: D/C - Furnish and install emergency generator and automatic transfer switch to town's largest production well.,"$240,200",,"$240,200"
94,35,ABERDEEN PUBLIC INFRASTRUCTURE PROJECT AT SWAN MEADOWS,DW0011,4470,MD0120001,COSTA MAISTROS / CITY OF ABERDEEN,Harford,34A,1,Y,Y,PUBLIC,Large,Y,N,N,07/01/2026,06/30/2031,04/01/2022,"Construction, Design, Transmission/Distribution",PROBLEM: Aged water mains cannot sustain normal pressures and are fragile; risks asbestos contamination. PROJECT: Construct replacement of water mains and water lines serving the neighborhood.,"$2,941,430",,"$2,684,000"
95,35,MYSTIC HARBOR WATER PLANT & BUILDING REHAB,DW0017,7373,MD0230011,DALLAS BAKER JR. / WORCESTER COUNTY,Worcester,38C,01,Y,2,PUBLIC,Small,Y,N,N,10/01/2026,10/31/2027,10/31/2025,"Construction, Design, Treatment","PROBLEM: 50+ year old WTP at end of useful life, chemical corrosion, no automation. PROJECT: P/D/C - Rehabilitation of facility and components, replace valves, relocate filter control panel & update.","$2,510,740",,"$2,510,740"
96,35,ANNE ARUNDEL COUNTY LEAD SERVICE LINE REPLACEMENT PROGRAM,DW0096,12500,MD0020017,VICTOR KIBEC / ANNE ARUNDEL,Anne Arundel,REG,REG,Y,2,PUBLIC,Large,Y,N,Y,01/01/2027,12/31/2034,07/01/2024,"Construction, Design, Transmission/Distribution",PROBLEM: Lead service lines within disadvantaged communities. PROJECT: P/D/C - Identify and replace lead service lines within disadvantaged community boundaries.,"$7,600,000",,"$7,600,000"
97,30,SECURITY UPDATES FOR WATER TREATMENT FACILITIES,DW0068,3750,MD0210017,JOSEPH MOSS / WASHINGTON COUNTY BOARD OF COUNTY COMMISSIONERS,Washington,6,02A,Y,2,PUBLIC,Small,N,N,N,06/01/2025,11/30/2025,01/01/2025,"Construction, Design, Other",PROBLEM: Unmanned/unsecured water treatment facilities. PROJECT: Construct installation of security cameras at county water treatment facilities.,"$85,000",,"$85,000"
98,25,FRIENDSVILLE WATER SOURCE,DW0062,623,MD0110004,ANDREW TICHINEL / GARRETT COUNTY SANITARY DISTRICT,Garrett,6,01A,N,3,PUBLIC,Small,Y,N,N,10/01/2026,12/31/2026,07/01/2025,"Construction, Design, Source, Compliance",PROBLEM: Friendsville WTP permit approved with the exception that water source evaluation would be required. PROJECT: D/C - Produce PER and environmental report to evaluate water source options; drill wells; install screens on raw water intake.,"$627,200",,"$565,100"
99,25,GRASONVILLE - MAIN STREET (MD-18) INTERCONNECTOR WATER MAIN CONSTRUCTION,DW0082,5250,MD0170020,MATT LUCAS / COUNTY COMMISSIONERS OF QUEEN ANNE'S COUNTY,Queen Anne's,1,36,Y,Y,PUBLIC,Small,N,N,N,09/01/2026,01/31/2027,03/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: There is no redundancy to Kent Island/Kent Narrows/Grasonville; water cannot be supplied to Grasonville if WTF. PROJECT: Construct 8,600 LF of 12"" water main along Rt. 18 installed to Oyster Cove WTF.","$8,000,000",,"$8,000,000"
100,25,POWELLTON AVENUE WELL BACKUP POWER,DW0022,5500,MD0230001,MARY BOHLEN / TOWN OF BERLIN,Worcester,38A,01,Y,Y,PUBLIC,Small,Y,N,N,03/01/2026,06/30/2026,07/01/2025,"Construction, Design, Source",PROBLEM: Powellton Ave well is w/o backup power. Well is highest producer. Power outage of well is high vulnerability. PROJECT: D/C - Prep & install emergency generator & auto transfer switch for backup power supply of Powellton Ave Well.,"$240,200",,"$238,400"
101,10,MAIN STREET WATERMAIN REPLACEMENT,DW0101,1200,MD0200007,ERIN BRABANDT / TOWN OF TRAPPE,Talbot,37B,1,Y,Y,PUBLIC,Small,Y,N,N,06/01/2026,12/31/2026,06/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Town seeks to actively comply with EPA LCRR and remove lead from drinking systems that serve elementary school age children. PROJECT: D/C - Replace existing water main in Main Street, which is made of lead and has lead joints, with PVC water main.","$1,540,017",,"$1,535,517"
