Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green(W),Design Date,Project Type,Compliance,Requested Funding,PWSID
11,70,GREEN MEADOWS WATER COMPANY WATER SYSTEM RESTORATION - DISTRIBUTION,DW0012,83,AGING PRIVATE WATER SYSTEM IN NEED OF UPDATING,"D/C REPLACEMENT OF 1320 3"" IRON DUCTILE LINE, SIX MAIN SHUTOFF VALVES, 33 VALVES AND METERS AT HOMES","KENNETH BONECK, GREEN MEADOWS WATER COMPANY, INC.",Charles,28,5,Y,2,PRIVATE,Small,0,10/01/2022,06/30/2023,180500,0,2,,,,12/01/2021,TRANSMISSION/DISTRIBUTION,,"167,143",MD0080017
12,67,TANEYTOWN ROBERTS MILL ROAD WATER MAIN REPLACEMENT,DW0011,7040,"FREQUENT BREAKS IN AGING 6"" IRON AND ASBESTOS CEMENT WATER MAIN LEADING TO WATER LOSS","P/D/C REPLACEMENT OF 1650 LF W/ 8"" DUCTILE IRON WATER MAIN AND COPPER LATERALS","JIM WIEPRECHT, CITY OF TANEYTOWN",Carroll,51,,Y,Y,PUBLIC,Small,0,05/01/2022,09/30/2022,611000,0,1,Y,Y,,09/01/2021,TRANSMISSION/DISTRIBUTION,,"611,000",MD0060012
13,67,BOWIE WATER MAIN RECAPITALIZATION,DW0019,25500,"SEVERELY TUBERCULATED WATER MAINS CAUSING DISCOLORED WATER W/HIGH IRON, LOW PRESSURE/WATER FLOW",D/C REPLACEMENT OF 7.5 MILES OF WATER MAIN OVER 10 ANNUAL PHASES OF CONSTRUCTION,"PATRICK RUSH, CITY OF BOWIE",Prince George's,23,5,Y,Y,PUBLIC,Large,0,12/01/2022,03/31/2027,14906580,0,1,Y,Y,,02/01/2022,TRANSMISSION/DISTRIBUTION,,"7,545,400",MD0160002
14,65,SMITHSBURG EAST WATER STREET WATER MAIN UPGRADE,DW0029,315,"RESIDENTS EXPERIENCING LOW FLOW AND PRESSURE DUE TO 8"" MAIN HAVING BEEN CONNECTED TO 6"" MAIN","D/C ONE OF TWO OPTIONS (REPLACE 6"" W/8"" OR INSTALL NEW 8"" ALONG NEW PATH AND LEAVE EXISTING 6"" TO LOOP SYSTEM)","DEBRA SMITH, TOWN OF SMITHSBURG",Washington,2A,6,Y,Y,PUBLIC,Small,0,12/01/2021,04/30/2022,375750,0,1,Y,,,07/01/2021,TRANSMISSION/DISTRIBUTION,,"368,500",MD0210018
15,65,TOWN OF VIENNA WELLS REPLACEMENT PROJECT,DW0017,600,"TASTE, ODOR, AND COLOR PROBLEMS FROM HIGH IRON AND MANGANESE IN RAW WATER (WELLS IN SHALLOW PLEISTOCENE AQUIFER)","D/C TWO NEW WELLS IN ONE OF FOUR DEEPER AQUIFERS (PINEY POINT, FREDERICA, FEDERALSBURG, OR CHESWOLD)","CINDY MCFARLANE, COMMISSIONERS OF VIENNA",Dorchester,37B,1,Y,2,PUBLIC,Small,1,09/01/2021,12/31/2021,1301063,0,1,,,,05/01/2021,SOURCE,Y,"1,288,563",MD0090008
16,65,SECRETARY WATER METER REPLACEMENT PROJECT,DW0015,605,AGING MECHANICAL READ METERS CONTAIN LEAD AND PROVIDE NO LEAK DETECTION AND INACCURATE READINGS,P/D/C INSTALLATION OF REMOTE READ METERS,"YVONNE PRITCHETT, SECRETARY TOWN COMMISSIONERS",Dorchester,37B,1,Y,Y,PUBLIC,Small,1,06/01/2022,12/31/2022,395000,395000,1,Y,Y,Y,09/01/2021,TRANSMISSION/DISTRIBUTION,,"395,000",MD0090007
17,62,HERITAGE HARBOR WATER TAKEOVER SYSTEM IMPROVEMENTS PROJECT,DW0004,265,PETITION FROM PRIVATELY-OWNED SYSTEM EXPERIENCING WATER SHORTAGE/PRESSURE LOSS FOR PUBLIC SERVICE,"P/D/C 2830 LF 4"" PVC MAIN TO CONNECT TO COUNTY-OWNED DW SYSTEM; REPLACE METERS","KIMBERLY CLUNEY, ANNE ARUNDEL COUNTY",Anne Arundel,30B,4,Y,Y,PUBLIC,Large,0,10/01/2021,10/31/2022,1872662,0,1,Y,Y,,12/01/2017,TRANSMISSION/DISTRIBUTION,,"1,872,662",MD0020004
18,62,WC-1243 CROMWELL PUMPING STATION REHABILITATION,DW0006,1800000,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM","TROY BROGDEN, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,83,,Y,Y,PUBLIC,Large,1,02/01/2022,12/31/2025,43917046,0,1,Y,Y,,06/01/2015,TRANSMISSION/DISTRIBUTION,,"11,907,000",MD300002
19,62,WC-1243 CROMWELL PUMPING STATION REHABILITATION,DW0039,?,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM","ROBERT J. BURROS, BALTIMORE COUNTY, MARYLAND",Baltimore County,83,,Y,Y,PUBLIC,Large,1,02/01/2022,12/31/2025,0,0,1,Y,Y,,06/01/2015,TRANSMISSION/DISTRIBUTION,,"28,546,080",MD3000002
20,60,ROUTE 36 WATER LINE REPLACEMENT,DW0002,130,AGING DUCTILE IRON LINE - ONLY LINE TO CUSTOMERS & EMERGENCY CONNECTION TO LONACONING - CORRODING/FAILING DUE TO ACIDIC SOILS,"D/C REHAB/REPLACEMENT OF 15,000 LF OF LINE; LINE TO BE MAINTAINED BY COUNTY","JAMES L. WEBBER P.E., ALLEGANY COUNTY COMMISSIONERS",Allegany,1B,6,Y,2,PUBLIC,Small,1,03/01/2022,09/30/2022,1500000,0,1,,,,05/01/2021,TRANSMISSION/DISTRIBUTION,,"1,350,000",MD0010009
