Rank,Points,Entity,PIF #,PWS ID,Name of Project,Project Description,Emerging Contaminant(s),Requested Phase(s),Total Project Cost
1,245,City of Idalou,17918,TX1520001,PFAS Water Treatment Improvements,"The City of Idalou discovered PFAS/PFOA contamination in their drinking water supply. The City currently operates four (4) active groundwater wells that function as separate entry points to the distribution system. The proposed project will include the pipe for all the waterline connections necessary to consolidate the entry points and acquiring easements as needed. It also includes the installation of PFAS specific media treatment equipment designed to effectively remove PFAS compounds from the City’s well water supply. In conjunction with the PFAS treatment improvements, the City will expand and upgrade its aeration equipment, treatment building, new piping and appurtenances, electrical system upgrades, instrumentation, and control system enhancements to integrate the new treatment components into the City’s existing SCADA and operational framework. Additionally, the City will expand its head tank capacity. The City of Idalou previously completed a USDA-funded water system improvement project to address 1,1-dichloroethylene (1,1-DCE) contamination, the City is requesting refinancing of the remaining USDA-related debt.",PFAS,PADC,8600000
3,240,MacBee Special Utility District,17920,TX2340012,PFOS Pilot Study and Installation of a PFOS Treatment Plant,"The proposed project consists of the temporary deployment of a pilot-scale treatment system to evaluate technologies capable  of removing and destroying per- and polyfluoroalkyl substances (PFAS) from the District’s existing surface water supply. Upon successful completion of pilot testing and regulatory review, the project will include full-scale installation of a permanent PFAS treatment system designed to achieve compliance with current and anticipated EPA drinking water standards. The permanent system will provide both removal and on-site destruction of PFAS, eliminating the generation of long-term residual waste streams and ensuring protection of public health for the District’s 8,700 residents served.",PFOS (PFAS),PDC,8753500
4,235,East Rio Hondo WSC,17915,TX0310096,Martha Ann Simpson WTP Treatment Improvements,"The proposed project requests planning, design, and construction costs for treatment and removal of PFAS (perfluorooctanesulfonic acid [PFOS]) and lithium in finished water. East Rio Hondo Water Supply Corporation (ERHWSC) owns and operates the Martha Ann Simpson Water Treatment Plant (MASWTP), which serves the rural community of extreme South Texas in the Rio Grande Valley. The intent of this project is to equip the MASWTP with additional treatment capabilities to remove the currently identified regulated emerging  contaminants as well as those that may be present in the future. The current conceptual design utilizes brackish groundwater for blending to achieve downstream concentration goals. Additional improvements include pretreatment filtration and post-treatment systems, clean-in-place system, electrical, mechanical, and piping improvements, an injection well for concentrate disposal, two brackish groundwater wells, backup generators, and new building.","PFAS, Lithium",PDC,57416458.9
