epic_id,Entity,Project,Estimated Loan Amount,Principal Forgiveness,Estimated Award Date,Project Score,Readiness to Proceed,Rate,County,District Office
427,Perry County,Phase 6 Water Line Extension,3597900,1798950,Sep-26,6,5,DIS 0%-REG,Perry,SEDO
430,Philo,Market St WL Replacement / 2nd St WL Ext,332320,,Dec-26,2,3,DIS 0%,Muskingum,SEDO
437,Port Clinton,Water and Sanitary Sewer Infrastructure Improvements2,2085391,1042696,Aug-26,5,5,DIS 1%/LSL PF,Ottawa,NWDO
436,Port Clinton,"Harrison, West Perry & Monroe Street Water Line Improvements",292067,Bypass 2,Feb-27,5,4,DIS 1%,Ottawa,NWDO
443,Put-in-Bay,WTP Pump Riser and Piping,156300,,Aug-26,5,3,DIS 1%,Ottawa,NWDO
441,Put-in-Bay,Ground Storage Tank Rehabilitation,230680,,Oct-26,5,1,DIS 1%,Ottawa,NWDO
442,Put-in-Bay,WTP Multi-Tech and Controls Improvements,1192760,,Jan-27,5,1,DIS 1%,Ottawa,NWDO
450,Roseville,Water Line Replacement,410400,,Dec-26,2,3,DIS 0%,Perry,SEDO
453,Sabina,Water System Improvements,7878375,,Jun-27,5,1,DIS 1%,Clinton,SWDO
460,Scio,Water Line Replacement & Lead Service Line Removal,2689743,,Apr-27,3,1,DIS 0%/LSL PF,Harrison,SEDO
470,Somerset,Water Line Replacement Phase 5,465708,,Dec-26,3,2,DIS 0%,Perry,SEDO
469,Somerset,Water Line Replacement Phase 4,570000,,Dec-26,3,2,DIS 0%,Perry,SEDO
468,Somerset,Water Line Replacement Phase 3,650000,,Dec-26,3,2,DIS 0%,Perry,SEDO
471,Somerset,Water Meter Replacement and AMI Upgrade,780000,390000,Sep-26,2,4,DIS 0%,Perry,SEDO
472,South Charleston,SR 42 Water Line Replacement,1728820,864410,Jun-27,2,4,DIS 0%,Clark,SWDO
475,South Vienna,WTP Design and Construction Services,1889913,944957,Sep-26,6,4,DIS 0%,Clark,SWDO
480,Stratton,Water Meter Project,704700,,Oct-26,2,3,DIS 0%,Jefferson,SEDO
483,Thurston,Oak St Water Line Improvements,306450,153225,Sep-26,4,5,DIS 0%,Fairfield,CO
482,Thurston,Maple St Water Line Improvements,364450,Bypass 2,Sep-26,2,5,DIS 0%,Fairfield,CO
487,Toronto,Walton Acres Phase 2 Water Line and Streetscape Improvements,1600000,800000,Jul-26,2,5,DIS 1%,Jefferson,SEDO
488,Tri-County Rural Water & Sewer District,Phase 7 Water Line,4258500,,Apr-27,6,2,DIS 1%-REG,Washington,SEDO
493,Trumbull County,Stillwagon Road Water Improvements,725000,Bypass 3,Oct-26,7,3,DIS 1%-REG,Trumbull,NEDO
494,Trumbull County,Wilson Ave Water Improvement,262000,,May-27,6,3,DIS 1%-REG,Trumbull,NEDO
497,Upper Sandusky,Crawford Water Line Extension,2900000,1450000,Jan-27,10,5,DIS 1%-REG,Wyandot,NWDO
510,Warren Water Authority,Valve Installation,24686,,May-27,4,3,DIS 0%,Jefferson,SEDO
512,Waverly,South Lock St Roadway and Water Line Improvement,1335015,,Apr-27,3,1,DIS 1%/LSL PF,Pike,SEDO
519,Wellston,Cherrington Hills Improvements,3198605,,Apr-27,4,3,DIS 1%,Jackson,SEDO
521,West Farmington,New Water Wells,2977500,,Jun-27,5,1,DIS 0%,Trumbull,NEDO
523,West Union,SR 41 Water Main Replacement,781200,390600,Sep-26,2,5,DIS 1%,Adams,SEDO
525,Williamsport,Water Treatment Plant & Water Distribution Improvements,7141218,,Oct-26,2,4,DIS 0%,Pickaway,CO
