Municipality,Project Number,Project Description,Estimated Project Cost,Region,CME
"ABBOTSFORD, CITY OF",4748U18,UNDETERMINED: New Watermains/WM Replacements/Looping Mains,"$1,299,701.00",WC,Cameron
"ABBOTSFORD, CITY OF",4748U16,UNDETERMINED: Rehab existing well,"$1,299,701.00",WC,Cameron
"ALTOONA, CITY OF",5209U08,UNDETERMINED: Water System Consolidation: Concept 1,"$3,211,000.00",WC,Cameron
"ALTOONA, CITY OF",5209U09,UNDETERMINED: Water System Consolidation: Concept 2,"$3,863,000.00",WC,Cameron
"ASHLAND, CITY OF",4759U31,UNDETERMINED: Replace WMs on 16th St,"$686,000.00",NO,Andruczyk
"AUGUSTA, CITY OF",5186U06,UNDETERMINED Reconstruct sewer near Well #9,"$105,000.00",WC,Cameron
"BALSAM LAKE, VILLAGE OF",5329U05,UNDETERMINED: Well #1 wellhouse improvements & water transmission m,"$7,500,050.00",NO,Andruczyk
"BARNEVELD, VILLAGE OF",4763U03,"UNDETERMINED Construct 150,000-Gallon Ground Stoarage Tank","$1,457,516.00",SC,Zettl
"BLOOMINGTON, VILLAGE OF",5065U06,UNDETERMINED: Replace WM and Looping Main on Court St,"$1,903,000.00",SC,Zettl
"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED Construct System-Well/Trtmt/Storage/Distr,"$12,500,000.00",WC,Cameron
"CAMPBELL, TOWN OF",4778U04,UNDETERMINED: Construct Well 1 only,"$500,000.00",WC,Cameron
"CASCADE, VILLAGE OF",5281U06,UNDETERMINED: Relocate WM,"$100,000.00",SE,Andruczyk
"CLAYTON, VILLAGE OF",5631U02,UNDETERMINED: Reconstruct Well 2 Wellhouse,"$4,500,000.00",NO,Cameron
"CUMBERLAND, CITY OF",4791U10,UNDETERMINED; Construct Well #6,"$1,300,000.00",NO,Andruczyk
"ELK MOUND, VILLAGE OF",5575U02,UNDETERMINED: Construct Looping Main (Reservior Loop),"$1,500,000.00",WC,Cameron
"ELKHORN, CITY OF",5525U10,UNDETERMINED: Rehab Centralia Pretreatment Storage Reservoir,"$300,000.00",SE,Binder
"GERMANTOWN, VILLAGE OF",5381U04,UNDETERMINED: Construct Well #12,"$4,700,000.00",SE,Binder
GRAND CHUTE SD #1,5196U06,UNDETERMINED: Replace WM on CTH GV,"$420,000.00",NE,Hannes
"HILLSBORO, CITY OF",5492U04,UNDETERMINED Construct Well/House #4; Demo Existing Building,"$1,000,000.00",WC,Cameron
"JEFFERSON, CITY OF",5463U09,UNDETERMINED: Rehab/Modify Well #4,"$3,500,000.00",SC,Zettl
"KRONENWETTER, VILLAGE OF",5533U06,UNDETERMINED: Construct New Well #3,"$2,000,000.00",WC,Andruczyk
"LA CROSSE, CITY OF",5406U12,UNDETERMINED: STH 16 WM Extension,"$6,100,000.00",WC,Cameron
"LAKE HALLIE, VILLAGE OF",5267U14,UNDETERMINED: Reroute and Install New Equipment for Well #1,"$3,100,000.00",WC,Cameron
"LAKE HALLIE, VILLAGE OF",5267U15,UNDETERMINED: Reroute and Install New Equipment for Well #3,"$3,100,000.00",WC,Cameron
