"IUP Part",Project Entity,Project ID,"PPLrank","PPL points","System Population Served",Project Description,"Binding Commitment Date","EC Amount","Total Project Costs",Equivalency,
Part B-1,Blue Earth,1220001-10,166,20,"3,174",Watermain - South Linton Area,,,"3,284,922",Tbd,
Part B-1,Lamberton,1640003-15,169,20,828,Watermain - Phase 2 2nd Ave & Main,,,"2,568,000",Tbd,
Part B-1 EC,Sauk Rapids,1050004-07,179,20,"13,830",Treatment - PFAS TP Upgrade & New Wells,,Tbd,"6,182,000",Yes,
Part B-1 EC,Monticello,1860012-01,274,20,"13,583",Treatment - Manganese Treatment Plant,,Tbd,"45,000,000",Yes,
Part B-1 EC,Montrose,1860016-05,282,20,"3,505",Treatment - Manganese Plant,,Tbd,"13,850,000",Yes,
Part B-1 EC,Hastings,1190012-03,293,20,"22,250",Treatment - PFAS Treatment Phase 3,,Tbd,"21,600,000",Yes,
Part B-1 EC,Eagle Lake,1070002-03,304,18,"3,064",Treatment - Manganese TP & New Well,,Tbd,"14,135,000",Yes,
Part B-1,Cuyuna,1180011-04,309,15,231,Source - Repl with Wells #2 & #3/Treat,,,"459,300",Tbd,
Part B-1,New York Mills,1560017-09,313,15,"1,166",Treatment - New TP/Well,,,"10,150,000",Tbd,
Part B-1,Granada,1460004-04,314,15,247,Source - Replacement Well,,,"325,000",Tbd,
Part B-1,Brooten,1730005-05,317,15,550,Source - Replace Wells #1 & #2,,,"740,000",Tbd,
Part B-1,Cokato,1860006-06,323,15,"2,792",Watermain - High School Extension,,,"2,226,424",Tbd,
Part B-1 EC,Cottonwood,1420002-05,340,15,"1,150",Other - Manganese Connect to LPRWS,,Tbd,"3,875,000",Yes,
Part B-1 EC,Buckman,1490001-01,352,15,318,Treatment - Manganese Treatment Plant,,Tbd,"5,022,000",Yes,
Part B-1 EC,Mound,1270038-01,362,15,"9,480",Treatment - Manganese Plant,,Tbd,"36,487,000",Yes,
Part B-1 EC,Stillwater,1820024-02,381,15,"19,316",Treatment - PFAS W9 Treatment Plant,,Tbd,"4,500,000",Yes,
Part B-1 EC,Otsego,1860026-02,385,15,"19,565",Treatment - Manganese Pumphouse 3,,Tbd,"14,825,000",Yes,
Part B-1,Long Prairie,1770007-06,396,13,"3,744",Source - New Well,,,"300,000",Tbd,
Part B-1,Nielsville,1600012-06,397,13,82,Other - Connect to North Dakota ECRWD,,,"2,064,343",Tbd,
Part B-1,Tintah,1780003-01,400,13,68,Source - New Wells,,,"428,000",Tbd,
Part B-1,Halstad,1540003-03,407,13,622,Other - Connect to ECRW,,,"3,456,275",Tbd,
Part B-1,Winnebago,1220011-06,408,13,"1,245",Source - Well 3 & Wellhouse,,,"910,000",Tbd,
Part B-1,Hollandale,1240013-01,410,13,338,Source - New Well,,,"400,000",Tbd,
Part B-1,Lowry,1610007-11,412,12,333,Watermain - Phase 2 Replacement,,,"2,805,800",Tbd,
Part B-1,Blackduck,1040014-04,420,12,675,Treatment - Plant Rehab,,,"3,360,000",Tbd,
Part B-1,Tintah,1780003-02,424,12,68,Treatment - New Treatment Plant,,,"1,910,000",Tbd,
Part B-1,Deer River,1310007-05,426,12,908,Treatment - Wellhouse 4 Rehab,,,"1,098,900",Tbd,
Part B-1,Browns Valley,1780001-01,431,12,595,Watermain - Replace & Loop,,,"2,667,000",Tbd,
Part B-1,Westbrook,1170005-03,433,12,785,Watermain - SW Replace/Loop,,,"3,796,000",Tbd,
Part B-1,Gibbon,1720004-05,438,12,824,Watermain - 12th St. Looping,,,"93,600",Tbd,
Part B-1,Dennison,1250021-01,439,12,173,Treatment - New TP,,,"3,820,000",Tbd,
Part B-1,Dennison,1250021-04,440,12,173,Watermain - Looping,,,"818,000",Tbd,
Part B-1,Little Falls,1490002-12,443,12,"9,084",Watermain - River Crossings,,,"2,187,500",Tbd,
Part B-1,Fertile,1600008-06,457,12,931,Watermain - Replace & Loop,,,"1,597,000",Tbd,
Part B-1,Frazee,1030014-06,458,12,"1,335",Watermain - 2026 Utility Reconstruction,,,"1,150,000",Tbd,
Part B-1,Amboy,1070001-01,463,12,651,"Watermain - Repl North St.,Loop Radke St",,,"3,531,000",Tbd,
Part B-1,Brooten,1730005-06,464,12,550,"Treatment - New Plant, Remove Fe/Mn",,,"1,896,000",Tbd,
Part B-1,Bellingham,1370001-01,467,12,168,Treatment - New Plant,,,"8,000,000",Tbd,
Part B-1,Blue Earth,1220001-06,470,12,"3,252",Watermain - Looping,,,"1,939,400",Tbd,
