"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
65 Perham,,Other - LSL Phase 2,1560023-13,20,"3,421","$517,500"
66 Perham,,Other - LSL Phase 3,1560023-14,20,"3,421","$292,500"
67 Perham,,Other - LSL Phase 4,1560023-15,20,"3,421","$810,000"
68 Jasper,,Other - LSL Phase 1,1590004-01,20,623,"$956,250"
69 Wells,,Other - LSL Replacement,1220010-05,20,"2,283","$50,000"
70 Brooten,,Other  - LSL Replacement,1730005-09,20,646,"$1,706,250"
71 Chisholm,,Other - LSL 2025 Replacement,1690007-06,20,"4,759","$297,700"
72 Lucan,,Other - LSL Replacement,1640004-04,20,210,"$125,000"
73 Pipestone,,Other - LSL Replacement Main St. Area,1590005-13,20,"4,185","$62,500"
74 Granada,,Treatment - Manganese & Radium Plant,1460004-01,20,247,"$6,885,000"
75 Granada,,Other - LSL Replacement,1460004-03,20,247,"$55,000"
76 Fergus Falls,,Other - LSL Replacement Phase 1,1560014-02,20,"14,108","$581,250"
77 Fergus Falls,,Other - LSL Replacement Phase 2,1560014-03,20,"14,108","$1,556,250"
78 Fergus Falls,,Other - LSL Replacement Phase 3,1560014-04,20,"14,108","$1,500,000"
79 Fergus Falls,,Other - LSL Replacement Phase 4,1560014-05,20,"14,108","$1,700,000"
80 Fergus Falls,,Other - LSL Replacement Phase 5,1560014-06,20,"14,108","$1,925,000"
81 Fergus Falls,,Other - LSL Replacement Phase 6,1560014-07,20,"14,108","$1,462,500"
82 Milaca,,Other - LSL Replacement,1480002-05,20,"3,063","$1,715,000"
83 Cromwell,,Treatment - Manganese Treatment Plant,1090007-08,20,250,"$6,500,000"
84 Red Lake Falls,,Other - LSL Replacement,1630003-05,20,"1,372","$1,190,696"
85 Hibbing,,Other - LSL Replacement Phase 2,1690022-13,20,"16,224","$1,512,000"
86 Hibbing,,Other - LSL Replacement  Phase 1,1690022-09,20,"16,224","$399,300"
87 Canton,,Other - LSL Replacement,1230001-01,20,310,"$737,500"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
88 Chokio,,Other - LSL Replacement,1750002-03,20,400,"$375,000"
89 Milan,,Other - LSL Replacement,1120003-06,20,418,"$187,500"
90 Houston,,Other - LSL Replacement Phase 2,1280005-06,20,997,"$725,000"
91 Albert Lea,,Other - LSL Replacement - 2024,1240001-04,20,"18,433","$1,500,000"
92 Albert Lea,,Other - LSL Replacement - 2026,1240001-05,20,"18,433","$1,500,000"
93 Marble,,Treatment - Manganese Plant,1310023-07,20,699,"$6,500,000"
94 Lewisville,,Other - LSL Replacement,1830003-08,20,333,"$65,250"
95 International Falls,,Other - LSL Replacement,1360002-04,20,"5,859","$3,629,980"
96 Cyrus,,Other - LSL Replacement,1610001-07,20,318,"$25,000"
97 Winnebago,,Other - LSL Replacement - Cleveland Ave.,1220011-07,20,"1,253","$23,500"
98 New York Mills,,Other - LSL Replacement,1560017-10,20,"1,287","$265,625"
99 Battle Lake,,Treatment - PFAS Removal,1560001-06,20,857,"$7,525,250"
100 Bellingham,,Other - LSL Replacement,1370001-05,20,168,"$112,500"
101 Waite Park,,Treatment - PFAS Removal,1730039-05,20,"8,290","$17,685,000"
102 Ortonville,,Other - LSL Replacement,1060008-11,20,"2,021","$2,992,500"
103 Mora,,Other - LSL Replacement 2026,1330001-06,20,"3,786","$1,000,000"
104 Fairfax,,Other - LSL Replacement,1650005-06,20,"1,295","$1,035,000"
105 Willmar,,Other - LSL Replacement,1340016-02,20,"20,823","$400,700"
106 Crookston,,Other  - LSL Replacement,1600002-01,20,"7,450","$265,650"
107 Two Harbors,,Other - LSL Replacement,1380005-10,20,"3,616","$400,000"
108 Boyd,,Other - LSL Replacement,1370002-06,20,175,"$18,750"
109 Saint Cloud,,Other - LSL Repl (Pantown Neighborhood),1730027-27,20,"54,937","$1,183,000"
110 Ivanhoe,,Other - LSL Replacement,1410002-02,20,559,"$843,750"
111 Royalton,,Other - LSL Replacement,1490006-08,20,"1,236","$300,000"
112 Pemberton,,Other - LSL Replacement,1070015-09,20,247,"$18,750"
113 Atwater,,Treatment - Manganese Treatment & Well,1340001-09,20,"1,141","$7,303,000"
114 Chisholm,,Other - LSL 5th St SW,1690007-10,20,"4,940","$234,375"
115 Chisholm,,Other - LSL Heritage Manor,1690007-11,20,"4,940","$56,250"
116 Chisholm,,Watermain - 5th St SW,1690007-08,20,"4,940","$249,792"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
117 Chisholm,,Other - LSL 4th St NW,1690007-09,20,"4,940","$750,000"
118 Bertha,,Other - LSL Replacement,1770001-07,20,557,"$131,250"
119 Franklin,,Other - LSL Replacement,1650006-08,20,496,"$373,750"
120 Wabasso,,Treatment - Manganese Plant & Well,1640013-03,20,671,"$1,965,000"
121 Belview,,Other - LSL Replacement,1640001-07,20,337,"$229,500"
122 Rich Prairie Sewer and Water District,,Other - LSL Replacement 2026,1490004-08,20,"1,500","$1,826,550"
123 Hibbing,,Other - LSL 19th St. Replacement,1690022-28,20,"16,028","$120,750"
124 Hibbing,,Other - LSL 2026 Citywide Replacement,1690022-29,20,"16,028","$6,312,500"
125 Winona,,Other - LSL East 3rd St.,1850013-01,20,"27,782","$543,750"
126 Winona,,Other - LSL W Broadway,1850013-02,20,"27,782","$52,500"
127 Winona,,Other - LSL Leaky,1850013-03,20,"27,782","$375,000"
128 Winona,,Other - LSL Westfield East,1850013-04,20,"27,782","$2,850,000"
129 Lowry,,Other - LSL Replacement,1610007-10,20,333,"$50,000"
130 Lamberton,,Other - LSL Replacement Phase 1,1640003-14,20,847,"$325,000"
131 Grand Rapids,,Other - LSL Replacement,1310011-06,20,"11,346","$1,200,000"
132 Blomkest,,Other - LSL Replacement,1340002-05,20,174,"$38,500"
133 Fairmont,,Other - LSL Replacement,1460003-04,20,"10,328","$5,362,960"
134 Morgan,,Other - LSL Replacement,1640006-06,20,896,"$130,000"
