Loan Applicant,L17#,Project Description,Facility No,"Estimated
Construction Start Date",Requested Loan Amount
Mazon,7030,Construct a new water treatment plant and demolition existing plant.,IL0630500,2025-02-01 0:00:00,2990000
Morris,6276,"Construct new water treatment plant, finished watermains, raw watermains, and well
houses for connection to Wells 8 and 9.",630600,2025-01-31 0:00:00,23000000
Mound City,7022,"Replace watermains, hydrants, valves, service lines and meters.",IL1530100,2024-09-02 0:00:00,1854767
Mount Vernon,5593,"Replace 28,850' of watermain, hydrants and valves.",810300,2024-10-02 0:00:00,4650000
Mount Vernon,5594,"Replace 30,750' of watermain, hydrants, and valves.",810300,2025-10-02 0:00:00,4735000
"Murdale Water
District",7080,Rehab and repaint Orchard Hills Road Water Tank.,IL0775200,2024-09-02 0:00:00,412000
Nason,7052,"Replace 25,290' of 6"" PVC watermain, 1,270' of bore, hydrants, meters, service lines, and
valves.",IL0810350,2025-03-30 0:00:00,202500
New Holland,6753,"Replace 11,400' of watermain.",IL1070450,2024-07-30 0:00:00,714395
New Lenox,7012,"Northeast Streets watermain replacement: 13,000' of watermain with 8"" main, hydrants,
valves and service lines.",1970700,2025-01-01 0:00:00,7500000
Nilwood,7164,"Add watermain, install 35 flush hydrants, shut-off valves, and up size 2"" and 4"" watermains.",IL1170750,2024-12-15 0:00:00,1013000
Norris City,7015,"Phase 5: Replace 9,500' of watermains with 6"" PVC watermains, valves, and hydrants.",1930350,2025-04-30 0:00:00,1800000
Odin,,Replace 8 miles of watermain.,IL1210350,2025-10-15 0:00:00,2200000
Orangeville,7029,"Phase 2: Replace watermains, valves, hydrants, booster pump, and generator.",1770350,2026-10-01 0:00:00,1606945
Oreana,6024,Replace watermains and service lines.,IL1150450,2024-10-30 0:00:00,1243375
"Palmyra-Modesto
Water Commission",7092,"Purchase water through SPRWD and decommission PMWC's existing water treatment
plant. Rehab meter pit and stand pipe.",IL1175150,2024-10-01 0:00:00,770000
Park Forest,6975,Phase 1: Replace watermain.,IL0314740,2025-07-01 0:00:00,3667000
Park Forest,6976,Phase 2: Replace watermain.,IL0314740,2027-03-01 0:00:00,4208000
Park Forest,6977,Phase 3: Replace watermian.,IL0314740,2028-03-01 0:00:00,4312000
"Pike County Water
District",6293,"Emergency interconnection to the City of Barry and extending main to serve Possum
Hollow and PAZA Park.",IL1495000,2025-02-03 0:00:00,1471000
Richmond,6814,"Prairie Ridge watermain replacement of 1,000' of watermain.",IL1110750,2025-06-10 0:00:00,500000
Richmond,6815,Phase 2: Watermain looping improvements.,IL1110750,2026-04-01 0:00:00,925000
Rock Island,TBD,Rehab pump stations and domed reservoirs.,IL1610650,2025-03-31 0:00:00,35000000
Romeoville,6781,Replace watermains.,IL1970900,2024-10-15 0:00:00,$        -
Savanna,TBD,"Phase 1: Well house and pump improvements. Replace watermains, valves and improve
booster station.",IL0150250,2025-08-26 0:00:00,3500000
Schiller Park,TBD,"Replace 4,300' of watermain and service lines and install valves.",IL312850,2024-05-01 0:00:00,6300000
Stonington,7060,"Coat water tower, replace watermains, improve well, and install valve.",210550,2024-06-28 0:00:00,2500000
Summit,TBD,Watermain improvements program.,IL0310060,2025-03-01 0:00:00,1600000
Thayer,7162,"Replace 11,500' of watermain, 54 valves and 18 hydrants.",IL1671250,2024-11-01 0:00:00,2058250
Villa Park,TBD,"Biermann Avenue Improvement Project: replace 6"" watermain.",IL0430800,2025-05-01 0:00:00,2100000
Villa Park,TBD,"Myrtle Avenue Improvement Project: replace 6"" watermain.",IL0430800,2025-05-01 0:00:00,1600000
Walnut,7044,"6,700ft of 6"" and 8"" watermain and 81 new water service lines.",111100,2025-11-01 0:00:00,2419000
Woodland,TBD,"New Water Source: 2nd well, elevated storage tank and watermains.",IL0751000,2025-04-01 0:00:00,1300000
Worth,TBD,"Painting interior and exterior of Village's 500,000 gallon elevated water tower.",IL0313360,2026-03-01 0:00:00,$        -
Worth,TBD,Village-wide water meter replacement project.,IL0313360,2026-03-01 0:00:00,$        -
