Epic Project ID,Entity,Project,Estimated Loan Amount,PWS ID,County
NF1,Beaver,Water System Improvements,"$1,370,600.00",OH6600012,PIKE
NF2,Leipsic,Water Treatment Plant,"$14,000,000.00",OH6900612,PUTNAM
