Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
29,74,17302,Blanco,M,TX0160002,3192,"The City of Blanco proposes to replace aging and deteriorated asbestos cement water mains along 7th Street, 9th Street, 12th Street, Main Street, and Pecan Street and to construct a new booster pump station to improve system performance. The existing AC mains are prone to leakage and failure, contributing to water loss, non-revenue water, and service interruptions. The proposed improvements will reduce real water loss, improve pressure stability and hydraulic performance, enhance operational reliability, support compliance with TCEQ system capacity requirements, and strengthe system resiliency during drought and emergency conditions. Funding
for an asset management plan is also included",PDC,7896000,,,,
30,70,17573,"Texas Water Utilities, L.P.",P,TX1110004,5517,"Proposed project will include addition of a backup well for each pressure plane and WTP, an increase in ground storage, and increase in pressure storage, and an increase in service pump capacity to comply with TCEQ's 85% capacity requirements. An asse
management plan will also be prepared as part of this project",PDC,12003000,0.7,Yes-BC,12003000,
31,69,17389,Rio Hondo,M,TX0310006,2311,"The city continues to have a high water loss rate, based on the water loss audit and water use survey. The city has numerous asbestos cement water lines in the older part of town that are nearly 60 years old and prone to ongoing cracks, breaks and substantial leaks. The city also has numerous TCEQ violations in the water distribution system and at the water treatment plant that include distribution system monitoring deficiencies, dead-end main flushing deficiencies, not keeping the distribution system watertight and free of excessive solids, inoperable equipment including the raw water pumps, submersible pump that transfers sludge to the filter backwash basin, insufficient raw water pump capacity, WTP has reached 90% of its treatment capacity, GST corrosion, leaks and manual controls, and failure to prevent discharge of WTP sludge residuals into or adjacent
to any water of the state.",PDC,4715000,0.7,Yes-BC,1750000,
32,68,17798,"Texas Water Utilities, L.P.",P,TX1500037,2256,"Proposed project will include an expansion of the existing WTP to restore compliance with TCEQ capacity requirements. An asset
management plan will also be prepared as part of this project",PDC,9041000,0.7,Yes-BC,9041000,
33,66,17590,"Green Acres Mobile Home
Park",P,TX0710066,150,"The proposed project consists of constructing an on-site arsenic
treatment facility within the existing service area",PDC,831000,0.7,,,
34,66,17490,Laguna Madre WD,D,TX0310005,46710,"The Laguna Madre Water District is seeking funding through the
DWSRF to perform much needed upgrades at their WTP, as well as necessary distribution system upgrades.",PDC,16450000,0.7,,,
35,66,17608,Holiday Lakes,M,TX0200018,991,"Rehabilitation of Water System including Treatment, Storage,
Transmission and Distribution Improvement",PADC,5325000,0.7,,,
36,65,17343,La Feria,M,TX0310003,7226,"The City of La Feria is seeking to enhance its drought resiliency via new water sources and new water storage facilities. This project will create resiliency by adding two critical facilities to supplement its
water supply and create much needed water storage",PDC,14700000,0.7,,,
37,64,17679,Sharyland WSC,W,TX1080033,73699,"Sharyland Water Supply Corporation (SWSC) is seeking funding through the DWSRF to enhance service delivery and improve the overall performance, redundancy, and resilience of its water system. Proposed projects include groundwater wells to supplement existing surface water supply and expanding capacity and infrastructure performance upgrades at SWSC's existing water treatment plants
(WTPs).",PDC,21300000,0.7,,,
38,63,17266,Denning WSC,W,TX2030004,648,"The project includes constructing Plant No. 2 with a pump station, water well, ground storage tank, and pressure tank. In addition to the plant, the WSC will replace 41,500 linear feet of water main that is
smaller than 2"".",PADC,3519647,0.7,Yes-BC,120000,
39,62,17250,Bartlett,M,TX2460006,1633,Bartlett New Municipal Well,PADC,5678198,,,,
40,62,17483,Jones River Bend WSC,W,TX1490036,80,"Treated water will flow from Beeville's pressurized pipeline through a pressure reducing valve and RPZ backflow prevention valve into a 2-inch PVC pipeline to a vault near the JRBWSC distribution system. The vault will house Beeville's wholesale water meter with cut-off valves, and potentially a pressure reducing valve on the JRBWSC side. The project will include customer meters and, if funding allows,
new service lines throughout the JRBWSC area",PADC,1199950,0.7,,,
41,61,17503,New Home,M,TX1530004,326,"The City has had high Arsenic and Flouride levels that exceed the
MCL of 0.01 and 4 mg/L for several consecutive years and the City is under EPA enforcement action",PADC,1682641.69,,,,
42,61,17391,Beeville,M,TX0130001,13664,"This project will include a centralized brackish groundwater reverse osmosis system fed by existing groundwater wells, construction of new groundwater wells, installation of new water lines, and expansion
of the Cleveland Street Water Treatment Plant",PADC,34000000,0.7,,,
43,61,17766,Vernon,M,TX2440001,11002,"The City of Vernon is seeking funding to replace a section of the
supply line from the City's well field",PADC,5000000,0.7,,,
44,60,17257,Centerville,M,TX1450002,905,Centerville Watermain Replacement,PDC,2242292,0.7,,,
45,60,17278,Fort Griffin SUD,D,TX2090005,695,"The project consists of replacing existing water lines in order to reduce water loss, installing a new hydropneumatic pump station, installing main line check meters and rehabilitating two elevated
tanks.",PDC,4599000,,Yes-BC,4500000,
46,60,17827,Lake Livingston WSSSC,W,TX1870166,6011,"Expand the existing surface water treatment capacity from 1.0 MGD
to 2.0 MGD.",PADC,22662106,,,,
47,59,17484,"Texas Water Utilities, L.P.",P,TX1700580,66,"The applicant proposes to drill an additional well to provide backup well capacity, and additional pressure tank capacity for the 1485 Limited Crystal Springs WTP. An additional well is required as the utility only has one operating well that is at the end of its useful life. The project will also include the development of an asset
management plan.",PADC,2858000,0.7,Yes-BC,2858000,
48,59,17740,Tenaha,M,TX2100002,1746,"The project includes replacing approximately 25,120 LF of small diameter 1.5"" and 2"" water mains with 6"" C900 water mains. The water main replacement is targeting small diameter, aging lines that are accounting for a significant portion of the City's current water loss",PDC,3056740,0.7,,,
49,59,17340,Athens,M,TX1070005,12857,"This project involves the design and construction of the major structural, mechanical, and electrical components of a new Raw Water Intake Facility, and removal of the existing facility. This project also provides water loss mitigation by installing new pumps that are better matched to the City's distribution system demands, eliminating the need to flush treated water from the distribution system during
very low demand periods",DC,17025000,0.7,Yes-BC,17025000,
50,59,17341,Athens,M,TX1070005,12857,"The City of Athens has significant portions of their water distribution system that have a great deal of water loss due to old, leaking pipes. This project involves rehabilitation and replacement of pipes to help
address the water loss problem.",DC,16950000,0.7,Yes-BC,16950000,
51,58,17624,Presidio County WID #1 dba Redford Water,D,TX1890012,82,"Redford Water Supply is a rural public water system located approximately 15 miles Southeast of Presidio, along Highway 170 in Presidio County. The system is supplied by groundwater and is currently under enforcement for exceeding the Maximum Contaminan Level for arsenic. The Water Supply proposes the implementation of a treatment system, metering infrastructure, and SCADA controls to address identified deficiencies in the Redford Water Supply System.",PDC,2825000,0.7,Yes-CE,500000,
52,58,17797,Paxton WSC,W,TX2100031,1137,"The project includes drilling a water well and constructing a reverse osmosis treatment facility to remove elevated levels of total dissolved
solids.",PADC,2911240,0.7,Yes-BC,120000,
53,58,17265,Wolfe City,M,TX1160005,1398,"Project includes a new elevated storage tank, rehabilitation of existing
elevated storage tank, and replacement of distribution lines",PDC,10954000,0.7,,,
54,57,17648,Rehobeth WSC,W,TX1830012,1095,"Install a new designated fill line to the elevated storage tank, disinfection system relocation, distribution line improvements, and
install a new aerator",PDC,4033500,,,,
55,57,17586,"Texas Water Utilities, L.P.",P,TX0910040,2037,"Proposed project will include addition of a backup well, and an increase in pressure storage and service pump capacity to comply with TCEQ's 85% capacity requirements. An asset management plan
will also be prepared as part of this project",PADC,5219000,0.7,Yes-BC,5219000,
56,56,17351,Medina WSC,W,TX0100013,780,"Improvements: Finch EST & GST Rehabilitation; Stringtown new 50,000 Gallon GST; Stringtown Pressure Tank; Smart Water Meters & Water Line Replacement for Leaks; and Proposed two (2) new
PRVs. An Asset Management Plan",PDC,1100000,0.7,Yes-BC,500000,
57,56,17487,"Texas Water Utilities, L.P.",P,TX1010931,975,"The applicant proposes an additional well for redundancy, adding additional tank capacity and performing ACR analysis to reach 85% Capacity Rule compliance. This project will include an asset
management plan.",PADC,4332000,0.7,Yes-BC,4332000,
58,56,17329,Knox City,M,TX1380002,1037,"The City's aging water distribution system is currently experiencing an estimated 60 percent combined water loss. The proposed project will replace deteriorated pipelines, install system-wide AMI meters, integrate a SCADA monitoring system, rehabilitate storage and emergency well infrastructure, and implement an asset management plan. Improvements will significantly reduce water loss, improve system reliability and monitoring, resolve compliance issues with the TCEQ, implement an asset management plan, and enhance the
delivery of safe drinking water",PDC,26409000,0.7,,3871492,
59,56,17500,"Texas Water Utilities, L.P.",P,TX2340007,2145,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. Also, the existing water lines all need to be replaced as it is first generation PVC and subject to severe leakage and water loss. An asset management plan will also be prepared as
part of this project.",PADC,16486000,0.7,Yes-BC,16486000,
60,56,17606,Winters,M,TX2000003,2345,"The City of Winters' distribution system line is composed of aging and deteriorating water lines that need replacement. It is proposed the cit shall replace parts of the distribution system. In addition, the project proposes to also replace water meters. The project includes the
preparation of an asset management plan",PDC,4867000,0.7,Yes-BC,4867000,
61,56,17313,Cisco,M,TX0670001,4076,"The City of Cisco seeks to replace the entire distribution system from the water treatment plant and all throughout the city, along with a parallel line running from the water treatment plant to the college pump station. The high service pump station needs to be rehabilitated. The EQ basin pump is old and needs to be rehabilitated The development of an Asset Management Plan will also be included
as part of the proposed project.",PDC,87033000,0.7,Yes-BC,87000000,
62,56,17574,"Texas Water Utilities, L.P.",P,TX1680004,2175,"The applicant proposes to drill an additional well to reach firm capacity and incorporate distribution improvements to enhance water production and plant efficiency. The project will also include the
development of an asset management plan",PADC,46072000,0.7,Yes-BC,46072000,
63,56,17362,North Rural WSC,W,TX1820009,3610,"North Rural Water Supply Corporation (NRWSC) has experienced significant water loss due to main breaks and leaks in aging water lines within its distribution system. The primary 8-inch diameter water lines, originally installed in the 1960s, have exceeded their useful service life and are targeted for replacement to reduce water loss and improve system reliability. While NRWSC has proactively replaced portions of these lines as funding has allowed, assistance is needed to complete replacement of the remaining 8-inch lines within the East
Pressure Plane.",PDC,3865000,0.7,Yes-BC,2022000,
64,55,17446,Mingus,M,TX1820008,365,"Install waterline loops to increase water quality and replace old deteriorated and leaking waterlines within the City to prevent water
loss and comply with regulatory requirements",PDC,1710000,0.7,,,
65,55,17799,Terrell Co WCID # 1,D,TX2220002,800,"Terrell County WCID consistently experiences both real and apparent water loss, struggles to maintain consistent water quality, and is unable to utilize the existing distribution system without frequent leak The proposed project includes replacement of the entire existing water distribution system, water meters, SCADA integration, rehabilitation of existing water wells, installation of a new elevated storage tank (EST), replacement of fire hydrants and associated
appurtenances, and restoration of all affected roadways",PDC,49003000,0.7,Yes-CE,49000000,
66,55,17361,Nacogdoches,M,TX1740003,50226,"The proposed project consists of improvements to the City's drinking water system, including the replacement and/or rehabilitation of aging and deteriorated water distribution lines to reduce water loss, improve system reliability, and enhance water quality. Targeted water lines experience frequent leaks, elevated maintenance demands, and contribute to overall system inefficiencies.",PDC,15240000,0.7,,,
67,54,17379,Toyah,M,TX1950004,61,"The City of Toyah is a disadvantaged community serving 30 connections that has experienced long-term noncompliance due to inadequate surface water treatment, lack of licensed operators, and aging infrastructure. The system is relying on hauled water from the City of Pecos, which is not financially sustainable. This Planning, Acquisition, and Design study will evaluate protecting the existing mountain spring at its source to prevent surface contamination and allow reclassification as groundwater requiring only chlorination. The study will include water rights clarification, source classification, infrastructure assessment, and environmental review. The goal is to develop a sustainable, low-operator-dependency regional solution in collaboration with the City of Balmorhea and Reeves County partners.",PA,1800000,0.7,,,
68,54,17778,Strawn,M,TX1820005,1000,"Drill and permit a fourth groundwater well at the City of Strawn
Desdemona Pump Station in accordance with TCEQ requirements",PDC,360000,0.7,,,
69,54,17888,Zavala Co WCID # 1,D,TX2540003,1294,"Replace asbestos cement and cast iron water distribution lines with PVC piping, install gate valves for system isolation, and replace undersized piping to reduce water loss and restore adequate system
pressure.",PC,3081960,0.7,,,
70,54,17427,Daingerfield,M,TX1720001,2135,Waterline Replacements,PDC,4889785,0.7,,,
71,53,17338,Annona,M,TX1940004,363,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, and Finish Water Line",PADC,400000,0.7,Yes-BC,26167930,
72,53,17491,Hooks,M,TX0190002,2518,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,1000000,0.7,Yes-BC,26167930,
73,53,17759,Texarkana,M,TX0190004,37000,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,300000,0.7,Yes-BC,26167930,
74,52,17470,Shallowater,M,TX1520003,3119,"3 new brackish wells, advanced water treatment, additional storage,
fire protection, distribution pump station, transmission pump station, transmission line and water infrastructur",C,50169490,,,,
75,52,17623,Pflugerville,M,TX2270014,64528,"The City of Pflugerville declared a water shortage emergency on March 4, 2026, due to a break in the existing 15-mile 30-inch diameter raw water pipeline that transports water from the Colorado River to Lake Pflugerville. The City instituted Stage 3 water restrictions and is in the process of installing a temporary raw water pipe system to bypass the failed section. Approximately 320 linear feet of 24"" HDPE piping and specialized fittings will be installed to bring the 30"" line back into service while the failed segment is being repaired. This project includes materials and labor associated with the leak investigation and dewatering effort, the installation of the 24"" HDPE bypass system, replacement of the failed segment of the existing 30"" line, testing and reconnection of the cathodic protection system for this segment, environmental controls required to protect the creek, and restoration and installation of erosion controls of the
disturbed areas.",C,2590500,,,,
76,52,17330,Loraine,M,TX1680002,504,"The project scope primarily consists of replacing various portions of the City's potable water distribution pipeline and valves. The project scope also includes well rehabilitation, constructing a new well, and
demolition of two old ground storage tanks",PDC,6539000,0.7,Yes-BC,3594000,
77,52,17652,Rio Grande City,M,TX2140018,15987,"The City of Rio Grande City proposes critical water system improvements to address increase in daily demand, severe low pressure concerns, aging infrastructure, and operational safety hazards. The project includes replacement of the existing 8-inch asbestos cement (AC) water line with a 12-inch PVC water main to adequately serve the east side of town, installation of isolation valves systemwide to improve maintenance and reduce contamination risks, construction of a 1.0-MGD elevated storage tank in Las Lomas (Alto Vista) to stabilize system pressures, and essential upgrades at the water treatment plant, including rehabilitation of treatment processes, pump replacements, SCADA modernization, and restoration of
redundant capacity",PDC,14200000,0.7,,,
78,51,17299,Avery,M,TX1940005,408,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,400000,0.7,Yes-BC,26167930,
79,51,17805,"Texas Water Utilities, L.P.",P,TX1700435,1086,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,3801000,0.7,Yes-BC,3801000,
80,51,17477,Hudspeth Co WCID # 1,D,TX1150007,2045,"Hudspeth County Water Control and Improvement District No. 1(HCWC&ID No 1) currently relies on a 53-year-old, 30-mile transmission pipeline and a 52-year-old pump station from Van Horn, both of which experience recurring failures that disrupt water service to Sierra Blanca. To improve system reliability and comply with potential TCEQ requirements for an alternative water source, the District proposes developing a new groundwater well and implementing critical system upgrades. These improvements include SCADA installation, emergency backup generators, and rehabilitation or replacement of the existing pump station and transmission pipeline to reduce pipeline failures and ensure long-term operational
resilience.",ADC,60865022,0.7,,,
81,51,17332,Alamo,M,TX1080001,20008,"The project will include development of a brackish ground water well and installation of reverse osmosis water treatment facilities to augment the City's source of surface water supply due to ongoing surface water shortages in the Rio Grande Valley area. The project will provide for the treatment of 1.0 MGD of brackish ground water and will serve as an alternate source of water for the City's water service area and community. Project also includes the preparation of
an Asset Management Plan",PDC,20420000,0.7,Yes-BC,20400000,
82,51,17398,Brazosport WA,D,TX0200497,140233,"The Brazosport Water Authority is proposing to expand the water treatment plant constructing improvements that would provide an additional 11.3 MGD to the plant capacity, bringing the total plant
capacity to 29.2 MGD.",PC,26213900,,,,
83,51,17635,Joaquin,M,TX2100010,1620,"The project includes developing two (2) additional water wells and
expanding the existing reverse osmosis treatment rack to improve the City's water supply",PADC,2293549,0.7,Yes-BC,84000,
84,51,17519,Legacy WSC,W,TX2400051,2341,"The scope of our proposed project would be to upsize planned infrastructure of the Legacy Water Supply Corporation to provide first-time centralized service to the three Colonia regions including planning and development of source, treatment, storage, and distribution of a potable water supply for the unserved Colonias. This project also includes provision of service to existing struggling Public Water Supply systems Los Botines WSC and Los Botines Vaquero
Village Water System.",PADC,59624461,0.7,,,
85,50,17397,Rochelle WSC,W,TX1540004,282,"Replacement of non-functioning gate valves and aged water lines in
the distribution system",PDC,400000,0.7,,,
86,50,17452,Fair Play WSC,W,TX1830007,730,"The project includes water line replacements and looping, and ground
storage and pressure tank improvements.",PDC,2421854,0.5,,,
87,50,17622,Coolidge,M,TX1470001,955,Coolidge Water Systems Improvement Project,PDC,7877191,0.7,,,
88,50,17796,De Berry WSC,W,TX1830006,1101,"Water supply improvements includes two remote water wells with approximately 3,700 LF of 4"" raw water main. Green sand pressure filters are proposed to filter elevated oxidized manganese. The CR 338 water main improvements include approximately 8,000 LF of 4"" water main to replace old, frequently leaking, undersized water mains that are contributing a significant amount of water loss in the WSC's total water loss amounts. The WSC also intends to replace the
existing water meters.",PADC,2451875,0.7,Yes-BC,160000,
89,50,17424,Canyon Park WSC,W,TX1870034,1200,Replacement of undersized and inadequate water lines.,PDC,5945000,0.7,Yes-BC,250000,
90,50,17412,Trinidad,M,TX1070004,1482,"Upgrades and rehabilitation of the water distribution system of the
City of Trinidad. It includes main transmission lines, distribution lines, valves, water meters, and fire hydrants",PDC,9732005,0.7,,,
91,50,17637,Trinidad,M,TX1070004,1482,"The project will include rehabilitation and improvements of the Water
Treatment Plant and Surface Water Intake Structures",PDC,14212240,0.7,,,
92,50,17369,Olton,M,TX1400004,1552,"The City of Olton is requesting funds to expand its current well field by
adding one additional water well and supply line",PDC,525000,0.3,,,
93,50,17903,Medina County Public Utility Agency,C,,45894,"New ASR test well and monitor well for Medina County Public Utility
Agency. Six interconnections between water systems for a total of
19.90 miles.",PADC,87100000,,Yes-BC,87100000,
94,50,17571,"Texas Water Utilities, L.P.",P,TX0100037,3654,"The Lake Medina Shores Water System urgently requires storage and service pump improvements to meet outstanding water demands and achieve compliance without further enforcement actions. The
project will include an asset management plan",PADC,22096000,0.7,Yes-BC,22096000,
95,49,17505,"Texas Water Utilities, L.P.",P,TX1580020,255,"Proposed project will include addition of a backup well, and an increase in service pump capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,2751000,0.7,Yes-BC,2751000,
96,49,17511,"Texas Water Utilities, L.P.",P,TX0100039,507,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,5368000,0.7,Yes-BC,5368000,
97,49,17773,Waskom,M,TX1020003,2923,"The proposed project is intended to expand water supply with further well field development, reduce water loss with water line and meter replacements, and provide more monitoring and control of the system
with a SCADA system.",PADC,5463685,0.7,Yes-BC,140000,
98,49,17502,Falfurrias,M,TX0240001,4473,"The City of Falfurrias is seeking funding from the DWSRF to address the urgent need to improve the condition, efficiency, and resiliency of
its water system.",PDC,14900000,0.5,,,
99,48,17743,Tri-Try WSC,W,TX2170004,81,"This project includes the construction of a new pump station for the
WSC at their entry point.",PC,600000,,,,
100,48,17761,Tri-Try WSC,W,TX2170004,81,"This project will reduce TTHM levels to gain compliance with the
Stage 2 Disinfection Biproducts (DBP) Rule, as well as address activ TCEQ compliance issues.",PDC,275000,,,,
101,48,17249,Bangs,M,TX0250001,1540,"Project includes preparation of Geographic Information System, water line leak detection, and replacement of approximately 35,000 linear feet of aging cast iron and asbestos concrete water line with
PVC or HDPE water lines.",PDC,2464000,0.7,,,
102,48,17602,Palestine,M,TX0010001,31272,New Water Wells,PDC,14850000,0.7,,,
103,47,17832,Olmito WSC,W,TX0310026,13300,"This project will include the development of a brackish ground water well and installation of reverse osmosis water treatment facilities to augment Olmito WSC's source of surface water supply due ongoing surface water shortages in the Rio Grande Valley area.
Additional water supply capacity is currently needed based on the current number of active connections and ACR in place.
This project will provide for the treatment of 1.0 MGD of brackish groundwater and will serve as an alternate source of water for the Olmito WSC water service area and community to improve Olmito WSC's water supply reliability.
The project also includes the preparation of an Asset Management Plan.",PADC,20960000,0.7,Yes-BC,20000000,
104,47,17570,"Texas Water Utilities, L.P.",P,TX1500008,414,"Proposed project includes an expansion of the existing WTP. The proposed project also includes development of an asset
management plan.",PDC,5774000,0.7,Yes-BC,5774000,
