Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency"
"APPLETON, CITY OF",4755-08,BIL SFY27 LSL Replacement Program,"$1,065,000",NE,HANNER,Yes
"ARGYLE, VILLAGE OF",5658-04,BIL SFY27 LSL Replacement Program,"$500,000",SC,ZETTLT,Yes
"ASHLAND, CITY OF",4759-37,BIL SFY27 LSL Replacement Program,"$634,525",NO,Andruc,Yes
"BARABOO, CITY OF",4762-08,BIL SFY27 LSL Replacement Program,"$1,023,000",SC,ZETTLT,Yes
"BEAVER DAM, CITY OF",4764-19,BIL SFY27 LSL Replacement Program,"$400,000",SC,ZETTLT,Yes
"BELOIT, CITY OF",5471-13,BIL SFY27 LSL Replacement Program,"$8,750,000",SC,ZETTLT,Yes
"BURLINGTON, CITY OF",5475-04,BIL SFY27 LSL Replacement Program,"$5,500,000",SE,BINDEB,Yes
"CEDARBURG, CITY OF",5628-05,BIL SFY27 LSL Replacement Program,"$350,000",SE,BINDEB,Yes
"CHETEK, CITY OF",4781-10,BIL SFY27 LSL Replacement Program,"$790,000",NO,ANDRUD,Yes
"DARLINGTON, CITY OF",5387-11,BIL SFY27 LSL Replacement Program,"$300,000",SC,ZETTLT,Yes
"ELKHORN, CITY OF",5525-19,BIL SFY27 LSL Replacement Program,"$3,000,000",SE,BINDEB,Yes
"EVANSVILLE, CITY OF",4803-11,BIL SFY27 LSL Replacement Program,"$250,000",SC,ZETTLT,Yes
"FOND DU LAC, CITY OF",5142-20,BIL SFY27 LSL Replacement Program,"$7,000,000",NE,HANNER,Yes
"FORT ATKINSON, CITY OF",5052-02,BIL SFY27 LSL Replacement Program,"$4,088,040",SC,ZETTLT,Yes
"JUNEAU, CITY OF",4824-13,BIL SFY27 LSL Replacement Program,"$200,000",SC,ZETTLT,Yes
"KEWAUNEE, CITY OF",5508-11,BIL SFY27 LSL Replacement Program,"$4,500,000",NE,HANNER,Yes
"KIMBERLY, VILLAGE OF",5375-03,BIL SFY27 LSL Replacement Program,"$1,330,000",NE,HANNER,Yes
"LAKE GENEVA, CITY OF",5607-08,BIL SFY27 LSL Replacement Program,"$750,000",SE,BINDEB,Yes
"LAKE MILLS, CITY OF",4828-13,BIL SFY27 LSL Replacement Program,"$2,056,000",SC,ZETTLT,Yes
"LITTLE CHUTE, VILLAGE OF",5361-04,BIL SFY27 LSL Replacement Program,"$2,135,000",NE,HANNER,Yes
"LODI, CITY OF",4835-14,BIL SFY27 LSL Replacement Program,"$691,500",SC,ZETTLT,Yes
"MELLEN, CITY OF",5444-07,BIL SFY27 LSL Replacement Program,"$1,210,000",NO,ANDRUD,Yes
"MENOMONIE, CITY OF",4846-10,BIL SFY27 LSL Replacement Program,"$500,000",WC,JAROMAHB,Yes
"MILTON, CITY OF",4850-08,BIL SFY27 LSL Replacement Program,"$380,000",SC,ZETTLT,Yes
"MILWAUKEE, CITY OF",4851-55,BIL SFY27 LSL Replacement Program- Public,"$11,898,278",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-58,BIL SFY27 LSL Replacement Program- CTs- Private,"$12,540,000",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-57,BIL SFY27 LSL Replacement Program- CTs- Public,"$23,028,000",SE,BINDEB,Yes
"MILWAUKEE, CITY OF",4851-56,BIL SFY27 LSL Replacement Program- Private,"$5,040,000",SE,BINDEB,Yes
"MINERAL POINT, CITY OF",5446-14,BIL SFY27 LSL Replacement Program,"$400,000",SC,ZETTLT,Yes
"MONROE, CITY OF",4852-24,BIL SFY27 LSL Replacement Program,"$1,830,000",SC,ZETTLT,Yes
"MONTREAL, CITY OF",5621-14,BIL SFY27 LSL Replacement Program,"$250,000",NO,ANDRUD,Yes
"NIAGARA, CITY OF",4862-17,BIL SFY27 LSL Replacement Program,"$161,250",NE,HANNER,Yes
"OMRO, CITY OF",5091-18,BIL SFY27 LSL Replacement Program,"$2,500,000",NE,HANNER,Yes
"OSHKOSH, CITY OF",4874-23,BIL SFY27 LSL Replacement Program,"$3,663,000",NE,HANNER,Yes
"OSHKOSH, CITY OF",4874-24,BIL SFY27 LSL Replacement Program- CT,"$2,362,500",NE,HANNER,Yes
"PRAIRIE DU CHIEN, CITY OF",5163-15,BIL SFY27 LSL Replacement Program,"$231,000",WC,JAROMAHB,Yes
"RACINE, CITY OF",4887-27,BIL SFY27 LSL Replacement Program,"$40,000,000",SE,BINDEB,Yes
"RANDOLPH, VILLAGE OF",4888-16,BIL SFY27 LSL Replacement Program,"$420,000",SC,ZETTLT,Yes
"RICE LAKE, CITY OF",5513-11,BIL SFY27 LSL Replacement Program,"$732,500",NO,ANDRUD,Yes
"RIDGEWAY, VILLAGE OF",5206-14,BIL SFY27 LSL Replacement Program,"$150,000",SC,ZETTLT,Yes
"RIPON, CITY OF",5289-26,BIL SFY27 LSL Replacement Program,"$500,000",NE,HANNER,Yes
"SAUK CITY, VILLAGE OF",5629-05,BIL SFY27 LSL Replacement Program,"$500,000",SC,ZETTLT,Yes
"SHEBOYGAN FALLS, CITY OF",5656-05,BIL SFY27 LSL Replacement Program,"$800,000",SE,BINDEB,Yes
"SHEBOYGAN, CITY OF",4901-20,BIL SFY27 LSL Replacement Program-- CTs Group 1,"$1,000,000",SE,BINDEB,Yes
"SHEBOYGAN, CITY OF",4901-21,BIL SFY27 LSL Replacement Program- CTs Group 2,"$3,000,000",SE,BINDEB,Yes
"SHEBOYGAN, CITY OF",4901-19,BIL SFY27 LSL Replacement Program- Municipal,"$1,000,000",SE,BINDEB,Yes
"SHELL LAKE, CITY OF",5522-08,BIL SFY27 LSL Replacement Program,"$300,000",NO,ANDRUD,Yes
"SHOREWOOD, VILLAGE OF",5630-07,BIL SFY27 LSL Replacement Program- CT 801,"$3,083,000",SE,BINDEB,Yes
"SHOREWOOD, VILLAGE OF",5630-05,BIL SFY27 LSL Replacement Program- CT 804,"$2,507,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-19,BIL SFY27 LSL Replacement Program,"$600,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-21,BIL SFY27 LSL Replacement Program: CT 1701,"$3,500,000",SE,BINDEB,Yes
"SOUTH MILWAUKEE, CITY OF",4907-20,BIL SFY27 LSL Replacement Program: CT 1703,"$2,500,000",SE,BINDEB,Yes
