"Self1Score",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"Federal2Equivalency"
42,"MILTON, CITY OF",4850-06,Replace WM on Greenman/Larch/Babcock/Columbus etc,"$1,520,000.00",SC,Zettl,
42,"SPOONER, CITY OF",4911-11,Replace WM on Harmon St,"$675,000.00",NO,Andruczyk,
42,"TOMAHAWK, CITY OF",5342-07,Replace WM on Nelson Dr,"$750,000.00",NO,Andruczyk,
40,"STRUM, VILLAGE OF",5569-04,Construct Looping Main from Butternut to East Walnut,"$880,000.00",WC,Jaromin,
40,"NECEDAH, VILLAGE OF",5201-03,Construct Well #5,"$2,804,821.00",WC,Jaromin,
40,"MINONG, VILLAGE OF",5447-10,Rehab Wellhouse #1,"$1,857,328.00",NO,Andruczyk,
40,"MINONG, VILLAGE OF",5447-11,Rehab Wellhouse #2,"$1,857,328.00",NO,Andruczyk,
40,"PHILLIPS, CITY OF",4878-04,Replace Watermains on Avon Ave,"$1,300,000.00",NO,Andruczyk,
40,"LAKE GENEVA, CITY OF",5607-03,Replace WM on STH 50 (Main St.),"$1,000,000.00",SE,Binder,
39,BLUFFVIEW SD,5487-03,"Replace WMs on Center, Western, & South Streets","$400,000.00",SC,Zettl,
38,"KAUKAUNA, CITY OF",5120-24,Install Emergency Generator at Well #5,"$500,000.00",NE,Hannes,
38,"KAUKAUNA, CITY OF",5120-26,Install Emergency Power at Well #10,"$500,000.00",NE,Hannes,
38,"KAUKAUNA, CITY OF",5120-25,Install Emergency Power at Well #8,"$500,000.00",NE,Hannes,
38,"WAUZEKA, VILLAGE OF",4932-03,Recoat/Upgrade Water Tower,"$300,000.00",WC,Jaromin,
38,"MISHICOT, VILLAGE OF",5586-03,Replace WM on Main St,"$1,500,000.00",NE,Hannes,
38,"COBB, VILLAGE OF",5624-04,Replace WM on S Union St,"$310,000.00",SC,Zettl,
38,"TOMAHAWK, CITY OF",5342-06,Replace WM on Spirit Ave from Tomahawk to 6th,"$500,000.00",NO,Andruczyk,
38,"STANLEY, CITY OF",4913-09,Replace WMs on W Maple and S McKnight,"$1,950,007.00",WC,Jaromin,
37,FREEDOM SD #1,5194-03,Rehab Water Treatment System,"$1,772,150.00",NE,Hannes,
36,"OAKDALE, VILLAGE OF",5451-02,Construct Well #2,"$1,300,000.00",WC,Jaromin,
36,"MCFARLAND, VILLAGE OF",4990-10,Construct Well #5,"$4,231,000.00",SC,Zettl,
36,MERCER SD #1,4848-03,Rehab Well #2,"$2,100,000.00",NO,Andruczyk,
36,MERCER SD #1,4848-04,Rehab Well #3,"$2,100,000.00",NO,Andruczyk,
36,"BEAVER DAM, CITY OF",4764-09,Replace Existing Fe Treatment,"$32,000,000.00",SC,Zettl,
36,"EMBARRASS, VILLAGE OF",5653-01,Replace WM on Main/ Belleview/ Grand,"$1,800,000.00",NE,Hannes,
36,"BOYD, VILLAGE OF",4772-02,Replace WM on Patten St,"$1,566,500.00",WC,Jaromin,
36,"WISCONSIN DELLS, CITY OF",4996-06,Replace WM on Wis Dells Pkwy USH 12,"$3,215,552.00",SC,Zettl,
36,"PRENTICE, VILLAGE OF",5205-02,Replace WMs on Railroad Ave,"$1,200,000.00",NO,Andruczyk,
36,"POTOSI, VILLAGE OF",5604-02,"Upgrade Well #2 & Booster Pumps, Update SCADA","$250,000.00",SC,Zettl,
36,"VESPER, VILLAGE OF",5549-08,Upgrade/Rehab Water Treatment Plant,"$1,125,728.00",WC,Jaromin,
36,"SIREN, VILLAGE OF",4905-07,Upgrades and Treatment for Well #1,"$514,458.00",NO,Andruczyk,
36,"SIREN, VILLAGE OF",4905-08,Upgrades and Treatment for Well #2,"$508,958.00",NO,Andruczyk,
34,"MONTICELLO, VILLAGE OF",4853-07,Rehab North Water Tower,"$300,000.00",SC,Zettl,
34,"MONTICELLO, VILLAGE OF",4853-08,Rehab South Water Tower,"$300,000.00",SC,Zettl,
34,"BAYFIELD, CITY OF",5385-08,"Replace Aged/Undersized WMs; Abandon 4""; Replace Services","$2,400,000.00",NO,Andruczyk,
34,"HAYWARD, CITY OF",5198-05,Replace Watermain on Beal Avenue from USH 63 to Railroad Street,"$615,000.00",NO,Andruczyk,
34,"BONDUEL, VILLAGE OF",5057-04,Replace WM on Adams St,"$600,000.00",NE,Hannes,
34,"WHITEFISH BAY, VILLAGE OF",5214-16,Replace WM on N Shoreland/N Hollywood,"$2,824,242.00",SE,Binder,
32,"MATTOON, VILLAGE OF",4842-04,Backup Generator for Well #4,"$1,407,807.00",NE,Hannes,
32,"MONTREAL, CITY OF",5621-12,Construct Central Treatment Plant for Mn & TOC,"$750,000.00",NO,Andruczyk,
32,"POTOSI, VILLAGE OF",5604-04,Construct Spruce Park Looping Main,"$250,000.00",SC,Zettl,
32,"TREMPEALEAU, VILLAGE OF",4943-04,Extend WM on 2nd St,"$500,000.00",WC,Jaromin,
32,"SIREN, VILLAGE OF",4905-05,Looping WM on 3rd Ave and Rasmussen St,"$195,110.00",NO,Andruczyk,
32,"LODI, CITY OF",4835-11,Rehab Water Reservoir,"$500,000.00",SC,Zettl,
32,"MONTREAL, CITY OF",5621-15,Rehabilitate Well #4,"$750,000.00",NO,Andruczyk,
32,"RANDOLPH, VILLAGE OF",4888-08,Replace Watermains on 1st St and 2nd St,"$4,000,000.00",SC,Zettl,
32,"DALLAS, VILLAGE OF",5504-06,Replace Watermains on Multiple Streets,"$535,000.00",NO,Andruczyk,
32,"OSSEO, CITY OF",4875-08,Replace WM on Elevator St,"$534,366.00",WC,Jaromin,
32,"FOX LAKE, CITY OF",5583-01,Replace WM on STH 33,"$1,100,000.00",SC,Zettl,
32,"CRANDON, CITY OF",5397-05,Replace WMs Along W Glen St/USH 8,"$2,033,728.00",NO,Andruczyk,
32,"OAKFIELD, VILLAGE OF",5050-05,Replace WMs on Main St and Filby St,"$750,000.00",NE,Hannes,
32,"OCONTO FALLS, CITY OF",4870-10,Upgrade Well No.2,"$1,000,000.00",NE,Hannes,
30,"GRESHAM, VILLAGE OF",5313-05,Replace WM on Bartelt and Park Street,"$800,000.00",NE,Hannes,
30,"MISHICOT, VILLAGE OF",5586-02,Replace WM on South Rockway St,"$700,000.00",NE,Hannes,
29,"RHINELANDER, CITY OF",5288-20,Replace water transmission main on Shepard St/Coolidge Ave,"$1,088,000.00",NO,Andruczyk,
28,"WEST ALLIS, CITY OF",5404-15,Construct Booster Station,"$2,291,000.00",SE,Binder,Yes
28,"VESPER, VILLAGE OF",5549-09,Construction Watermain Loop for Southwest,"$446,084.00",WC,Jaromin,
28,"DALLAS, VILLAGE OF",5504-12,Rehab Storage Tank,"$50,000.00",NO,Andruczyk,
28,"DALLAS, VILLAGE OF",5504-10,Rehab Wellhouse #1,"$50,000.00",NO,Andruczyk,
28,"DALLAS, VILLAGE OF",5504-11,Rehab Wellhouse #2,"$50,000.00",NO,Andruczyk,
28,"LODI, CITY OF",4835-05,Rehab Wellhouse #2 and appurtenances,"$750,000.00",SC,Zettl,
28,"POTOSI, VILLAGE OF",5604-09,Rehabilitate Water Reservoir,"$150,000.00",SC,Zettl,
28,"STRATFORD, VILLAGE OF",5290-07,Replace WM along Legacy St.,"$327,765.00",WC,Jaromin,
28,"STRATFORD, VILLAGE OF",5290-08,Replace WM along Legion St.,"$390,820.00",WC,Jaromin,
28,"WEBSTER, VILLAGE OF",5517-06,Replace WM along STH 35,"$750,000.00",NO,Andruczyk,
28,"POUND, VILLAGE OF",5674-01,Replace WM on Colburn St,"$488,000.00",NE,Hannes,
28,"STRUM, VILLAGE OF",5569-05,Replace WM on Elm St,"$1,190,000.00",WC,Jaromin,
28,"WAUTOMA, CITY OF",4931-04,Replace WM on Oxford St,"$675,000.00",NE,Hannes,
28,"PRINCETON, CITY OF",5427-05,"Replace WM on S Clinton, S Howard, Harvard, & Wisconsin Streets","$1,182,478.00",NE,Hannes,
28,"DARIEN, VILLAGE OF",4984-02,Replace WM on Walworth Street,"$1,287,500.00",SE,Binder,
28,"FALL CREEK, VILLAGE OF",5063-06,Replace WMS on E Tyler/White/E Truman,"$1,040,000.00",WC,Jaromin,
27,SENECA SD #1,5514-02,Construct Well #2 Including Well House And Connecting Mains,"$900,000.00",WC,Jaromin,
27,"TWO RIVERS, CITY OF",4920-61,Replace WM on 25th/ School/ River,"$640,000.00",NE,Hannes,
27,"MILWAUKEE, CITY OF",4851-54,Replace WMs System-Wide,"$6,881,876.00",SE,Binder,Yes
24,"BELOIT, CITY OF",5471-11,Rehab Mill St Elevated Tank,"$1,255,000.00",SC,Zettl,Yes
24,"MCFARLAND, VILLAGE OF",4990-09,Rehab Water Tower #2,"$525,000.00",SC,Zettl,
24,"JUNEAU, CITY OF",4824-09,"Rehab Well #1, Treat for Fe","$500,000.00",SC,Zettl,
24,"JUNEAU, CITY OF",4824-10,"Rehab Well #2, Treat for Fe","$500,000.00",SC,Zettl,
24,"JUNEAU, CITY OF",4824-11,"Rehab Well #3, Treat for Fe","$500,000.00",SC,Zettl,
24,"LA CROSSE, CITY OF",5406-11,Reroute Myrick Station WM,"$125,000.00",WC,Jaromin,Yes
22,"SHELL LAKE, CITY OF",5522-06,Replace WM on 7th Ave,"$300,000.00",NO,Andruczyk,
22,"SPOONER, CITY OF",4911-13,Replace WM on Erie/ Huron/ Michigan/ Superior,"$3,000,000.00",NO,Andruczyk,
22,"DANE, VILLAGE OF",5332-04,Replace WM on Main St,"$1,680,452.00",SC,Zettl,
22,"IRON RIDGE, VILLAGE OF",5608-04,Replace WM on Park St,"$450,000.00",SC,Zettl,
21,"JEFFERSON, CITY OF",5463-09,Treat Well #4,"$2,000,000.00",SC,Zettl,
20,"ROCKLAND, VILLAGE OF",5093-06,Construct Elevated Storage Tank; Well Pump Upgrades,"$1,235,000.00",WC,Jaromin,
20,"TWO RIVERS, CITY OF",4920-55,Replace water reservoir overflow,"$100,000.00",NE,Hannes,
20,"ABBOTSFORD, CITY OF",4748-12,"Upgrades to Power, Control Equipment, and SCADA","$1,150,000.00",WC,Jaromin,
19,"SHEBOYGAN FALLS, CITY OF",5656-04,Replace WM on Fond Du Lac Ave,"$1,090,500.00",SE,Binder,
18,"BARRON, CITY OF",5473-12,Replace WM on LaSalle/ 3rd/ 4th/ 5th/ 6th Streets,"$1,500,000.00",NO,Andruczyk,
18,"BLUE MOUNDS, VILLAGE OF",4768-05,Replace WM on Mounds Rd,"$1,000,000.00",SC,Zettl,
18,LAONA SD #1,5529-01,Replace WM on STH 8,"$600,000.00",NO,Andruczyk,
16,"MCFARLAND, VILLAGE OF",4990-03,Rehab/Upgrade Well #3,"$1,800,000.00",SC,Zettl,
16,"MCFARLAND, VILLAGE OF",4990-04,Rehab/Upgrade Well #4,"$1,700,000.00",SC,Zettl,
16,"BRODHEAD, CITY OF",5671-02,Replace WM on 12th St,"$1,500,000.00",SC,Zettl,
16,"LODI, CITY OF",4835-10,Replace WM on Fair St,"$780,000.00",SC,Zettl,
16,"FENNIMORE, CITY OF",5169-06,Replace WM on Garfield and 11th,"$406,000.00",SC,Zettl,
16,"LODI, CITY OF",4835-13,Replace WM on HWY 60,"$933,000.00",SC,Zettl,
16,"BRODHEAD, CITY OF",5671-01,Replace WM on W 3rd Ave,"$1,500,000.00",SC,Zettl,
16,"WAUPACA, CITY OF",4929-10,Replace WMs City-Wide,"$6,443,192.00",NE,Hannes,
16,"OCONOMOWOC, CITY OF",5452-15,Replace WMs on Blue Dahlia/Corporate Center/Crestwood,"$1,700,000.00",SE,Binder,
16,"NEW GLARUS, VILLAGE OF",5623-02,Well 2 rehab/upgrades,"$2,000,000.00",SC,Zettl,
16,"NEW GLARUS, VILLAGE OF",5623-03,Well 3 rehab/upgrades,"$2,000,000.00",SC,Zettl,
15,"PLAINFIELD, VILLAGE OF",4880-06,"Replace WMs on Clark, Elizabeth, West, Alley Main; Looping","$1,900,000.00",NE,Hannes,
14,"BLACK EARTH, VILLAGE OF",5484-06,Replace Water Meters,"$600,000.00",SC,Zettl,
14,"BLANCHARDVILLE, VILLAGE OF",4767-06,Replace Watermain on STH 78,"$1,000,000.00",SC,Zettl,
14,"STOUGHTON, CITY OF",5403-17,Replace WM N Forrest: North to Dead End,"$180,000.00",SC,Zettl,
14,"STOUGHTON, CITY OF",5403-16,Replace WM North: Division to Forrest,"$150,000.00",SC,Zettl,
14,"BLACK EARTH, VILLAGE OF",5484-02,"Replace WM on Park, Ray, Hillside, Webb, and East","$1,995,000.00",SC,Zettl,
14,"ORFORDVILLE, VILLAGE OF",5488-02,Replace WM on S Wright St,"$1,500,000.00",SC,Zettl,
14,"ANTIGO, CITY OF",4754-18,Replace WMs on Hudson & Pearl,"$806,450.00",NO,Andruczyk,
12,"MATTOON, VILLAGE OF",4842-06,Construct Looping Mains on Stone/1st/Railroad/Quartz/etc,"$566,995.00",NE,Hannes,
12,"WHITE LAKE, VILLAGE OF",5689-01,Rehab Water Tower,"$900,000.00",NO,Andruczyk,
12,"OCONTO FALLS, CITY OF",4870-08,Replace Watermains on Columbia Street,"$300,000.00",NE,Hannes,
12,"CAMBRIA, VILLAGE OF",4777-07,Replace WM on E. Edgewater St,"$1,894,600.00",SC,Zettl,
12,"FENNIMORE, CITY OF",5169-05,Replace WM on Eisenhower and 11th,"$512,000.00",SC,Zettl,
12,"LADYSMITH, CITY OF",5369-14,Replace WMs along Lindoo Ave,"$1,096,770.00",NO,Andruczyk,
12,"LADYSMITH, CITY OF",5369-21,Replace WMs on Corbett Ave,"$951,548.00",NO,Andruczyk,
12,"OCONOMOWOC, CITY OF",5452-13,Replace WMs on Lake Bluff/E Wisconsin/ 2nd/Lisbon,"$2,100,000.00",SE,Binder,
12,"GALESVILLE, CITY OF",4809-03,"Replace WMs on McKinley, Clark, Gales, 5th, 6th, 7th","$1,256,860.00",WC,Jaromin,
12,"ARLINGTON, VILLAGE OF",4758-14,Replace WMs on Reagles St,"$500,000.00",SC,Zettl,
10,"STOUGHTON, CITY OF",5403-15,Replace WM along US Hwy 51: Harrison to Fifth,"$667,000.00",SC,Zettl,
9,"COLFAX, VILLAGE OF",5472-02,Replace WM on Cedar St,"$525,000.00",WC,Jaromin,
8,"SIREN, VILLAGE OF",4905-06,Rehab Water Tower,"$707,925.00",NO,Andruczyk,
8,"WEST BARABOO, VILLAGE OF",4933-08,Rehab Water Tower,"$573,500.00",SC,Zettl,
8,"WATERLOO, CITY OF",4962-17,Replace MW on HWY 19,"$1,665,000.00",SC,Zettl,
8,"DURAND, CITY OF",4797-02,Replace Watermain on Madison St,"$913,938.00",WC,Jaromin,
8,"PULASKI, VILLAGE OF",5373-09,Replace WM on Johnson St,"$875,000.00",NE,Hannes,
8,"RIO, VILLAGE OF",5368-05,Replace WM on Lincoln Ave,"$2,452,000.00",SC,Zettl,
8,"PULASKI, VILLAGE OF",5373-10,Replace WM on Lincoln St,"$670,000.00",NE,Hannes,
8,"FAIRWATER, VILLAGE OF",5701-01,Replace WM on Main St,"$250,000.00",NE,Hannes,
8,"WATERLOO, CITY OF",4962-15,Replace WM on Van Buren St,"$545,000.00",SC,Zettl,
8,"DODGEVILLE, CITY OF",4795-11,Replace WM on West Division St.,"$1,920,500.00",SC,Zettl,
8,"MERRILLAN, VILLAGE OF",5445-03,"Replace WMs on Mill, Hayden, & Center Streets","$1,097,895.00",WC,Jaromin,
8,"MARSHALL, VILLAGE OF",5298-04,Replace WMs on Spring View/Bentwood/Indian Summer/etc,"$750,000.00",SC,Zettl,
8,"WATERLOO, CITY OF",4962-13,Replace WMs on STH 89,"$1,454,000.00",SC,Zettl,
7,"JUNCTION CITY, VILLAGE OF",4989-12,Construct Looping Main between Case and 3rd Streets,"$518,000.00",WC,Jaromin,
4,"WEST ALLIS, CITY OF",5404-16,Install Automatic Flushing Devices,"$183,000.00",SE,Binder,Yes
4,"OCONTO FALLS, CITY OF",4870-09,Rehab 300k Elevated Storage Tank,"$350,000.00",NE,Hannes,
4,"AUGUSTA, CITY OF",5186-08,Replace Watermain on Baldwin St,"$1,250,000.00",WC,Jaromin,
4,"LOMIRA, VILLAGE OF",5312-07,Replace Watermain on Church St,"$2,383,900.00",SC,Zettl,
4,"CUBA CITY, CITY OF",5700-01,Replace WM along STH 80,"$1,191,170.00",SC,Zettl,
4,"RIB LAKE, VILLAGE OF",5367-03,"Replace WM on 2nd St, 3rd St, and Church St","$1,700,000.00",NO,Andruczyk,
4,"REEDSVILLE, VILLAGE OF",4892-05,Replace WM on 6th St,"$415,000.00",NE,Hannes,
4,"MCFARLAND, VILLAGE OF",4990-12,Replace WM on Creamery St etc,"$2,240,000.00",SC,Zettl,
4,"STODDARD, VILLAGE OF",4916-03,Replace WM on Division St,"$236,000.00",WC,Jaromin,
4,"MCFARLAND, VILLAGE OF",4990-13,Replace WM on Larsen St etc,"$2,100,000.00",SC,Zettl,
4,"TWO RIVERS, CITY OF",4920-60,Replace WM on Lincoln and Woodland,"$1,200,000.00",NE,Hannes,
0,"LA CROSSE, CITY OF",5406-16,Rehab Grandad Bluff Reservoir,"$3,300,000.00",WC,Jaromin,Yes
0,"NORWALK, VILLAGE OF",4868-05,Replace Wms on McGary/North/Wisconsin/Roosevelt/South/etc,"$2,995,000.00",WC,Jaromin,
0,"BELOIT, CITY OF",5471-12,Springbrook Building Addition,"$1,515,236.00",SC,Zettl,Yes
-1,"JUNCTION CITY, VILLAGE OF",4989-11,Recoat Water Tank,"$825,000.00",WC,Jaromin,
-2,"CROSS PLAINS, VILLAGE OF",5537-07,Replace WM on Park St,"$1,404,000.00",SC,Zettl,
-5,"MAZOMANIE, VILLAGE OF",4948-04,Replace WM on Crescent St,"$450,000.00",SC,Zettl,
