Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
41,65,TOWN OF SMITHSBURG WATERLINE LOOP,DW0094,315,LOW WATER FLOW AND PRESSURE ON E WATER ST,"INSTALL 1,400 LF WATER LINE FROM S MAIN ST, ACROSS TOWN, TO E WATER ST","BRIAN BRANDT, TOWN OF SMITHSBURG",Washington,02A,6,Y,Y,PUBLIC,Small,0,,01/01/2024,02/28/2024,"$408,000",$0,1,,,,02/01/2023,TRANSMISSION/DISTRIBUTION,,,,,"408,000","408,000"
42,65,CRESPATOWN WATER IMPROVEMENTS,DW0001,820,"50+ YEAR OLD, SMALL, LEAKING WATER LINES AT END OF USEFUL LIFE","REPLACE APPROX 13,000 FT OF WATER LINE + 125 WATER SERVICES & APPURTENANCES WITH NEW WATER LINES AND LOOPED SYSTEMS WHERE POSSIBLE","JAMES L. WEBBER, ALLEGANY COUNTY COMMISSIONERS",Allegany,01A,6,Y,2,PUBLIC,Small,1,,04/01/2024,12/31/2024,"$1,600,000",$0,1,,,,09/01/2023,TRANSMISSION/DISTRIBUTION,,MD0010005,,,"1,600,000","1,600,000"
43,65,TOWN OF GRANTSVILLE WATER IMPROVEMENT PROJECT,DW0059,920,APPROX 90 YEAR OLD AGING SYSTEM. FREQUENT BREAKS. POOR VALVES,"CONSOLIDATE GRANTSVILLE WTP INTO GREEN WTP SITE, TREAT FOR IRON & MANGANESE, REPLACE MAINS, INSTALL SCADA","ROBIN JONES, TOWN OF GRANTSVILLE",Garrett,01A,6,Y,Y,PUBLIC,Small,1,,08/01/2024,02/28/2025,"$11,948,600",$0,1,Y,,,03/01/2023,TREATMENT,,MD0110005,,,"11,948,600","8,035,000"
44,65,TOWN OF MT AIRY PFAS REMEDIATION PROJECT,DW0036,6365,ALL 3 WATER STATIONS (MULTIPLE WELLS) SHOW PFAS CONTAMINATION,INSTALL ADDITIONAL TREATMENT TECHNOLOGIES TO REMOVE/REDUCE PFAS CONTAMINATION,"BERNARD QUINN, TOWN OF MOUNT AIRY",Carroll,05,3,Y,Y,PUBLIC,Small,0,PFAS/EC,03/01/2024,11/30/2024,"$6,174,000",$0,1,,,,06/01/2023,TREATMENT,,MD0060007,Y,,"6,174,000","6,174,000"
45,65,WC-1243 CROMWELL PUMPING STATION REHABILITATION,DW0013,1800000,SAFE AND RELIABLE SERVICE TO WATER DISTRIBUTION SYSTEM - EJ,"REPAIR, REPLACE, REHABILITATE EQUIPMENT AND SYSTEMS OF AGING PUMPING STATION","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore County,08,3,Y,Y,PUBLIC,Large,1,,07/01/2024,03/31/2026,"$63,617,000",$0,1,Y,Y,,06/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"63,617,046","9,486,000"
46,65,WC-1243 CROMWELL PUMPING STATION REHABILITATION,DW0115,1800000,SAFE AND RELIABLE SERVICE TO WATER DISTRIBUTION SYSTEM - EJ,"REPAIR, REPLACE, REHABILITATE EQUIPMENT AND SYSTEMS OF AGING PUMPING STATION","ROBERT BURROS, BALTIMORE COUNTY",Baltimore County,08,3,Y,Y,PUBLIC,Large,0,,07/01/2024,03/31/2026,$0,$0,1,Y,Y,,06/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,,,,"40,714,909"
47,60,FRIENDSVILLE WATER IMPROVEMENT PROJECT PHASE 1 WELLS,DW0055,623,RAW WATER INTAKE FROM YOUGHIOGHENY RIVER DOES NOT MEET MDE REQUIREMENTS FOR SCREENING,CONSTRUCT NEW WELLS TO REPLACE EXISTING RIVER WATER INTAKE,"BOBBY WITT, GARRETT COUNTY SANITARY DISTRICT INC.",Garrett,01A,6,N,Y,PUBLIC,Small,1,,03/01/2024,07/31/2024,"$584,200",$0,1,,,,07/01/2023,STORAGE,,MD0110000,,,"584,200","522,100"
48,60,WELL #2 & #3 PFAS REMEDIATION,DW0070,6500,ELEVATED LEVELS OF PFAS IN 2 WELLS,"PILOT TEST ACTIVATED CARBON FILTRATION-WELL #3. PLAN, DESIGN, CONSTRUCT ACTIVATED CARBON FILTRATION-BOTH CONTAMINATED WELLS","WADE YOST, TOWN OF POOLESVILLE",Montgomery,15,6,Y,Y,PUBLIC,Small,0,PFAS/EC,04/01/2024,06/30/2024,"$300,000",$0,1,Y,,,07/01/2023,TREATMENT,,MD0150002,Y,,"300,000","300,000"
49,60,TOWN OF BOONSBORO ALT 40 WATER LOOPING PROJECT,DW0091,7298,DEAD END MAINS TO RESIDENTS RESULTS IN STAGNATION-NEEDS TO BE FLUSHED DAILY-NOT COST EFFECTIVE,CONSTRUCT LOOP FOR WATER LINE BACK INTO DISTRIBUTION SYSTEM TO PREVENT STAGNATION & LOSS OF FREE CHLORINE,"PAUL MANTELLO, TOWN OF BOONSBORO",Washington,02A,6,Y,3,PUBLIC,Small,1,,11/01/2024,07/31/2025,"$28,000,000",$0,1,Y,Y,,06/01/2024,TRANSMISSION/DISTRIBUTION,,MD0210002,,,"28,000,000","26,000,000"
50,55,DEPOT STREET WATER PROJECT,DW0003,28,"50+ YEAR OLD, FAILING, POORLY MAINTAINED SMALL DIAMETER (2 IN) WATER LINE OF SMALL PRIVATE WATER CO","REPLACE APPROX 3,000 FT NEW WATER LINE + 10 WATER SERVICES AND APPURTENANCES AND CONNECT TO ALLEGANY CO WEST REGION DISTRIB SYS","JAMES L. WEBBER, ALLEGANY COUNTY COMMISSIONERS",Allegany,01B,6,Y,2,PUBLIC,Small,1,,03/01/2024,09/30/2024,"$600,000",$0,1,,,,07/01/2023,TRANSMISSION/DISTRIBUTION,,MD0010009,,,"600,000","600,000"
51,55,RISING SUN 274/273 INTERCONNECTION LOOP,DW0047,175,PRIVATE WELLS WITH FAILING SEPTICS,"INSTALL APPROX 5,800 LF 8-IN WATER MAIN TO HOMES WITH FAILING SEPTICS","CALVIN A BONENBERGER JR, TOWN OF RISING SUN",Cecil,35B,1,N,3,PUBLIC,Small,0,,06/01/2024,,"$1,442,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0070021,,,"1,442,040","1,362,040"
52,55,JONES CREEK WATERMAIN CROSSING,DW0081,188,"EXPOSED DUCTILE IRON RUNNING THROUGH STORM WATER CULVERTS, UNDER ROUTE 13, AND RR TRACKS-SUBJECT TO FREEZING/FAILURE","DESIGN, CONSTRUCT REPLACEMENT WATERMAIN CROSSING UNDER US ROUTE 13 & JONES CREEK MEETING CURRENT STANDARDS","ANTHONY STOCKUS, SOMERSET COUNTY SANITARY DISTRICT",Somerset,38A,1,Y,Y,PUBLIC,Small,1,,08/01/2024,11/30/2024,"$310,900",$0,1,,,,09/01/2023,TRANSMISSION/DISTRIBUTION,,MD0190002,,,"310,900","300,900"
53,55,LCRR COMPLIANCE PROGRAM - INVENTORY - CITY OF BALTIMORE,DW0009,1600000,IDENTIFY LEAD SERVICE LINES - EJ,PREPARE INVENTORY FOR ALL SERVICE LINES TO COMPLY WITH EPA LCRR REQUIREMENTS,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,46,7,Y,Y,PUBLIC,Large,1,LSL,06/01/2023,10/31/2024,"$30,900,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0300002,,Y,"30,900,000","30,900,000"
54,55,LCRR COMPLIANCE PROGRAM - PROACTIVE REPLACEMENT - CITY OF BALTIMORE,DW0010,1600000,REPLACE LEAD SERVICE LINES AS CONFIRMED BY FIELD INVESTIGATION - EJ,REPLACE LEAD SERVICE LINES FOR RESIDENTS AS UNCOVERED,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,46,7,Y,Y,PUBLIC,Large,1,LSL,06/01/2023,10/31/2024,"$25,600,000",$0,1,,,,01/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,Y,"25,600,000","25,600,000"
55,55,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0011,1800000,NEED TO REHABILITATE PUMPING STATION BUILT IN 1931 - EJ,"REPAIR, REPLACE, REHABILITATE EQUIPMENT & SYSTEMS AT VERNON PUMPING STATION","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,09/01/2023,12/31/2024,"$76,963,800",$0,1,Y,Y,,09/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"76,963,895","19,209,150"
56,55,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0114,1800000,NEED TO REHABILITATE PUMPING STATION BUILT IN 1931 - EJ,"REPAIR, REPLACE, REHABILITATE EQUIPMENT & SYSTEMS AT VERNON PUMPING STATION","ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,43A,7,Y,Y,PUBLIC,Large,0,,09/01/2023,12/31/2024,$0,$0,1,Y,Y,,09/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,,,,"30,785,558"
57,50,GORMAN WATER SOURCE PROJECT,DW0056,368,COLLAPSE OF PREVIOUS PRODUCTION WELL,"CONSTRUCT NEW WELL TO REPLACE #2 THAT COLLAPSED, AND CONNECT TO EXISTING WATER TREATMENT","BOBBY WITT, GARRETT COUNTY SANITARY DISTRICT INC.",Garrett,01A,6,Y,2,PUBLIC,Small,0,,09/01/2023,12/31/2024,"$2,180,400",$0,1,,,,04/01/2023,SOURCE,,MD0110012,,,"2,180,486","2,000,000"
58,50,WC-1418 YALE HEIGHTS WATER MAIN REPLACEMENT,DW0023,763,ENCRUSTED AND TUBERCULATED UNLINED CAST IRON PIPES - EJ,"REPLACE AND REHAB APPROX 8,620 LF OF 6-IN TO 16-IN DIA WATER MAINS","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,41,7,Y,Y,PUBLIC,Large,1,,10/01/2024,10/31/2025,"$7,066,600",$0,1,Y,Y,,09/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"7,066,612","7,066,612"
59,50,WC-1282 WATER MAIN REPLACEMENT & REHABILITATION AT FRANKLIN SQUARE NEIGHBORHOOD,DW0014,1190,ENCRUSTATION AND TUBERCULATION OF UNLINED CAST IRON PIPES - EJ,"REPLACE AND REHAB APPROX 15,484 LF 4-IN TO 6-IN WATER MAINS","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,40,7,Y,Y,PUBLIC,Large,1,,02/01/2024,03/31/2025,"$14,944,500",$0,1,Y,Y,,06/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"14,944,599","14,944,599"
60,50,WC-1283 BALTIMORE ST & SMALLWOOD ST & REISTERSTOWN RD VICINITY WATER MAIN,DW0015,1308,ENCRUSTATION AND TUBERCULATION OF UNLINED CAST IRON PIPES - EJ,"REPLACE, REHABILITATE APPROX 17,379 LF OF 6-IN TO 12-IN DIA DW MAINS","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,40,7,Y,Y,PUBLIC,Large,1,,03/01/2024,04/30/2025,"$12,583,300",$0,1,Y,Y,,07/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"12,583,367","12,583,367"
61,50,SHARPSBURG WATER METER CRADLE REPLACEMENT,DW0090,1500,"WATER METERS AND CRADLES CONTAIN LEAD, NEW METERS IMPROVE ACCURACY",REPLACE WATER METERS AND CRADLES BECAUSE THEY CONTAIN LEAD,"JOSEPH MOSS, WASHINGTON COUNTY BOARD OF COUNTY COMMISSIONERS",Washington,02A,6,Y,2,PUBLIC,Small,0,,09/01/2023,03/31/2023,"$1,000,000",$0,1,Y,Y,,05/01/2022,TRANSMISSION/DISTRIBUTION,,MD0210017,,,"1,000,000","700,000"
62,50,TOWN OF HANCOCK WATERLINE REPLACEMENT,DW0092,2100,OLD SERVICE MAINS AT END OF SERVICE LIFE WITH POTENTIAL LEAD SERVICE LATERALS,"REPLACE 55,000 LF WATER MAIN + 1,320 LF EXTENSION TO CHEESE FACTORY, UPSIZE NEIGHBORING STS TO 6-IN MIN + APPURTENANCES","MICHAEL FAITH, TOWN OF HANCOCK",Washington,01C,6,Y,Y,PUBLIC,Small,1,,08/01/2024,08/31/2025,"$22,480,000",$0,1,Y,,,03/01/2023,TRANSMISSION/DISTRIBUTION,,MD0210012,,,"22,480,000","22,460,000"
63,50,HURLOCK WELL #3 CONSTRUCTION,DW0049,2225,ADDITIONAL SUPPLY CAPACITY FOR HURLOCK GROWTH AND SYSTEM REDUNDANCY,DRILL ADDITIONAL WELL TO SUPPLEMENT WATER SUPPLY TO HURLOCK,"JOHN AVERY, TOWN OF HURLOCK",Dorchester,37A,1,Y,2,PUBLIC,Small,1,,02/01/2024,09/30/2024,"$504,900",$0,1,,,,06/01/2023,SOURCE,,MD0090005,,,"504,931","504,931"
64,50,EMMITSBURG TRANSMISSION MAIN REPLACEMENT,DW0052,2770,"RUST, CORROSION, DISCOLORED WATER IN AGING CAST IRON WATER MAIN","REPLACE APPROX 12,700 LF OF 10-IN CAST IRON WITH 16-IN DUCTILE IRON PIPE","CATHY WILLETS, TOWN OF EMMITSBURG",Frederick,02A,6,Y,2,PUBLIC,Small,0,,10/01/2024,07/31/2025,"$5,865,000",$0,1,Y,,,10/01/2023,TRANSMISSION/DISTRIBUTION,,MD0100010,,,"5,865,000","5,840,000"
65,50,DELMAR LEAD SERVICE LINE INVENTORY,DW0097,5825,NO COMPREHENSIVE INVENTORY OF SERVICES COMPLIANT WITH EPA LCRR,COMPLETE LSL INVENTORY FOR WATER DISTRIBUTION SYSTEM,"JEFF FLEETWOOD, TOWN OF DELMAR",Wicomico,38B,1,Y,2,PUBLIC,Small,0,LSL,03/01/2023,10/31/2024,"$362,900",$0,1,,Y,,,TRANSMISSION/DISTRIBUTION,,MD0220001,,Y,"362,984","362,984"
66,50,BOONSBORO WATER DISTRIBUTION SYSTEM LEAD COMPONENT REPLACEMENT,DW0085,7830,REPLACE KNOWN LSL MAINS TO HELP TOWN WITH EPA REQUIRED LCRR,"REPLACE 5,000 LF KNOWN CAST IRON SERVICE MAINS & CONNECTORS","PAUL MANTELLO, TOWN OF BOONSBORO",Washington,02A,6,Y,2,PUBLIC,Small,1,,11/01/2024,06/30/2025,"$1,097,000",$0,1,Y,Y,,06/01/2021,TRANSMISSION/DISTRIBUTION,,MD0210002,,,"1,097,000","1,000,000"
67,50,WATER STORAGE FACILITY REHABILITATION PROGRAM,DW0076,1002795,"PAINTING, STRUCTURAL, ELECTRICAL & INSTRUMENTATION, MECHANICAL POOR CONDITION","REPAIR/REPLACE STRUCTURAL COMPONENTS, UPGRADE STRUCTURAL & MECHANICAL @ ANDREWS, GREENBELT, N WOODSIDE","THEON GROJEAN, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,21,4,Y,Y,PUBLIC,Large,1,,05/01/2024,05/31/2026,"$14,850,000",$0,1,Y,Y,,12/01/2022,STORAGE,,MD0150005,,,"14,850,000","14,850,000"
68,50,WC-1396 MONTEBELLO PLANT 2 SEDIMENTATION BASINS STRUCTURAL REPAIR,DW0020,1800000,DETERIORATION OF STRUCTURES CAUSING DAMAGE OR BLOCKAGE TO EQUIPMENT DRIVE AND UNSAFE WORKING CONDITIONS,"REHAB & REPAIR CONCRETE & STRUCTURE OF SEDIMENTATION BASINS 5, 6, & 7 AT MONTEBELLO PLANT 2","RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,01/01/2024,12/31/2025,"$158,603,200",$0,1,Y,Y,,11/01/2018,TREATMENT,,MD0300002,,,"158,603,227","7,780,050"
69,50,WC-1396 MONTEBELLO PLANT 2 SEDIMENTATION BASINS STRUCTURAL REPAIR,DW0118,1800000,DETERIORATION OF STRUCTURES CAUSING DAMAGE OR BLOCKAGE TO EQUIPMENT DRIVE AND UNSAFE WORKING CONDITIONS,"REHAB AND REPAIR CONCRETE & STRUCTURE OF SEDIMENTATION BASINS 5, 6, & 7 AT MONTEBELLO PLANT 2","ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,43A,7,Y,Y,PUBLIC,Large,0,,01/01/2024,12/31/2025,$0,$0,1,Y,Y,,11/01/2018,TREATMENT,,MD0300002,,,,"6,344,131"
70,45,WC-1317 PULASKI HWY CONKLING ST & VICINITY WATER MAIN REPLACEMENT & REHAB,DW0017,500,ENCRUSTATION AND TUBERCULATION OF UNLINED CAST IRON PIPES - EJ,"REPLACE AND REHABILITATE APPROX 12,111 LF OF 4-IN TO 16-IN DIA WATER MAINS","RICHARD LUNA, MAYOR AND COUNCIL OF BALTIMORE CITY",Baltimore City,46,7,Y,Y,PUBLIC,Large,1,,05/01/2024,12/31/2025,"$10,414,400",$0,1,Y,Y,,08/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"10,414,481","5,310,894"
71,45,CLEAR SPRING WATER METERS,DW0087,1100,"FAULTY METERS, 26.8% WATER LOSS FROM 2021 AUDIT",REPLACE 277 WATER METERS WITH RADIO READ METERS,"JUANITA K. GRIMM, TOWN OF CLEAR SPRING",Washington,01C,6,Y,2,PUBLIC,Small,1,,10/01/2024,06/30/2024,"$364,200",$0,1,Y,,,12/01/2023,TRANSMISSION/DISTRIBUTION,,MD0210005,,,"364,266","364,266"
72,45,WC-1316R BARCLAY NEIGHBORHOOD & VICINITY WATER MAIN REPLACEMENTS,DW0016,1398,ENCRUSTATION AND TUBERCULATION OF UNLINED CAST IRON PIPES - EJ,"REPLACE AND REHABILITATE APPROX 28,297 LF OF 4-IN TO 20-IN DIA WATER MAINS","RICHARD LUND, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,05/01/2024,12/31/2025,"$21,931,600",$0,1,Y,Y,,03/01/2022,TRANSMISSION/DISTRIBUTION,,MD0300002,,,"21,931,644","21,931,644"
73,45,WATER MAIN REPLACEMENT-FUNKSTOWN,DW0095,1600,"HIGHLY DEGRADED WATER MAIN. MANY FAILURES, MORE FREQUENT REPAIRS.",REPLACE 905 LF 6-IN WITH 8-IN WATER MAIN & REMOVE GALVANIZED EQUIP,"BRENDA HAYNE, TOWN OF FUNKSTOWN",Washington,02A,6,Y,Y,PUBLIC,Small,1,,04/01/2024,06/30/2024,"$392,400",$0,1,,,,01/01/2023,TRANSMISSION/DISTRIBUTION,,MD0210008,,,"392,464","322,364"
74,45,WESTERNPORT LEAD SERVICE LINES,DW0006,2500,INVENTORY SERVICE LINES AND IDENTIFY LEAD SERVICE LINES,HIRE CONTRACTOR TO DEVELOP AND MAINTAIN SERVICE LINE INVENTORIES,"AARON LATTANZIA, TOWN OF WESTERNPORT",Allegany,01A,6,Y,2,PUBLIC,Small,1,LSL,08/01/2023,07/31/2024,"$388,800",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0010033,,Y,"388,800","388,800"
75,45,SE ROCKVILLE WATER METER REPLACEMENT AND AMI IMPLEMENTATION - DAC COMMUNITIES,DW0067,4140,METERS ON WATER MAINS REACHING END OF USEFUL LIFE - EJ,REPLACE 10 LARGE (3-IN+) & 27 COMPOUND (2-IN) WATER METERS WITH AMI COMPLIANT METERS,"MATTHEW BREW, CITY OF ROCKVILLE",Montgomery,17,8,Y,Y,PUBLIC,Large,1,,02/01/2024,10/31/2025,"$2,080,000",$0,1,Y,Y,,05/01/2023,TRANSMISSION/DISTRIBUTION,,MD0150003,,,"2,080,000","2,080,000"
76,45,LONACONING LEAD SERVICE LINES INVENTORY,DW0004,4500,NEED TO IDENTIFY LEAD SERVICE LINES TO TARGET LINES TO BE REPLACED,HIRE COMPANY TO DEVELOP AND MAINTAIN SERVICE LINE INVENTORIES PER EPA LEAD & COPPER RULE REVISIONS,"TYLER RAYNER, TOWN OF LONACONING",Allegany,01A,6,Y,2,PUBLIC,Small,1,LSL,08/01/2023,07/31/2024,"$388,800",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0010018,,Y,"388,800","388,800"
77,45,BERLIN LEAD SERVICE LINE INVENTORY,DW0106,5025,NO EXISTING CATALOG OF WATER SERVICES TO COMPLY WITH EPA LCRR,CATALOG ALL WATER SERVICES WITHIN WATER DISTRIBUTION SYSTEM,"MARY BOHLEN, TOWN OF BERLIN",Worcester,38A,1,Y,2,PUBLIC,Small,1,LSL,03/01/2023,10/31/2024,"$172,000",$0,1,Y,,,,TRANSMISSION/DISTRIBUTION,,MD0230001,,Y,"172,040","172,040"
78,45,BERLIN LEAD SERVICE LINE REPLACEMENT PHASE I,DW0107,5025,KNOWN LEAD SERVICE LINES - FIRST PHASE OF REPLACEMENTS,"REPLACE APPROX 241 LEAD SERVICE LINES ALONG WILLIAM ST, BROAD ST, MAIN ST, & BAY ST","MARY BOHLEN, TOWN OF BERLIN",Worcester,38A,1,Y,2,PUBLIC,Small,1,LSL,11/01/2024,04/30/2025,"$1,126,400",$0,1,Y,,,10/01/2023,TRANSMISSION/DISTRIBUTION,,MD0230001,,Y,"1,126,400","1,126,400"
79,45,BRUNSWICK WATER TREATMENT PLANT UPGRADES - CHAIN & FLIGHT,DW0124,11268,MECHANICAL PRETREATMENT NOT PART OF CURRENT PROCESS WHICH CAUSES WEAR/TEAR ON EQUIPMENT,CONSTRUCT CHAIN AND FLIGHT SLUDGE REMOVAL AND COLLECTION SYSTEM IN THE CLARIFIER TO REMOVE SOLIDS,"ABIGAIL INGRAM, CITY OF BRUNSWICK",Frederick,04,6,Y,Y,PUBLIC,Small,1,,05/01/2024,09/30/2024,"$1,290,000",$0,1,,,,11/01/2023,TREATMENT,,MD0100005,,,"1,290,000","1,290,000"
80,45,BRUNSWICK WATER TREATMENT UPGRADES - SHORE INTAKE,DW0050,11268,EXISTING INTAKE IN CENTER CHANNEL OF POTOMAC R; REQUIRES CLEANING BY DIVER 3X/YR BUT MORE OFTEN WHEN ALGAE LEVELS RISE,CONSTRUCT A NEW INTAKE ALONG THE SHORELINE,"ABIGAIL INGRAM, CITY OF BRUNSWICK",Frederick,04,6,Y,Y,PUBLIC,Small,1,,05/01/2024,09/30/2024,"$3,520,000",$0,1,,,,11/01/2023,SOURCE,,MD0100005,,,"3,520,000","3,520,000"
81,45,CITY OF BRUNSWICK LEAD LINE INVENTORY,DW0051,11268,MAP OF BRUNSWICK WATERLINES IDENTIFIED WITH POTENTIALLY LEAD NECKS,EMPLOY 3RD PARTY TO HELP IDENTIFY AREAS THAT MAY HAVE LEAD SERVICE LINES OR LEAD PARTS,"MATTHEW CAMPBELL, MAYOR AND COUNCIL OF BRUNSWICK",Frederick,02A,2,Y,2,PUBLIC,Small,1,LSL,07/01/2024,10/31/2024,"$60,000",$0,1,Y,,,,TRANSMISSION/DISTRIBUTION,,MD0100005,,Y,"60,000","60,000"
82,45,WC-1377 ASHBURTON WFP LOW LIFT PUMP CONTROLS & POWER UPGRADE,DW0018,1800000,TRANSFORMER AND SWITCHGEAR OVER 30 YEARS OLD AND SEVERAL COMPONENTS IN POOR CONDITION,UPGRADE POWER SUPPLY AND CONTROLS FOR LOW LIFT PUMP SYSTEM AT ASHBURTON WFP,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,41,7,Y,Y,PUBLIC,Large,1,,09/01/2025,11/30/2026,"$13,814,500",$0,1,Y,Y,,11/01/2022,TREATMENT,,MD0300002,,,"13,814,500","6,082,621"
83,45,WC-1377 ASHBURTON WFP LOW LIFT PUMP CONTROLS & POWER UPGRADE,DW0116,1800000,TRANSFORMER AND SWITCHGEAR OVER 30 YEARS OLD AND SEVERAL COMPONENTS IN POOR CONDITION,UPGRADE POWER SUPPLY AND CONTROLS FOR LOW LIFT PUMP SYSTEM AT ASHBURTON WFP,"ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,41,7,Y,Y,PUBLIC,Large,0,,09/01/2025,11/30/2026,$0,$0,1,Y,Y,,11/01/2022,TREATMENT,,MD0300002,,,,"5,510,604"
84,40,TOWN OF QUEENSTOWN WATER SERVICE LINE INVENTORY,DW0078,913,HIGH LIKELIHOOD OF LEAD PIPE AND FITTINGS,INVENTORY LEAD SERVICE LINES TO COMPLY WITH EPA LCRR,"ROBERT D. RAUCH, COMMISSIONERS OF QUEENSTOWN",Queen Anne's,36,1,Y,2,PUBLIC,Small,0,LSL,09/01/2023,09/30/2024,"$431,600",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0170003,,Y,"431,636","431,636"
85,40,TOWN OF RIDGELY WATER TOWER REDUNDANCY PROJECT - TANK,DW0028,1875,"POTENTIAL WATER STORAGE DEFICIT, INC. FOR FIRE FLOW",CONSTRUCT AN ADDITIONAL WATER STORAGE TOWER TO INCREASE CAPACITY AND ALLOW EXISTING TANK TO BE MAINTAINED,"STEPHANIE BERKEY, COMMISSIONERS OF RIDGELY",Caroline,36,1,Y,Y,PUBLIC,Small,1,,07/01/2024,07/31/2025,"$4,665,400",$0,1,,,,09/01/2023,STORAGE,,MD0050006,,,"4,665,415","4,665,415"
86,40,TOWN OF RIDGELY WATER TOWER REDUNDANCY PROJECT - TREATMENT,DW0029,1900,NEW INFRASTRUCTURE NEEDED TO MEET WATER SYSTEM STANDARDS OF OPERATION,CONSTRUCT NEW TREATMENT PLANT TO SERVE NEW WATER TOWER (DW0028/25),"STEPHANIE BERKEY, COMMISSIONERS OF RIDGELY",Caroline,36,1,Y,Y,PUBLIC,Small,1,,07/01/2024,07/31/2025,"$245,100",$0,1,,,,09/01/2023,TREATMENT,,MD0050006,,,"245,121","245,121"
87,40,TOWN OF RIDGELY WATER TOWER REDUNDANCY PROJECT - WELL,DW0031,1900,NEW INFRASTRUCTURE NEEDED TO MEET WATER SYSTEM STANDARDS OF OPERATION,CONSTRUCT NEW WELL TO CONNECT TO NEW WATER TOWER (DW0028/25),"STEPHANIE BERKEY, COMMISSIONERS OF RIDGELY",Caroline,36,1,Y,Y,PUBLIC,Small,1,,07/01/2024,07/31/2025,"$133,200",$0,1,,,,09/01/2023,SOURCE,,MD0050006,,,"133,248","133,248"
88,40,WSSC LEAD SERVICE LINE INVENTORY,DW0071,9500,TUBE-LOY (A 99.7% LEAD ALLOY) USED DURING 1940S FOR SERVICE LINES,DEVELOP LEAD SERVICE LINE INVENTORY TO COMPLY WITH LCRR,"JIN SHIN, WASHINGTON SUBURBAN SANITARY COMMISSION",WSSC,REG,4,Y,Y,PUBLIC,Large,0,LSL,07/01/2023,12/31/2023,"$1,080,000",$0,1,Y,Y,,,TRANSMISSION/DISTRIBUTION,,MD0150005,,Y,"1,080,000","1,080,000"
89,40,WSSC LEAD SERVICE LINE REPLACEMENT PROGRAM,DW0072,9500,"TUBE-LOY (A 99.7% LEAD ALLOY) USED DURING 1940S FOR SERVICE LINES. APPROX 2,000 PRIVATE LINES MAY NEED REPLACEMENT",REPLACE LEAD SERVICE LINES IDENTIFIED BY LEAD SERVICE LINE INVENTORY,"JIN SHIN, WASHINGTON SUBURBAN SANITARY COMMISSION",WSSC,REG,REG,Y,Y,PUBLIC,Large,0,LSL,01/01/2024,12/31/2028,"$30,240,000",$0,1,Y,Y,,02/01/2023,TRANSMISSION/DISTRIBUTION,,MD0150005,,Y,"30,240,000","30,240,000"
