Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
11,95,NEWBURG DRIVE WATER MAIN REPLACEMENT,DW0074,518,"58+ YEAR OLD CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS - EJ",REPLACE/REHAB 1.62 MI OF SMALL DIA (4-IN TO 12-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,22,4,Y,Y,PUBLIC,Large,1,,08/01/2024,02/28/2026,"$5,773,000",$0,1,Y,Y,,04/01/2018,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"5,773,000","5,773,000"
12,95,CITY OF ABERDEEN WATER TREATMENT PLANT-PFAS,DW0060,19200,EXISTENCE OF SEVERAL REGULATED AND UNREGULATED CONTAMINANTS IN DRINKING WATER INCL PFAS - EJ,CONSTRUCT PFAS TREATMENT WITH GAC ABSORPTION AND MANGANESE GREENSAND FILTRATION,"KYLE TORSTER, CITY OF ABERDEEN",Harford,34A,1,Y,Y,PUBLIC,Large,0,PFAS/EC,08/01/2024,01/31/2026,"$13,972,000",$0,1,,,,03/01/2023,TREATMENT,,MD0120001,Y,,"13,972,000","13,972,000"
13,90,KARLA LANE WATER MAIN REPLACEMENT,DW0073,253,"80+ YEAR OLD CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS - EJ",REPLACE/REHAB 1.47 MI OF SMALL DIA (4-IN TO 8-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,26,4,Y,Y,PUBLIC,Large,1,,08/01/2024,08/31/2026,"$5,280,000",$0,1,Y,Y,,03/01/2020,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"5,280,000","5,280,000"
14,90,VILLAGE IN THE WOODS WATER MAIN REPLACEMENT,DW0075,560,"CAST IRON MAINS WITH TUBERCULATION, WATER DISCOLORATION. FREQUENT BREAKS BEYOND EXPECTED LIFE - EJ",REPLACE/REHAB 2.71 MI OF UNDERSIZED SMALL DIA (< 16-IN) WATER MAINS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Prince George's,REG,4,Y,Y,PUBLIC,Large,1,,10/01/2024,09/30/2025,"$9,623,000",$0,1,Y,Y,,01/01/2019,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"9,623,000","9,623,000"
15,90,TOWN OF UNION BRIDGE PFAS EMERGING CONTAMINANT REMEDIATION,DW0037,1000,TESTING INDICATES ELEVATED LEVELS OF PFAS,DESIGN AND IMPLEMENT A GRANULAR ACTIVATED CARBON PFAS TREATMENT,"MIKE REYNOLDS, TOWN OF UNION BRIDGE",Carroll,56,,Y,Y,PUBLIC,Small,1,PFAS/EC,04/01/2024,01/31/2025,"$700,000",$0,1,Y,,,12/01/2022,TREATMENT,,MD0060013,Y,,"700,000","675,000"
16,90,TOWN OF HEBRON WATER STORAGE PROJECT,DW0102,1200,REDUNDANCY NEEDED; NO BACKUP FOR EXISTING STORAGE TANK; GROWTH LIMITED,"P/D/C 300,000 GAL ELEVATED STORAGE TANK, WITH DISINFECTION SYSTEM AND TWO WELLS (ONE FOR REDUNDANCY)","ROBERT D. RAUCH, COMMISSIONERS OF HEBRON",Wicomico,37A,1,N,Y,PUBLIC,Small,1,,10/01/2023,04/30/2024,"$5,230,000",$0,1,,,,10/01/2022,STORAGE,,MD0220000,,,"5,230,053","3,888,053"
17,90,BWC REDUCING LEAD IN DRINKING WATER SERVICE LINE REPLACEMENT,DW0026,2000,GALVANIZED PIPING WITH BRASS FITTINGS THAT ARE 50-70 YEARS OLD,"REPLACE APPROX 48,000 LF OF 2-IN OR LESS GALVANIZED SECONDARY SERVICE LINES UP TO EACH RESIDENTIAL WATER METER","JAMES STONE, BEACHES WATER CO-OP",Calvert,27c,5,Y,Y,PRIVATE,Small,0,,09/01/2024,09/30/2026,"$1,500,000",$0,1,Y,Y,,06/01/2024,TRANSMISSION/DISTRIBUTION,,MD0040009,,,"1,500,000","1,500,000"
18,90,SE ROCKVILLE WATER MAIN REHAB AND IMPROVEMENT - DISADVANTAGED COMMUNITIES,DW0066,5175,AGING WATER SYSTEM - EJ,"PLAN, DESIGN, AND CONSTRUCT APPROX 6,000 LF OF WATER MAINS WITHIN SOUTHEAST ROCKVILLE","MATTHEW BREW, CITY OF ROCKVILLE",Montgomery,17,8,Y,Y,PUBLIC,Large,1,,07/01/2024,10/31/2025,"$3,000,000",$0,1,Y,Y,,05/01/2023,TRANSMISSION/DISTRIBUTION,,MD0150003,,,"3,000,000","3,000,000"
19,90,NORTH EAST WATER QUALITY IMPROVEMENT - SOURCE,DW0042,8600,RAW WATER POND AT LESLIE WTP HAS ACCUMULATED SEDIMENT FROM NORTH EAST CREEK & NOT BEEN CLEANED FOR OVER 38 YEARS,"DEWATER POND, EXCAVATE, LOAD, AND HAUL OFF ACCUMULATED SEDIMENT - INELIGIBLE FOR DWSRF","MELISSA MACKENZIE, TOWN OF NORTH EAST",Cecil,35B,1,Y,Y,PUBLIC,Small,1,,09/01/2023,12/31/2023,"$830,000",$0,0,,,,01/01/2023,SOURCE,,MD0070016,,,"830,000","665,800"
20,90,CHERRY HILL WATER SERVICE-PFAS,DW0041,9703,PFAS DETECTED IN STREAMS AND EXISTING DOMESTIC WELLS IN CHERRY HILL AREA,EXTEND ARTESIAN WATER MD DRINKING WATER TO ADJACENT PROPERTIES CONTAMINATED WITH PFAS,"ADAM GOULD, ARTESIAN WATER MARYLAND INC",Cecil,36,1,Y,3,PRIVATE,Small,1,PFAS/EC,12/01/2023,04/30/2024,"$2,500,000",$0,1,,,,04/01/2023,TRANSMISSION/DISTRIBUTION,,MD0070015,Y,,"2,500,000","2,500,000"
