timestamp,call_label,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,stop_reason
2026-03-31T13:31:08Z,1_col_names,claude-haiku-4-5-20251001,4045,1477,0,0,end_turn
2026-03-31T13:31:24Z,2_types_nulls,claude-haiku-4-5-20251001,11585,1492,0,0,end_turn
2026-03-31T13:32:09Z,3_script_logic,claude-sonnet-4-6,3213,2239,3519,0,end_turn
2026-03-31T13:33:16Z,4_script_data,claude-sonnet-4-6,11098,3150,0,3519,end_turn
