Municipality,Project Number,Project Description,Estimated Project Cost,Region,CME
"ARCADIA, CITY OF",4756U09,UNDETERMINED: Watermain extension on STH 95,"$295,000.00",WC,Cameron
"ARCADIA, CITY OF",4756U10,UNDETERMINED: Water Main Extension across Turton Creek; Avalon Hills,"$425,000.00",WC,Cameron
"ASHLAND, CITY OF",4759U23,UNDETERMINED: Replace Water Filters at WTP,"$550,000.00",NO,Andruczyk
"AUGUSTA, CITY OF",5186U06,UNDETERMINED: Reconstruct sewer near Well #9,"$105,000.00",WC,Cameron
"BARNEVELD, VILLAGE OF",4763U03,"UNDETERMINED: Construct 150,000‐Gallon Ground Stoarage Tank","$3,400,000.00",SC,Zettl
"BLOOMINGTON, VILLAGE OF",5065U06,UNDETERMINED: Replace WMs on Court St. and Bluebird,"$1,730,000.00",SC,Zettl
"BONDUEL, VILLAGE OF",5057U04,UNDETERMINED: WM Loop between Mutzy Ln and N Wash St,"$265,000.00",NE,Hannes
"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED: Construct System‐Well/Trtmt/Storage/Distr,"$9,000,000.00",WC,Cameron
"CALEDONIA, VILLAGE OF",5390U17,UNDETERMINED: Looping Main on CTH K,"$2,747,900.00",SE,Binder
"CUMBERLAND, CITY OF",4791U11,UNDETERMINED: Construct Well #6; Abandon Well #1,"$1,241,000.00",NO,Andruczyk
"CURTISS, VILLAGE OF",4792U08,"UNDETERMINED: Construct Well #14, Well House, Pump, SCADA","$4,046,900.00",WC,Cameron
"DODGEVILLE, CITY OF",4795U06,UNDETERMINED: Rehab/Upgrade Well #9,"$1,000,000.00",SC,Zettl
"DODGEVILLE, CITY OF",4795U03,UNDETERMINED: New Booster/Tank/PRV: 2nd pressure Zone,"$1,500,000.00",SC,Zettl
"DODGEVILLE, CITY OF",4795U08,UNDETERMINED: Construct New Well #10,"$2,500,000.00",SC,Zettl
"DODGEVILLE, CITY OF",4795U05,UNDETERMINED: Construct Elevated Storage Tank,"$2,500,000.00",SC,Zettl
"DODGEVILLE, CITY OF",4795U04,UNDETERMINED: Construct New Booster Station,"$2,250,000.00",SC,Zettl
"DOUSMAN, VILLAGE OF",5382U03,"UNDETERMINED: Replace WMs on Ludwig, Edwards, Tabot, etc.","$2,750,000.00",SE,Zettl
"EAGLE RIVER, CITY OF",5383U09,UNDETERMINED: Construct New Well #4,"$1,781,000.00",NO,Andruczyk
"ELK MOUND, VILLAGE OF",5575U03,UNDETERMINED: Construct Water Main to Provide Looping,"$2,500,000.00",WC,Cameron
"ELKHORN, CITY OF",5525U06,UNDETERMINED: Replace Water Main ‐ Centralia St ‐ Phase 1,"$2,363,000.00",SE,Binder
"ELKHORN, CITY OF",5525U11,UNDETERMINED: Decommission NE WTP LS & Install New Gravity Sewer,"$598,000.00",SE,Binder
"ELKHORN, CITY OF",5525U12,UNDETERMINED: Replace Water Main ‐ Centralia St ‐ Phase 2,"$2,605,000.00",SE,Binder
"ELKHORN, CITY OF",5525U13,UNDETERMINED: Replace Water Main ‐ Centralia St ‐ Phase 3,"$1,884,000.00",SE,Binder
"EVANSVILLE, CITY OF",4803U06,"UNDETERMINED: Treat Fe/Mn, Wells #1 and 2","$2,500,000.00",SC,Zettl
"EVANSVILLE, CITY OF",4803U05,"UNDETERMINED: Treat Fe/Mn, Well #3","$2,500,000.00",SC,Zettl
"FLORENCE, TOWN OF",5456U08,UNDETERMINED: Looping Main to Town of Commonwealth,"$1,040,000.00",NO,Andruczyk
"HILLSBORO, CITY OF",5492U04,UNDETERMINED: Construct Well/House #4; Demo Existing Building,"$950,000.00",WC,Cameron
"KAUKAUNA, CITY OF",5120U11,UNDETERMINED: Construct Water Treatment Plant,"$3,200,000.00",NE,Hannes
"LAKE HALLIE, VILLAGE OF",5267U14,UNDETERMINED: Reroute and Install New Equipment for Well #1,"$2,800,000.00",WC,Cameron
"LAKE HALLIE, VILLAGE OF",5267U15,UNDETERMINED: Reroute and Install New Equipment for Well #3,"$2,800,000.00",WC,Cameron
"LANNON, VILLAGE OF",5647U01,UNDETERMINED: Construct New Well,"$3,000,000.00",SE,Binder
"MADISON, CITY OF (SDW)",4837U08,UNDETERMINED: Treat Well #19 for Fe/Mn/Rads,"$6,800,000.00",SC,Zettl
"MONTELLO, CITY OF",5528U01,"UNDETERMINED: Construct Well #3, Well House","$1,725,000.00",NE,Hannes
"MUKWONAGO, VILLAGE OF",4854U05,UNDETERMINED: WTP at Well #3 for Radium,"$4,750,000.00",SE,Binder
"NEW GLARUS, VILLAGE OF",5623U06,UNDETERMINED: Rehab/Upgrade Booster Station,"$1,300,000.00",SC,Zettl
