Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Start Date,End Date,Total Cost ($),Green Cost ($),MDE Funding Requested ($),CD Code,Loan Interest,Audit,Plan,Green Type,Design Date,Project Type,Compliance,pwsid,requested_funding
30,52,WC-1243 CROMWELL PUMPING STATION REHABILITATION,DW0024,?,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM","ROBERT BURROS, BALTIMORE COUNTY, MARYLAND",Baltimore County,8,3,Y,Y,PUBLIC,Large,0,07/01/2022,07/31/2026,$0,"$29,775,751","$29,775,751",1,Y,Y,Y,,07/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,29775751
31,45,RC WILLSON WTP CHEMICAL UPGRADE,DW0035,108600,WTP CANNOT RECEIVE CHEMICAL DELIVERIES DURING HIGH WATER EVENTS,"EXPAND STORAGE CAPACITY OF PRIMARY COAGULANT POLYMER TANKS + INSTALL CHLORINE SCRUBBER TO NEUTRALIZE CHLORINE LEAK OF 2,000LB","WILLIAM LUHN, CITY OF HAGERSTOWN -- UTILITIES DEPARTMENT",Washington,2C,6,Y,2,PUBLIC,Large,1,05/01/2023,12/31/2023,"$1,150,000","$1,000,000","$1,000,000",1,Y,Y,Y,,07/01/2022,TREATMENT,,MD210010,1000000
32,42,WC-1281 SOUTH ST & VICINITY (DOWNTOWN) WATER MAIN REPLACEMENT,DW0009,600000,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 11,761 LF 3-IN THROUGH 20-IN DIA PIPE IN 1ST PRESSURE ZONE","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,46,7,Y,Y,PUBLIC,Large,1,11/01/2023,11/30/2024,"$10,484,177","$10,484,177","$10,484,177",1,Y,Y,Y,,08/01/2022,TRANSMISSION/DISTRIBUTION,,MD3000002,10484177
33,42,"WC-1318 DOWNTOWN, BOLTON HILL, GUILFORD NEIGHBORHOODS & VICINITY WATER MAIN REPL",DW0011,600000,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 30,995 LF 3-IN THROUGH 20-IN DIA PIPE IN 1ST, 2ND AND 3RD E PRESSURE ZONES","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,REG,7,Y,Y,PUBLIC,Large,1,09/01/2023,03/31/2026,"$24,232,901","$24,232,901","$24,232,901",1,Y,Y,Y,,06/01/2022,TRANSMISSION/DISTRIBUTION,,MD300002,24232901
34,42,WC-1322 BELAIR RD NEIGHBORHOOD AND VICINITY WM REPLACEMENTS,DW0013,600000,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 19,202 LF 6-IN THROUGH 16-IN DIA PIPE IN 2ND PRESSURE ZONE","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,45,"3,7",Y,Y,PUBLIC,Large,1,11/01/2023,11/30/2025,"$14,327,306","$14,327,306","$14,327,306",1,Y,Y,Y,,08/01/2022,TRANSMISSION/DISTRIBUTION,,MD300002,14327306
35,42,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0005,1800000,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43,7,Y,Y,PUBLIC,Large,1,07/01/2022,07/31/2025,"$72,118,232","$33,949,188","$33,949,188",1,Y,Y,Y,,08/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,33949188
36,42,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0023,?,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR","ROBERT BURROS, BALTIMORE COUNTY, MARYLAND",Baltimore County,43,7,Y,Y,PUBLIC,Large,0,07/01/2022,07/31/2025,$0,"$28,847,293","$28,847,293",1,Y,Y,Y,,08/01/2015,TRANSMISSION/DISTRIBUTION,,MD0300002,28847293
37,40,SMITHSBURG WATER STREET WATER LINE REPLACEMENT PROJECT,DW0037,4478,"LACK OF WATER PRESSURE, ESPECIALLY IN THE EVENT OF FIRE SUPPRESSION. REMOVE CAST IRON PIPES AND LEAD JOINTS.","REPLACE ALL WATER LINES, SEWER LINES, AND UPDATE STORM WATER MANAGEMENT AT STREET LEVEL","CHAD ROONEY, TOWN OF SMITHSBURG",Washington,2A,6,Y,Y,PUBLIC,Small,0,10/01/2023,03/31/2024,"$1,653,123","$1,002,100","$1,002,100",1,Y,,,,08/01/2023,TRANSMISSION/DISTRIBUTION,,MD0210018,1002100
38,40,ANACOSTIA DEPOT RECONFIGURATION,DW0043,2100000,"IMPROVE EFFICIENCY OF OPERATIONS, FLOODPLAIN VULNERABILITIES OF LARGEST WSSC WATER DEPOT","RECONFIGURATION OF ANACOSTIA DEPOT LAYOUT, INCL ACCESS, CIRCULATION, AND RENOVATION OF BLDGS UP TO CURRENT CODE","BRIAN HALLORAN, WASHINGTON SUBURBAN SANITARY COMMISSION",WSSC,47A,4,Y,Y,PUBLIC,Large,0,01/01/2023,12/31/2026,"$42,838,000","$21,414,000","$21,414,000",1,Y,Y,Y,,07/01/2021,OTHER,,MD0150005,21414000
39,37,WC-1279 DISTRIBUTION WATER MAIN REPLACEMENT & REHAB SEFTON AREA & VICINITY,DW0008,1585,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 19,420 LF 6-IN THROUGH 12-IN DIA PIPE IN 3RD E PRESSURE ZONE","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,45,3,Y,Y,PUBLIC,Large,1,03/01/2023,09/30/2024,"$119,423,360","$11,942,336","$11,942,336",1,Y,Y,Y,,12/01/2021,TRANSMISSION/DISTRIBUTION,,MD300002,11942336
40,37,WC-1313 UPPER FELLS POINT & WEST CANTON,DW0010,1585,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 25,924 LF 4-IN THROUGH 20-IN+30-IN+40-IN DIA PIPE IN 1ST AND 2ND PRESSURE ZONE","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,46,1,Y,Y,PUBLIC,Large,1,05/01/2023,11/30/2024,"$16,002,796","$16,002,796","$16,002,796",1,Y,Y,Y,,02/01/2022,TRANSMISSION/DISTRIBUTION,,MD300002,16002796
41,37,"WC-1319 KESWICK ROAD, WEST 36TH STREET & YORK ROAD WATER MAIN REPL",DW0012,1628,DETERIORATION OF UNLINED CAST IRON PIPE PAST ITS USEFUL LIFE,"REPLACE 12,171 LF 4-IN THROUGH 20-IN DIA PIPE IN 2ND AND 3RD E PRESSURE ZONES","AARON MOORE, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,REG,REG,Y,Y,PUBLIC,Large,1,08/01/2023,08/31/2024,"$13,900,478","$13,900,478","$13,900,478",1,Y,Y,Y,,04/01/2022,TRANSMISSION/DISTRIBUTION,,MD300002,13900478
42,35,BEACHES WATER CO-OP (BWC) REDUCING LEAD IN DRINKING WATER SERVICE LINE REPL,DW0039,2010,AGED PIPING AND FITTINGS WITH LEAD CONTAMINATION,REPLACE 2-IN OD OR LESS SECONDARY SERVICE LINES AND FITTINGS UP TO EACH RESIDENTIAL METER,"DENNIS DIBELLO, BEACHES WATER CO-OP",Calvert,2C,5,?,?,PUBLIC,Small,0,09/01/2023,09/30/2025,"$1,500,000","$1,500,000","$1,500,000",1,Y,,,,06/01/2023,TRANSMISSION/DISTRIBUTION,,MD,1500000
43,25,MARTINGHAM SMART WATER METER,DW0001,770,"REPLACE OLD, INACCURATE, DIFFICULT-TO-READ WATER METERS WITH SMART METERS",INSTALLATION OF SMART METER FOR 313 RESIDENTIAL PROPERTIES + 2 COMMERCIAL PROPERTIES,"JAY T. FRENCH, MARTINGHAM UTILITIES COOPERATIVE",Talbot,37B,1,Y,2,PRIVATE,Small,1,04/01/2023,07/31/2023,"$141,378","$141,378","$141,378",1,Y,,,G,09/01/2022,OTHER,,MD0200004,141378
