RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
11,"Richwood, City of",Nicholas,Surface Water Intake Impound  Structure Project,"The proposed project will replace the raw water intake impoundment that helps to regulate the water level around the water treatment plant’s raw water intake. Included in this project will be building a new surface water intake impound structure, demolition and removal of the existing impound infrastructure, installation of a catwalk with manual gate, construction of a new intake screening structure, approximately 200 LF of 12” mains, 300 LF of 2” air line and site electric with equipment for an air compressor building, and various reclamation of disturbed areas.",2021W-1959,$28.37 ,$39.88 ,$45.47 ,2,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","1,095",70,30,10,30,"$1,000,000 ","$2,000,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"The proposed project will replace the raw water intake impoundment that helps to regulate the water level around the water treatment plant’s raw water intake. Included in this project will be building a new surface water intake impound structure, demolition and removal of the existing impound infrastructure, installation of a catwalk with manual gate, construction of a new intake screening structure, approximately 200 LF of 12” mains, 300 LF of 2” air line and site electric with equipment for an air compressor building, and various reclamation of disturbed areas.","0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","1,095",22-Oct,N/A,$0 ,,,"$700,000 ","$200,000 ",,,,"$700,000 ","$2,000,000 "
12,"Pennsboro, City of",Ritchie,Water System Improvements,"The proposed project plans to replace the existing 434,000 gallon Industrial Park Tank with a new like-sized tank and to rehabilitate the Park Drive and Broadwater Water Storage Tanks. Also included will be the replacement of almost 1.14 miles of mostly 8-inch watermains with a small portion being 2-inch and 6-inch. All necessary valves and appurtenances will be included as well as the demolition and site preparation for the new tank.",2022W-2089,$30.25 ,$60.07 ,$60.07 ,2.48,Yes,Principal  Forgiveness,"1,291",70,30,10,30,"$500,000 ","$2,112,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"The proposed project plans to replace the existing 434,000 gallon Industrial Park Tank with a new like-sized tank and to rehabilitate the Park Drive and Broadwater Water Storage Tanks. Also included will be the replacement of almost 1.14 miles of mostly 8-inch watermains with a small portion being 2- inch and 6-inch. All necessary valves and appurtenances will be included as well as the demolition and site preparation for the new tank.",Principal  Forgiveness,"1,291",23-Jun,N/A,$0 ,,,"$500,000 ","$500,000 ",,,,"$500,000 ","$2,112,000 "
13,"Alderson, Town of",Greenbrier,Water System Rehab & Expansion,This preliminary application is for the Town of Alderson to extend water service to the Riverside Rest area and to repair/replace various parts of the water distribution system and water treatment facilities.,2019W-1833,$25.68 ,$38.58 ,$58.49 ,2.85,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","2,458",70,30,10,30,"$5,398,000 ","$9,013,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,This preliminary application is for the Town of Alderson to extend water service to the Riverside Rest area and to repair/replace various parts of the water distribution system and water treatment facilities.,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","2,458",23-Jul,N/A,$0 ,,,"$4,661,258 ","$2,699,000 ",,,,"$4,661,258 ","$9,013,000 "
14,Town of Oceana,Wyoming,Water System Upgrade Phase II,"Phase 2 of a water system upgrade project for the Town of Oceana and the surrounding area. Project includes replacing Lynco water storage tank, water plant upgrades, telemetry upgrades, replacing water meters, booster station upgrades, and upgrading existing water lines along Rt 10, Rt 85, Popular St. and Chestnut St.",2019W-1840,$35.14 ,$39.23 ,$48.93 ,2.02,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,797",70,30,10,30,"$3,000,000 ","$5,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,"Phase 2 of a water system upgrade project for the Town of Oceana and the surrounding area. Project includes replacing Lynco water storage tank, water plant upgrades, telemetry upgrades, replacing water meters, booster station upgrades, and upgrading existing water lines along Rt 10, Rt 85, Popular St. and Chestnut St.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","3,797",23-Jul,N/A,$0 ,,,"$952,538 ","$952,538 ",,,,"$952,538 ","$5,000,000 "
15,"Gary, City of",McDowell,Water System Improvements,"The project includes the engineering services necessary to conduct a feasibility study that will review alternate water sources for the city's water distribution system. Including alternative raw water sources, emergency interconnect to the City of Welch, emergency interconnect to the McDowell County PSD and consolidation with a nearby water utility.",2020W-1909,$32.98 ,$33.15 ,$33.15 ,1.26,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,633",65,40,10,15,"$500,000 ","$3,587,000 ",DWSRF Base  Program/Supplement al Funding,Project was returned at  IJDC and has been  requested to further  evaluate alternatives.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Lincoln PSD,Lincoln,Alum Creek Water Storage Tank  Replacement,"This project will replace the Lincoln PSD’s Alum Creek Water Storage Tank with a new 300,000 gallon tank.",2019W-1806,$37.29 ,$38.81 ,$42.43 ,1.42,Yes,Principal  Forgiveness,"2,473",65,40,10,15,"$250,000 ","$1,000,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"This project will replace the Lincoln PSD’s Alum Creek Water Storage Tank with a new 300,000 gallon tank.",Principal  Forgiveness,"2,473",23-Jan,N/A,$0 ,,,"$250,000 ","$250,000 ",,,,"$250,000 ","$1,000,000 "
17,"Cairo, Town of",Ritchie,Water System Improvements,"This project will make improvements to the Town of Cairo water distribution system. The project will consist of the 190 new water meters, replacement of 20 valves, replace the existing PRV station, clean and refurbish the existing 214,000 gallon storage tank, replace a river crossing; stabilize a river bank, replace 12 fire hydrants, install 12 fire hydrants, replace approximately 2.5 miles (13,400 LF) of 6"" and 2"" water line, and replace approximately 1.1 miles (6,000 LF) of 3/4"" water line.",2021W-1953,$33.85 ,$38.59 ,$51.48 ,1.9,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",406,65,30,10,25,"$1,000,000 ","$4,000,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"This project will make improvements to the Town of Cairo water distribution system. The project will consist of the 190 new water meters, replacement of 20 valves, replace the existing PRV station, clean and refurbish the existing 214,000 gallon storage tank, replace a river crossing; stabilize a river bank, replace 12 fire hydrants, install 12 fire hydrants, replace approximately 2.5 miles (13,400 LF) of 6"" and 2"" water line, and replace approximately 1.1 miles (6,000 LF) of 3/4"" water line.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness",406,23-Jul,N/A,$0 ,,,"$500,000 ","$500,000 ",,,,"$500,000 ","$4,000,000 "
18,Town of Worthington,Marion,Worthington Line  Upgrades/Replacement,"The project will make upgrades to the Town’s distribution system and will include an interconnection between Four States and Monongah. The project also includes a water line extension to the Harter Hill area that will serve five (5) new customers. The project will consist of the installation of approximately 18,900 LF of 6"" and 18,000 LF of 2"" water line; 10,000 LF of ¾"" service line replacement; 28 valves; two (2) PRV Stations; 12 fire hydrants; two (2) solenoid master meters; 13 leak detection meters; 465 radio-read meters; all necessary piping, valves and appurtenances.",2019W-1810,$27.99 ,$27.12 ,$43.83 ,1.96,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",1099,65,30,10,25,"$2,866,390 ","$3,366,390 ",DWSRF Base  Program/Supplement al Funding,Project will be funded,"The project will make upgrades to the Town’s distribution system and will include an interconnection between Four States and Monongah. The project also includes a water line extension to the Harter Hill area that will serve five (5) new customers. The project will consist of the installation of approximately 18,900 LF of 6"" and 18,000 LF of 2"" water line; 10,000 LF of ¾"" service line replacement; 28 valves; two (2) PRV Stations; 12 fire hydrants; two (2) solenoid master meters; 13 leak detection meters; 465 radio- read meters; all necessary piping, valves and appurtenances.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","1,099",22-Oct,N/A,$0 ,,,"$2,299,200 ","$500,000 ",,,,"$2,299,200 ","$3,366,390 "
19,"Grant Town, Town of",Marion,Water System Improvements,"This Preliminary Application is to replace water line, booster stations and water storage tank in the Town of Grant Town. The project will consist of the installation of approximately 2.9 miles (15,125 LF) of 8""through 2"" waterline; replace two (2) booster stations; and replace the existing 100,000-gallon tank with a new 200,000- gallon tank; and necessary valves and appurtenances.",2021W-2000,$33.56 ,$35.60 ,$59.24 ,2.11,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,240",65,30,5,30,"$2,825,000 ","$3,825,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Terra Alta Municipal Water Dept.,Preston,Water System Extensions and  Improvements,"This preliminary application is to extend water service to 25 new customers and to upgrade/replace the water system in the Town of Terra Alta. The water distribution section of the project will consist of the installation of approximately 1.5 miles (8,100 LF) of 2"" and 6.2 miles (32,800 LF) of 8"" water line; replace the 200,000 gallon Goodwill water storage tank; replace the Corinth water storage tank altitude valve; replace all meters with radio read meters; purchase a compact excavator, equipment trailer and a service dump truck; and all necessary valves, controls and appurtenances. The water treatment portion of the project will consist of a new high",2019W-1787,$38.03 ,$41.53 ,$57.08 ,1.88,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,856",65,30,10,25,"$4,800,000 ","$6,250,000 ",DWSRF Base  Program/Supplement al Funding,Requesting Congressional  Earmark Grant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
