RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
21,New Creek Water Association,Mineral,Water System Improvements,"This project proposes to make several upgrades around the water system including waterline replacements, waterline extensions, tank replacement, Booster Pump Station Upgrades and various other system upgrades.",2018W-1748,$33.11 ,$33.80 ,$50.50 ,1.91,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,043",65,30,10,25,"$5,673,000 ","$5,673,000 ",DWSRF Base  Program/Supplement al Funding,Project already funded by  IJDC and under  construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Rivesville, Town of",Marion,Fairmont to Rivesville Water  Supply Line Project,"The proposed project includes replacing the deteriorated 8” main supply line with a 12” line that will connect to the City of Fairmont’s 16” main. This project will consist constructing 10,500 feet (2 mi) of 12” water line and 300 feet of 8” water line within a stream crossing, 350 feet of steel casing and 6 gate valves. The City of Fairmont provides water to the Town of Rivesville. The intent is to ultimately transfer ownership of a portion of the line to the City of Fairmont.",2017W-1677,$43.48 ,$40.12 ,$57.81 ,1.66,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,443",60,40,10,10,"$500,000 ","$3,206,307 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Pax, Town of",Fayette,Water System Upgrades,"This project proposes replacing sections of water main between the Beckley Water Company connection point and the Pax water tank. The proposed project will consist of approximately 1.9 miles (10,000 LF) of 6” PVC, 400 LF of 6” DIP, 600 LF of 8” HDPE, 400 LF of 2” PVC, five stream crossings, five Department of Highway road crossings, and related appurtenances. This will renew the useful life of this critical section of waterline and will continue to distribute treated water for the Town of Pax customers.",2021W-1985,$37.81 ,$60.35 ,$60.35 ,2,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness",762,60,30,0,30,"$1,680,000 ","$1,680,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Mason County PSD,Mason,J2Y35 Water System  Improvements,"This project includes Miscellaneous improvements to existing J2Y35 water association water system in order for the Mason County PSD to adequately operate it through feeding it from its system, including 10,000 LF 8 inch transmission line to connect PSD system to J2Y35 tank; 125 gpm booster station near tie in; replace J2Y35 89,300 gallon tank; PRV valve vault for existing customers fed through 22nd Street master meter",2021W-2005,$37.97 ,$43.95 ,$46.25 ,1.52,Yes,Principal  Forgiveness,"3,323",60,30,10,20,"$500,000 ","$1,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Hodgesville PSD,Upshur,Water System Improvements &  Extension,"This project will replace approximately 175 service lines in the existing system. It will also include an extension on the Upper Peck's Run Road to serve an additional five customers. The project includes the installation of two 100,000 gallon water tanks as well as a booster pump station. The project also includes the installation of approximately 1200 radio read meters.",2020W-1877,$42.01 ,$54.29 ,$54.29 ,1.62,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,887",60,20,20,20,"$2,320,000 ","$7,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Walton PSD,Roane,Camp Shepard-Quarry Road  Water Line Extensions,"This project will upgrade the line size to the Camp Shepard 4-H camp to provide fire protection and then extend the line out to serve approximately 26 new customers along Wolf Run and Quarry Road. Included will be approximately 3.7 miles of water line , (2) fire hydrants, a booster station, (1) 50,000 gallon water storage tank, and all necessary valves and appurtenances. They also plan to repaint the 100,000 gallon Walton water storage tank and refurbish the Gandeeville, Ambler Ridge, and Long Ridge water storage tanks.",2015W-1564,$34.29 ,$29.21 ,$36.21 ,1.58,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,986",55,20,10,25,"$959,710 ","$3,459,710 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Jumping Branch Nimitz PSD,Summers,Broomstraw Rd./Mark Meador Rd.  Extension,"This project will provide water service to the Broomstraw Rd. and Mark Meador Rd. areas of western Summers County. Residents experience low water quality and poor quality water issues in existing private wells. In addition, many residents haul water, use cisterns, and some report fecal contaminants in wells.",2019W-1815,$38.18 ,$57.94 ,$66.58 ,2.18,Yes,"1%, 0.25%  Admin, 30 years","1,414",53,20,3,30,"$400,000 ","$4,811,800 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Jumping Branch Nimitz PSD,Summers,Madams Creek Waterline Ext.,"To provide water service to the Madams Creek Rd. area of western Summers Co. Residents experience low water quality and poor quality water issues in existing private wells. In addition, man residents haul water, use cisterns, and some report fecal contaminants in wells.",2019W-1816,$38.18 ,$57.94 ,$74.82 ,2.45,Yes,"0.5%,0.25%  Admin, 30 years","1,414",53,20,3,30,TBD,"$4,418,500 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Cowen PSD,Webster,Rt. 82 Water Line Extension  Project,This project consists of extending public water service and providing fire service to approximately 55 proposed customers along Rt. 82 in Webster County.,2014W-1525,$30.30 ,$0.00 ,$43.65 ,1.8,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,796",53,20,3,30,"$3,000,000 ","$4,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Anmoore, Town of",Harrison,Water System Improvements,"This Preliminary Application is to replace existing water line in the Town of Anmoore with approximately 5.2 miles (27,380 LF) of 8"" thru 2” water line, approximately 1.5 miles of service line (8,080 LF) and approximately 456 new radio read meters.",2021W-1970,$27.53 ,$33.76 ,$45.71 ,2.08,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness",951,50,10,10,30,"$2,300,000 ","$3,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Marlinton, Town of",Pocahontas,Phase II Water System  Improvements,"This project is Phase 2 for Marlinton’s water distribution system improvements. The project will replace approximately 1.9 miles of existing 4-inch water mains with 6- inch water line and replace approximately 1.9 miles of existing 1.25-inch water line with 2-inch water line. Also included will be to installation of 41 valves, 20 fire hydrants, 10 leak detector meters, replace 300 meters/wells/setters, and all other necessary valves and appurtenances.",2022W-2077,$29.83 ,$66.81 ,$75.11 ,3.15,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,362",50,10,10,30,"$3,500,000 ","$4,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Cowen PSD,Webster,Ph III Water System Rehabilitation  Project,"Project will remove and replace approx. 17,050 lf of water lines ranging in size from 2"" to 10"" and rehabilitate the existing WTP and upgrade the capacity from 600 GPM to 1,200 GPM",2022W-2120,$30.30 ,$43.65 ,$53.39 ,2.15,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,372",50,10,10,30,"$2,580,000 ","$11,580,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Williamson, City of",Mingo,Water System Upgrade Project,"This project will upgrade the water treatment, storage and distribution system. Upgrades will consist of the installation of (3) 2,500 GPM treatment high service pumps, approx. 2.86 miles of 24-inch and smaller diameter mains, a 500 GPM booster pump station, four new water storage tanks, rehab of existing tank, numerous pressure reducing stations, back up generators for TP and booster pump stations, telemetry, hydrants, valves, meters",2015W-1587,$29.95 ,$24.75 ,$49.40 ,2.11,Yes,"0.5%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","4,183",50,10,10,30,"$12,578,000 ","$12,578,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,McDowell County PSD,McDowell,Bradshaw,"This project proposes that the Bradshaw water system will be connected to the McDowell County PSD Bartley water distribution system that runs through town, and the water will be supplied by the MCPSD Bartley WTP. In addition it will involve the decommissioning of the Bradshaw Water Treatment Plant and the Bradshaw water tank. This project will result in the consolidation of Bradshaw Water Works and McDowell Co. PSD – Bartley.",2021W-1939,$28.83 ,$16.00 ,$53.72 ,2.33,Yes,Principal  Forgiveness,"1,854",50,10,10,30,"$100,000 ","$2,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,New Haven PSD,Fayette,Contract 18 - Sunday  Rd./Confluence/Elliott Cutoff  area.,"Water line extension to Sunday Rd./Confluence/Elliot Cufoff area, including possible Stringtown connector & Clifty connector. Approximately 67 new customers.",2018W-1761,$37.81 ,$49.24 ,$52.93 ,1.75,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,409",48,20,3,25,"$2,493,325 ","$2,933,635 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"Water line extension to Sunday Rd./Confluence/Elliot Cufoff area, including possible Stringtown connector & Clifty connector. Approximately 67 new customers.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","4,409",,N/A,$0 ,,,"$376,942 ","$376,942 ",,,,"$376,942 ","$2,933,635 "
36,New Haven PSD,Fayette,Contract 19 - Ramsey Extension,"Water line extension to Cane Branch, Ramsey, Hawver Rd., South Miller Ridge, Arrowwood Rd., Dotson Ridge & Lower Dotson Ridge, Whispering Pines. Approximately 73 new customers.",2018W-1760,$37.81 ,$49.24 ,$58.22 ,1.92,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,438",48,20,3,25,"$3,927,250 ","$4,841,686 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"Water line extension to Cane Branch, Ramsey, Hawver Rd., South Miller Ridge, Arrowwood Rd., Dotson Ridge & Lower Dotson Ridge, Whispering Pines. Approximately 73 new customers.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness","4,438",,N/A,$0 ,,,"$752,241 ","$337,600 ",,,,"$752,241 ","$4,841,686 "
37,Greenbrier County PSD #2,Greenbrier,Ph II- Sam Black Water Line  Extension,"This project extends water service to approximately 475 new customers from Charmco to Rainelle and from Sam Black Church to Asbury in Greenbrier County. The project includes approximately 17 miles of 2-inch to 8-inch distribution line, two (2) booster stations, one (1) 100,000-gallon water storage tank, one (1) 300,000 gallon water storage tank, 50 gate valves, 40 fire hydrants, 30 flushing hydrants and other appurtenances.",2020W-1898,$41.40 ,$54.65 ,$62.29 ,1.88,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,326",45,20,0,25,"$9,000,000 ","$17,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Lashmeet PSD,Mercer,Mary Branch Water Extension,"Extension of public water to the Mary Branch area of Mercer County, West Virginia. 4 miles. Approximately 42 new customers.",2018W-1728,$37.70 ,$49.24 ,$51.14 ,1.7,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,794",40,20,0,20,"$971,453 ","$2,146,050 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"Extension of public water to the Mary Branch area of Mercer County, West Virginia. 4 miles. Approximately 42 new customers.","1%, 0.25%  Admin, 30 years,  Principal  Forgiveness",3794,22-Oct,N/A,$0 ,"$1,065,168 ","$214,753 ",,,,,,"$1,065,168 ","$2,146,050 "
39,Hammond PSD,Brooke,Water System Improvements,"This project includes system improvements to the distribution systems and the water treatment plant. This includes water main replacement, replacing exiting meters with new AMR meters, replacing shut off valves, pump station improvements and upgrades to existing water storage tanks. Water treatment plant improvements include replacing the sedimentation basin, filter media replacement, automatic valve installation, installation of a permanent generator and pump replacement.",2021W-1955,$48.14 ,$40.21 ,$67.39 ,1.75,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,196",40,10,10,20,"$5,674,000 ","$6,174,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Kanawha Falls PSD,Fayette,Water System Improvements,"This project will upgrade the existing water treatment plant from approximately 933 gpm to 1,300 gpm.",2021W-2038,$37.80 ,$39.56 ,$45.45 ,1.5,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,410",40,10,10,20,"$9,860,500 ","$9,860,500 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Craigsville PSD,Nicholas,Water Treatment Plant and  Distribution System Upgrades,"This project will upgrade the existing water treatment plant to 900 gpm and installing a dedicated waterline from the water treatment plant to existing elevated water storage tanks. The project will consist of a new raw water intake screen and hydroburst system, raw water pump station, flocculator, sedimentation basin, filter equipment, backwash solids pump station, chemical feed system, painting four (4) existing water tanks, approximately 4 miles of 10"" water line, and all necessary appurtenances.",2015W-1590,$32.53 ,$29.45 ,$36.46 ,1.4,Yes,"1%, 0.25%  Admin., 30  years, Principal  Forgiveness","1,813",35,10,10,15,"$3,174,000 ","$11,100,000 ",DWSRF Base  Program/Supplement al Funding,Project will be funded.,"This project will upgrade the existing water treatment plant to 900 gpm and installing a dedicated waterline from the water treatment plant to existing elevated water storage tanks. The project will consist of a new raw water intake screen and hydroburst system, raw water pump station, flocculator, sedimentation basin, filter equipment, backwash solids pump station, chemical feed system, painting four (4) existing water tanks, approximately 4 miles of 10"" water line, and all necessary appurtenances.","1%, 0.25%  Admin., 30 years,  Principal  Forgiveness",1813,23-Feb,N/A,$0 ,"$2,007,952 ","$400,000 ",,,,,,"$2,007,952 ","$11,100,000 "
42,Town of Nutter Fort,Harrison,Water System Improvements,"This project will replace water line and add a new water storage tank in the Town of Nutter Fort. The project will consist of the installation of approximately 1.3 miles (7,110 LF) of 6"" and 1.5 miles (7,850 LF) of 12"" waterline and one (1) 270,000- gallon water storage tank with telemetry and all necessary valves and appurtenances.",2021W-1973,$41.33 ,$36.58 ,$54.21 ,1.64,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,832",33,10,3,20,"$2,000,000 ","$4,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"West Union, Town of",Doddridge,Water System Improvements,"The proposed project will include improvements to the distribution system and a construction of a new 500 GPM water treatment plant. Improvements include 11,000 ft of new water line, two new water storage tanks, new telemetry and replacement of 16,200 ft of water line.",2021W-2046,$31.86 ,$28.90 ,$51.17 ,2.01,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,895",30,10,10,10,"$20,995,000 ","$22,995,000 ",DWSRF Base  Program/Supplement al Funding,Project was returned at  IJDC and has been  requested to further  evaluate alternatives.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,City of Weirton,Hancock,Water Treatment Plant Refurbish  & Expand,"This project will upgrade and increase the Weirton Water Board’s 4.0 MGD Water Treatment Plant to an 8.0 MGD plant. Major new construction will consist of a pre- sedimentation basin with sludge removal equipment, a flocculation tank with plate settlers, a sludge thickener, a backwash filter tank, an emergency generator and the expansion of the existing filter building and clear well. The existing Raney Well will also be reconstructed.",2019W-1795,$41.49 ,$24.96 ,$41.84 ,1.27,Yes,"1%, 0.25%  Admin, 30 years","24,000",25,10,0,15,"$2,000,000 ","$22,470,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Bellwood Community Facilities,Fayette,Main Line Replacement,"Project will replace 40 yr. old 2"" galvanized supply line from pump house to tank reservoir, approx. 600 ft.",TBD,$37.80 ,$20.00 ,TBD,0.66,TBD,TBD,113,TBD,TBD,TBD,5,"$5,000 ","$5,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Arthurdale Water Association,Preston,Water System Upgrades,Project consists of water treatment plant and distribution system upgrades.,TBD,$46.94 ,$18.56 ,TBD,0.49,TBD,TBD,285,TBD,TBD,TBD,0,"$200,000 ","$200,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Valley Grove, Village of",Ohio,Water System Improvements,"This project includes replacement of approx. 35,000 lf of water lines, construction of 2 new 100,000 gallon storage tanks, 250 new water meters, and water tank access road improvements.",TBD,$36.83 ,$60.79 ,TBD,2.06,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness",686,TBD,TBD,TBD,30,"$6,500,000 ","$7,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Thomas, City of",Tucker,Water System Improvements,"Project includes replacement of 35,000 lf of existing water lines, rehabilitation of 3 water storage tanks, replacement of 1 booster pump station, a new 350 gpm water treatment plant, replacement of 360 water meters, and 3,000 lf of new 8"" water line.",TBD,$34.38 ,$36.76 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",753,TBD,TBD,TBD,15,"$14,300,000 ","$15,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Summit Park PSD,Harrison,Water System Improvements,Project will replace all existing components of an aging water system with new line and lead free components.,TBD,$45.82 ,$45.18 ,TBD,1.23,TBD,TBD,835,TBD,TBD,TBD,10,"$6,000,000 ","$6,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Rowlesburg, Town of",Preston,Water System Improvements,"The project proposes to repair electrical issues and perform upgrades at the water treatment plant. The project also proposes to purchase and install new water meters within the system, purchase leak detection equipment, and upgrade aging water lines.",TBD,$31.00 ,$38.19 ,TBD,1.54,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",892,TBD,TBD,TBD,20,"$1,500,000 ","$2,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Junior, Town of",Barbour,Water Tank Replacement Project,This project will replace a water storage tank that was constructed in 1970 and is in poor condition.,TBD,$33.56 ,$53.20 ,TBD,1.98,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness",987,TBD,TBD,TBD,25,TBD,TBD,DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Fountain PSD,Mineral,Parrill Hollow Water System ProjectTBD,,TBD,$33.11 ,$62.27 ,TBD,2.35,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,001",TBD,TBD,TBD,30,"$822,630 ","$2,202,800 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Mt. Zion PSD,Calhoun,Water System Improvements,Project includes water distribution and storage system improvements.,TBD,$37.05 ,$59.36 ,TBD,2,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,009",TBD,TBD,TBD,30,"$1,500,000 ","$2,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Downs PSD,Marion,Waterline Extensions & System  Upgrades,"Project includes water line extensions along East Run and Plum Run Road, construction of a water storage tank and an interconnection with Monumental PSD to allow a secondary source to both utilities.",TBD,$44.96 ,$45.81 ,TBD,1.27,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,024",TBD,TBD,TBD,TBD,"$2,400,000 ","$2,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Belmont, City of",Pleasants,Water System Improvements,Project consists of distribution and storage system upgrades.,TBD,$41.02 ,$35.70 ,TBD,1.09,No,"2.5%, 0.25%  Admin, 20 years","1,048",TBD,TBD,TBD,10,"$1,000,000 ","$3,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Richwood, City of",Nicholas,Water Tank Renovation and Meter  Replacement,"This project includes the engineering services necessary to renovate 4 finished water storage tanks, demolish 1 water storage tank, add a booster station, replace existing obsolete water meters, and construct a presedimentation basin.",TBD,$28.37 ,$45.47 ,TBD,2,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,095",TBD,TBD,TBD,30,"$5,000,000 ","$5,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Ice's Run Rt 250 PSD,Marion,Water System Improvements PH II,"This project includes replacement of 9,200 lf of existing water line, improvements to Goose Run booster pump station, new booster station, new water meters, water tank access road improvements, new control valve station and telemetry system upgrades.",TBD,$44.96 ,$40.89 ,TBD,1.14,TBD,TBD,"1,130",TBD,TBD,TBD,10,"$2,400,000 ","$2,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Burnsville Public Utility Board,Braxton,Route 4 Water Line Extension,This project would extend public water service to approx. 100 customers from Curry Ridge along Route 4 to the Lewis County line.,TBD,$34.11 ,$49.22 ,TBD,1.8,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,140",TBD,TBD,TBD,25,"$6,700,000 ","$6,700,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Burnsville Public Utility Board,Braxton,Water System Rehab Project,Proposed water line extension and relocation project to provide water service to customers along Curry Ridge Rd. and remove the existing water line from the Corp of Engineers Burnsville Lake.,TBD,$34.11 ,$49.22 ,TBD,1.8,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,140",TBD,TBD,TBD,25,"$1,200,000 ","$6,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Pennsboro, City of",Ritchie,Phase II Water Line Extension,"This project will extend public water to approx. 33 customers along Route 74. The project includes water lines, water meters, fire hydrants and all necessary appurtenances.",TBD,$30.25 ,$60.07 ,$60.07 ,2.48,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,291",TBD,TBD,TBD,30,"$4,000,000 ","$5,000,000 ",DWSRF Base  Program/Supplement al Funding,Requesting Congressional  Earmark Grant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"New Cumberland, City of",Hancock,New Well,"This project includes development of a new well, repairing an existing well and replacement of approx. 30 valves.",TBD,$26.09 ,$42.30 ,TBD,2.03,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","1,326",TBD,TBD,TBD,30,"$150,000 ","$150,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Big Bend PSD,Summers,Water System Improvements,"Project consists of water line replacements under the Greenbrier River, installation of a generator and transfer switch at the Hillsdale booster station and WTP improvements.",TBD,$38.18 ,$36.46 ,TBD,1.19,TBD,"2.5%, 0.25%  Admin, 20 years","1,338",TBD,TBD,TBD,10,"$2,540,000 ","$2,540,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Parsons, City of",Tucker,Water System Improvements,"The project includes upgrades to existing potable water storage, replacement of remaining original sections of the water system, replacement of hydrants and valves, and upgrades to leak detection monitoring systems.",TBD,$36.93 ,$43.11 ,TBD,1.46,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,461",TBD,TBD,TBD,15,"$4,500,000 ","$4,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Lumberport, Town of",Harrison,Water System Improvements,"This project evaluates potential secondary water sources, comprehensive leak detection and an automated radio read water meter system.",TBD,$40.36 ,$49.19 ,TBD,1.52,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,519",TBD,TBD,TBD,20,"$2,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
