Single Audit Required,Equivalency Project,Categorical Green or Business Case Green,Loan #,Project Name,Total Assistance Amount,Loan,Principal Forgiveness,Green,Est. Binding Commitment
Yes,Equivalency Project,Water Efficiency,80254,Pittsburgh Water and Sewer Authority - 2023 Small Diameter Water Main Replacement (non-Lead) 1,35194590,62672221,0,68646635,2025-05-20T00:00:00.000
Yes,Equivalency Project,Water Efficiency,80262,Hazleton City Authority 2025 Water System Upgrades,16225000,0,16225000,0,2026-01-22T00:00:00.000
Yes,Equivalency Project,Water Efficiency,80279,Clearfield Municipal Authority - Montgomery Run Water Treatment Facility Upgrades,25900000,1875910,24024090,0,2026-04-23T00:00:00.000
