Single Audit Required,Equivalency Project,Categorical Green or Business Case Green,Loan #,Project Name,Total Assistance Amount,Loan,Principal Forgiveness,Green,Est. Binding Commitment
Yes,Equivalency Project,Water Efficiency,80252,Municipal Authority of the City of New Kensington 2024 Waterline Replacements/WTP Filter Media Replacement,3856741,3856741,0,3185116,2025-02-26T00:00:00.000
Yes,Equivalency Project,,80253,"Mercersburg Water Authority - Water System Improvements, Phase 1",2061800,2061800,0,0,2025-04-15T00:00:00.000
Yes,Equivalency Project,Water Efficiency,82250,Bradford City Water Authority - System-Wide Meter Replacements,4118500,2260980,1857520,3876500,2025-06-03T00:00:00.000
Yes,Equivalency Project,,80278,Borough of Brackenridge - Water Filtration Plant Consent Order Improvements,5950000,3810020,2139980,0,2026-04-23T00:00:00.000
Yes,Equivalency Project,Energy Efficiency,82403,City of Philadelphia- East Park Booster Pumping Station1,20523429,62775000,6000000,8150000,2026-01-22T00:00:00.000
