"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
59,"LADYSMITH, CITY OF",5369-15,Replace WMs along E. 10th St. N.,"$461,853.00",NO,Andruczyk
59,"LADYSMITH, CITY OF",5369-14,Replace WMs along Lindoo Ave,"$732,748.00",NO,Andruczyk
58,"BEAVER DAM, CITY OF1",4764-09,Replace Existing Fe Treatment,"$16,100,000.00",SC,Zettl
58,"FOX LAKE, CITY OF",5583-01,Replace WM STH 33: Jansen Dr to Brower Blvd,"$1,500,000.00",SC,Zettl
58,"JUNEAU, CITY OF",4824-05,Replace WM and LSLs on Oak/Hyland Streets,"$700,000.00",SC,Zettl
58,"LODI, CITY OF",4835-05,Rehab Wellhouse #2 and appurtenances,"$700,000.00",SC,Zettl
58,"OMRO, CITY OF",5091-11,Replace WM on Larabee St,"$1,000,000.00",NE,Hannes
58,"RANDOLPH, VILLAGE OF",4888-07,"Replace WMs along 1st, 2nd, Center, and Grove Sts.","$1,300,000.00",SC,Zettl
58,SENECA SD #1,5514-02,Construct Well #2 Including Well House And Connecting Mains,"$760,000.00",WC,Cameron
54,"PARDEEVILLE, VILLAGE OF",5424-04,Rehab Tower 1,"$150,000.00",SC,Zettl
54,"PARDEEVILLE, VILLAGE OF",5424-07,Rehab Tower 2,"$150,000.00",SC,Zettl
54,"STRATFORD, VILLAGE OF",5290-09,Replace WM along Allington St.,"$274,370.00",WC,Andruczyk
54,"STRATFORD, VILLAGE OF",5290-11,Replace WM along Jasper St.,"$266,950.00",WC,Andruczyk
54,"STRATFORD, VILLAGE OF",5290-07,Replace WM along Legacy St.,"$1,123,450.00",WC,Cameron
54,"STRATFORD, VILLAGE OF",5290-08,Replace WM along Legion St.,"$1,119,929.00",WC,Cameron
54,"STRATFORD, VILLAGE OF",5290-10,Replace WM along Monarch St.,"$556,160.00",WC,Andruczyk
53,"ARCADIA, CITY OF",4756-12,Watermain Replacement-- Oak St,"$250,000.00",WC,Cameron
53,"IRON RIDGE, VILLAGE OF",5608-01,Replace WMs in the East Avenue Area,"$137,000.00",SC,Zettl
53,"TOMAHAWK, CITY OF",5342-06,Replace WM on Spirit Ave from Tomahawk to 6th,"$260,000.00",NO,Andruczyk
52,"BLUE MOUNDS, VILLAGE OF",4768-03,Watermain Replacement on Division St and Mound Rd,"$1,302,000.00",SC,Zettl
52,"HAUGEN, VILLAGE OF",5633-01,Rehab Well #1,"$300,000.00",NO,Cameron
50,"MCFARLAND, VILLAGE OF",4990-06,Rehab Water Tower #1,"$1,826,000.00",SC,Zettl
50,"MCFARLAND, VILLAGE OF",4990-05,Rehab Water Tower #2,"$1,826,000.00",SC,Zettl
50,"PULASKI, VILLAGE OF",5373-06,Replace Wms on 4th Ave and Chicago St,"$816,463.00",NE,Hannes
49,"ARCADIA, CITY OF",4756-11,Watermain Replacement-- Main St,"$872,000.00",WC,Cameron
49,"KRONENWETTER, VILLAGE OF",5533-04,Treat Well #2 for Mn,"$4,300,000.00",WC,Andruczyk
46,"ROCKLAND, VILLAGE OF",5093-06,Construct Elevated Storage Tank; Demo Existing Reservoir,"$1,100,000.00",WC,Cameron
44,"BLACK EARTH, VILLAGE OF",5484-02,"Replace Aged 6"" WMs w/ Larger Ductile Iron; Replace Services","$1,610,000.00",SC,Zettl
44,"BLANCHARDVILLE, VILLAGE OF",4767-05,"Watermain Replacement, Baker and Mound Streets","$939,000.00",SC,Zettl
44,"ORFORDVILLE, VILLAGE OF",5488-03,Replace WMs on N Center and W Richmond Streets,"$1,141,000.00",SC,Zettl
43,"EDGERTON, CITY OF",4800-03,Replace WMs on S Main St,"$1,000,000.00",SC,Zettl
42,"BLAIR, CITY OF",5263-05,Replace Wms on Broadway St. and Pearl St.,"$524,000.00",WC,Cameron
42,"FENNIMORE, CITY OF",5619-02,"Replace WMs on Grant, 13th, Madison, 5th, and Cleveland Streets","$2,000,000.00",SC,Zettl
42,"LAKE GENEVA, CITY OF",5607-03,Replace WM on STH 50 (Main St.),"$1,000,000.00",SE,Fuja
41,"JEFFERSON, CITY OF",5463-06,Improve Well #3,"$1,500,000.00",SC,Zettl
40,"HAUGEN, VILLAGE OF",5633-02,Rehab Elevated Storage Tank,"$600,000.00",NO,Cameron
38,"AUGUSTA, CITY OF",5186-07,Looping Watermain between Wells 9 and 11,"$250,000.00",WC,Cameron
38,"BANGOR, VILLAGE OF",5145-04,Replace WMs on Commercial St from 10th - 17th Ave,"$2,299,509.00",WC,Cameron
38,"CROSS PLAINS, VILLAGE OF",5337-06,"Replace WM, Brewery Rd","$1,490,000.00",SC,Zettl
38,"GALESVILLE, CITY OF",4809-02,"Replace undersized WMs - Gale Ave, 5th St, 7th St","$200,000.00",WC,Cameron
38,"HIXTON, VILLAGE OF",5266-08,Replace WM on STH 95,"$900,000.00",WC,Cameron
38,"LENA, VILLAGE OF",5464-06,Replace WMs on W Maple & N 3rd St,"$542,600.00",NE,Hannes
38,"OMRO, CITY OF",5091-07,Replace WM Crossing at River Bend Park,"$250,000.00",NE,Hannes
38,"OSSEO, CITY OF",4875-07,Replace WM along US HWY 10,"$880,000.00",WC,Cameron
38,"WATERLOO, CITY OF",4962-09,Replace WM on Jefferson from HWY19 to Peschel,"$400,000.00",SC,Zettl
34,"BALDWIN, VILLAGE OF",5384-05,WMs on Lokhorst and 8th St.,"$331,400.00",WC,Cameron
34,"LUCK, VILLAGE OF",5486-07,Replace WM on Park St,"$800,000.00",NO,Cameron
34,"WATERLOO, CITY OF",4962-08,Replace WM on Jefferson from HWY19 to WWTP,"$500,000.00",SC,Zettl
33,"TWO RIVERS, CITY OF1",4920-34,Reconnect WM on Michicot Rd,"$200,000.00",NE,Hannes
30,"MANAWA, CITY OF",4838-02,Replace WM on Factory St,"$361,760.00",NE,Hannes
30,"MARSHALL, VILLAGE OF",5298-04,Replace Water Mains & Services,"$750,000.00",SC,Zettl
29,"CAMPBELLSPORT, VILLAGE OF",5467-02,Replace WM on STH 67,"$1,330,691.00",NE,Hannes
29,"MCFARLAND, VILLAGE OF",4990-02,Rehab/Upgrade Well #1,"$650,000.00",SC,Zettl
29,"MCFARLAND, VILLAGE OF",4990-03,Rehab/Upgrade Well #3,"$650,000.00",SC,Zettl
29,"MCFARLAND, VILLAGE OF",4990-04,Rehab/Upgrade Well #4,"$650,000.00",SC,Zettl
29,"NORTH FREEDOM, VILLAGE OF",4864-03,Replace Undersized WMs in High St. Area,"$760,000.00",SC,Zettl
29,"SOMERSET, VILLAGE OF",5498-06,Replace WMs on Church Hill Rd.,"$525,000.00",WC,Cameron
25,"BONDUEL, VILLAGE OF",5057-03,Watermain Replacement on STH 117,"$558,000.00",NE,Hannes
24,"CROSS PLAINS, VILLAGE OF",5337-03,"Construct New Well #3, Pump House, Possible Treatment","$2,500,000.00",SC,Zettl
24,"CROSS PLAINS, VILLAGE OF",5337-04,Well 1 rehab/upgrade,"$904,000.00",SC,Zettl
24,"CROSS PLAINS, VILLAGE OF",5337-05,Well 2 rehab/upgrade,"$904,000.00",SC,Zettl
20,"NEW GLARUS, VILLAGE OF",5623-02,Well 2 rehab/upgrades,"$350,000.00",SC,Zettl
20,"NEW GLARUS, VILLAGE OF",5623-03,Well 3 rehab/upgrades,"$300,000.00",SC,Zettl
15,"MAZOMANIE, VILLAGE OF",4948-02,Replace WM on Hudson St.,"$1,100,000.00",SC,Zettl
,"ARCADIA, CITY OF",4756U10,UNDETERMINED WM Extension across Turton Creek; Avalon Hills,"$425,000.00",WC,Cameron
,"ARCADIA, CITY OF",4756U09,UNDETERMINED WM on STH 95,"$250,000.00",WC,Cameron
,"ARLINGTON, VILLAGE OF",4758U10,UNDETERMINED Rehabilitate Well #3,"$500,000.00",SC,Zettl
,"AUGUSTA, CITY OF",5186U06,UNDETERMINED Reconstruct sewer near Well #9,"$130,000.00",WC,Cameron
,"BARNEVELD, VILLAGE OF",4763U03,"UNDETERMINED Construct 150,000-Gallon Ground Stoarage Tank","$2,425,000.00",SC,Zettl
,"BLUE MOUNDS, VILLAGE OF",4768U02,UNDETERMINED Replace Booster Station,"$1,500,000.00",SC,Zettl
,"BONDUEL, VILLAGE OF",5057U04,UNDETERMINED WM Loop between Mutzy Ln and N Wash St,"$240,240.00",NE,Hannes
,"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED Construct System-Well/Trtmt/Storage/Distr,"$9,000,000.00",WC,Cameron
,"CAMPBELL, TOWN OF",4778U01,UNDETERMINED Create New Water System to Address PFAs,"$41,615,000.00",WC,Cameron
,"CHETEK, CITY OF",4781U06,"UNDETERMINED New Well #3, wellhouse, treatment, SCADA","$1,500,000.00",NO,Andruczyk
,"CHETEK, CITY OF",4781U07,UNDETERMINED Replace Water Tower,"$2,375,500.00",NO,Cameron
,"DODGEVILLE, CITY OF",4795U03,UNDETERMINED New Booster/Tank/PRV: 2nd pressure Zone,"$500,000.00",SC,Zettl
,"DODGEVILLE, CITY OF",4795U06,UNDETERMINED Rehab/Upgrade Well #9,"$200,000.00",SC,Zettl
,"DODGEVILLE, CITY OF",4795U05,UNDETERMINED: Construct Elevated Storage Tank,"$2,500,000.00",SC,Zettl
,"DODGEVILLE, CITY OF",4795U04,UNDETERMINED Construct New Booster Station,"$1,500,000.00",SC,Zettl
,"DODGEVILLE, CITY OF",4795U08,UNDETERMINED Construct New Well #10,"$2,000,000.00",SC,Zettl
,"DOUSMAN, VILLAGE OF",5382U03,"UNDETERMINED Replace WMs on Ludwig, Edwards, Tabot, etc.","$2,500,000.00",SE,Zettl
,"EAGLE RIVER, CITY OF",5383U09,UNDETERMINED Construct New Well #4,"$1,781,000.00",NO,Andruczyk
,"EVANSVILLE, CITY OF",4803U05,"UNDETERMINED Treat Fe/Mn, Well #3","$2,000,000.00",SC,Zettl
,"EVANSVILLE, CITY OF",4803U06,"UNDETERMINED Treat Fe/Mn, Wells #1 and 2","$2,000,000.00",SC,Zettl
,"FRANKLIN, CITY OF1",5457U02,UNDETERMINED Construct Elevated Tank; Abandon Existing Tank,"$7,118,000.00",SE,Fuja
,"GALESVILLE, CITY OF",4809U03,UNDETERMINED Construct Looping Main,"$200,000.00",WC,Cameron
,"HILLSBORO, CITY OF",5492U04,UNDETERMINED Construct Well/House #4; Demo Existing Building,"$950,000.00",WC,Cameron
,"JUNCTION CITY, VILLAGE OF",4989U11,UNDETERMINED Construct Connecting Main for Well #6,"$421,000.00",WC,Andruczyk
,"LADYSMITH, CITY OF",5369U18,UNDETERMINED Construct STH27 WM Loop w/ River Crossing,"$553,209.00",NO,Andruczyk
,"MERRILL, CITY OF",5499U03,UNDETERMINED Construct 0.3MG Elevated Tank,"$1,800,000.00",NO,Andruczyk
,"MONTELLO, CITY OF",5528U01,"UNDETERMINED Construct Well #3, Well House","$1,500,000.00",NE,Hannes
,"NEW GLARUS, VILLAGE OF",5623U09,UNDETERMINED Construct Connecting Main,"$300,000.00",SC,Zettl
,"NEW GLARUS, VILLAGE OF",5623U07,UNDETERMINED Construct New Reservoir,"$2,000,000.00",SC,Zettl
,"NEW GLARUS, VILLAGE OF",5623U08,"UNDETERMINED Construct New Reservoir, Replace Reservoir","$2,000,000.00",SC,Zettl
,"NEW GLARUS, VILLAGE OF",5623U05,UNDETERMINED Replace Booster Station & Connecting Main,"$200,000.00",SC,Zettl
,"OMRO, CITY OF",5091U13,UNDETERMINED Construct New Well #4,"$775,000.00",NE,Hannes
,"PARDEEVILLE, VILLAGE OF",5424U03,"UNDETERMINED Construct Well #4, Wellhouse, Treatment","$1,800,000.00",SC,Zettl
,"POTOSI, VILLAGE OF",5604U03,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,Zettl
,"POTOSI, VILLAGE OF",5604U04,UNDETERMINED Construct Spruce Park Looping Main,"$210,000.00",SC,Zettl
,"RHINELANDER, CITY OF",5288U10,UNDETERMINED Construct Well/House #9 & connecting main,"$2,606,280.00",NO,Andruczyk
,"RIPON, CITY OF",5289U13,UNDETERMINED Replace WM Russell St.,"$200,000.00",NE,Hannes
,"ROME - ADAMS, TOWN OF",4895U04,UNDETERMINED Extend Water Service to Private Wells,"$4,677,000.00",WC,Cameron
,SHELBY SD #2,4902U06,UNDETERMINED Construct Arbor Hills Control Valve #1,"$715,000.00",WC,Cameron
,SHELBY SD #2,4902U07,UNDETERMINED Extend WM on Boma Road,"$850,000.00",WC,Cameron
,"SOMERSET, VILLAGE OF",5498U08,"UNDETERMINED Replace WMs on Main/River St, River Crossing","$281,000.00",WC,Cameron
,"SPENCER, VILLAGE OF",5436U07,UNDETERMINED Construct New Well/Treatment/SCADA,"$2,000,000.00",WC,Andruczyk
,"SUN PRAIRIE, CITY OF1",5576U06,UNDETERMINED Construct Well #11,"$2,230,000.00",SC,Zettl
,"TENNYSON, VILLAGE OF",5509U04,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,Zettl
,"TOMAHAWK, CITY OF",5342U05,"UNDETERMINED Construct New Well #6, well station, SCADA","$2,200,000.00",NO,Andruczyk
,"TOMAHAWK, CITY OF",5342U07,UNDETERMINED Replace WM on Nelson Dr,"$217,000.00",NO,Andruczyk
,"TURTLE LAKE, VILLAGE OF",5164U13,UNDETERMINED Construct new water tower,"$2,000,000.00",NO,Andruczyk
,"TWO RIVERS, CITY OF",4920U47,"UNDETERMINED Looping main, Riverview Dr to CO HWY VV","$175,000.00",NE,Hannes
,"UNION GROVE, VILLAGE OF",5165U04,UNDETERMINED Replace WM/Looping on Milldrum St,"$450,000.00",SE,Fuja
,"UNION GROVE, VILLAGE OF",5165U05,UNDETERMINED Replace Well #4 Pump; Rehab Treatment,"$700,000.00",SE,Fuja
,"VESPER, VILLAGE OF",5549U04,UNDETERMINED Construct Elevated Storage Tank,"$1,034,000.00",WC,Cameron
,"WESTBY, CITY OF",5440U06,UNDETERMINED Construct elevated storage reservoir in NW area,"$2,100,000.00",WC,Cameron
,"WESTON, VILLAGE OF1",4935U04,UNDETERMINED Construct Well #7,"$3,822,000.00",WC,Andruczyk
,"WESTON, VILLAGE OF1",4935U05,UNDETERMINED Construct Well #8,"$3,822,000.00",WC,Andruczyk
,"WYOCENA, VILLAGE OF",5343U01,UNDETERMINED Replace WMs along Polk St and old STH 44,"$301,000.00",SC,Zettl
,"YORKVILLE, VILLAGE OF",5585U01,UNDETERMINED Construct New Well #2,"$1,600,000.00",SE,Fuja
