Rank,Points,Project Number,Project Title,Applicant Name,County,Beneficial Population,Ownership,System Size,Disadvantaged,Project Type,Funding Category,Green Cost ($),Construction Start,Construction End,Design Start,Water/Sewer,PFA Code,CD Code,Audit,Plan,Compliance,Notes,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($),matching_id,Project Description
41,60,DW0060,Beaufort Place Water Main Replacement,Washington Suburban Sanitary Commission,Montgomery,570,PUBLIC,Large,Y,Transmission & Distribution,,,09/01/2026,01/31/2028,12/01/2021,Y,2,2,Y,Y,N,,MD0150005,,,"8,422,850","8,422,850",DW0060,"PROBLEM: AGING WATER MAINS SUBJECT TO INCREASING BREAKS & LEAKS; CONSTRICTED FLOW DUE TO IRON PIPES PROJECT: CONSTRUCT REPLACEMENT OF APPROX 2.52 MILES OF 4""-20"" WATER MAIN; NEEDED AND IN ACCORDANCE WITH ASSET MANAGEMENT PLANNING"
42,60,DW0069,Clear Spring Water Meters,Town of Clear Spring,Washington,1100,PUBLIC,Small,N,Transmission & Distribution,,,10/01/2025,06/30/2026,12/01/2024,Y,2,1,Y,N,N,,MD0210005,,,"364,266","364,266",DW0069,PROBLEM: TOWN CONTRACTS OUT WATER SYSTEM AND METERS TO WASHINGTON COUNTY PROJECT: CONSTRUCT REPLACEMENT OF 277 WATER METERS SO TOWN CAN READ THEM VIA RADIO INSTEAD OF CONTRACTING THE METER READING
43,60,DW0006,Lead Service Line Replacement - Town of Hurlock,Town of Hurlock,Dorchester,2388,PUBLIC,Small,Y,Transmission & Distribution,LSL,,12/01/2026,12/31/2027,04/01/2026,Y,2,1,N,N,N,,MD0090005,,Y,"1,227,600","1,227,600",DW0006,"PROBLEM: POTENTIAL LCRR NON-COMPLIANCE OF WATER DISTRIBUTION NETWORK PROJECT: P/D/C-REPLACEMENT OF APPROX 180 LSL WITH COPPER, PVC, OR HDPE FOR LCR COMPLIANCE"
44,60,DW0034,Main Service Lines Replacement - Havre de Grace,City of Havre de Grace,Harford,3350,PUBLIC,Large,N,Transmission & Distribution,,,05/01/2026,05/31/2027,06/01/2021,Y,Y,1,Y,Y,N,,MD0120012,,,"3,323,750","3,249,750",DW0034,"PROBLEM: WATER LINES ARE DETERIORATING CAUSING PRESSURE/COMPLIANCE ISSUES & CONTAMINATION RISK PROJECT: P/D/C-REPLACEMENT OF WATER MAINS, DISTRIBUTION LINES, AND LATERALS IN CENTRAL HAVRE DE GRACE TO PREVENT POLLUTION"
45,60,DW0004,Lead Service Line Replacement - Town of Indian Head,Town of Indian Head,Charles,5003,PUBLIC,Small,N,Transmission & Distribution,LSL,,12/01/2026,06/30/2027,04/01/2026,Y,Y,1,N,N,N,,MD0080020,,Y,"1,208,500","1,208,500",DW0004,"PROBLEM: ASSIST A POTENTIALLY NON-COMPLIANT WATER SYSTEM ACHIEVE LCRR COMPLIANCE PROJECT: P/D/C-REPLACE APROX. 175 LEAD/GALVANIZED IRON LINES WITH COPPER, PVC OR HDPE PIPES"
46,60,DW0086,Easton Utilities Water Main Replacements,Easton Utilities Commission,Talbot,21000,PUBLIC,Large,Y,Transmission & Distribution,,,10/01/2025,03/31/2026,01/01/2025,Y,Y,1,Y,N,N,,MD0200003,,,"1,220,200","1,220,200",DW0086,"PROBLEM: MULTIPLE BREAKS DUE TO DETERIORATED PIPES; WATER SERVICE DISRUPTIONS; PRESSURE LOSSES CAUSING POTENTIAL FOR BACTERIA GROWTH PROJECT: P/D/C-REMOVE & REPLACE JUDAS ST(750 LF 6"") CAST IRON & PORT ST(680 LF 12"") PIPE W PVC; FIRE HYDRANTS; REPLACE VALVES"
47,55,DW0007,Vienna Water Treatment Plant and Wells Replacement Project,Commissioners of Vienna,Dorchester,600,PUBLIC,Small,N,Source,,,01/01/2027,03/01/2028,03/01/2025,Y,2,1,N,N,N,,MD0090008,,,"3,436,598","3,428,265",DW0007,PROBLEM: OLD WTP W/CHLORINATION/FLUORIDATION ISSUES; CONTROL SYSTEMS CORRODING; IRON EXCEEDANCES; HIGH MANGANESE PROJECT: D/C-NEW WTP NEAR WATER TOWER W/SCADA; 2 NEW WELLS IN ONE OF FOUR DEEPER AQUIFIERS
48,55,DW0065,Town of Grantsville Well Project,Town of Grantsville,Garrett,1000,PUBLIC,Small,Y,Source,,,08/01/2025,10/31/2025,01/01/2024,Y,2,2,N,N,N,,MD0110005,,,"1,276,000","1,276,000",DW0065,PROBLEM: WATER SUPPLY INSUFFICIENT TO MEET CURRENT AND FUTURE NEEDS PROJECT: P/D/C-REPAIR/REHAB TO EXISTING WELL 6 AND 7; CREATE NEW WELL 8 AS PRIMARY WATER SOURCE; WELL 7 TO BE UTILIZED AS A BACKUP
49,55,DW0009,Willards LCRR Inventory Field Investigation,The Town of Willards,Wicomico,1218,PUBLIC,Small,Y,Transmission & Distribution,LSL,,02/01/2026,05/01/2026,07/01/2025,Y,Y,1,N,N,N,,MD0220007,,Y,"276,100","276,100",DW0009,PROBLEM: 140 POTENTIAL LSL OF PRE 1970 STRUCTURES MAY REQUIRE LEAD ABATEMENT PROJECT: D/C-DO FIELD INVESTIGATIONS OF 140 PROPERTIES TO IDENTIFY ANY LEAD IN WATER SYSTEM & NOTIFY USERS
50,55,DW0064,Town of Oakland's Lead Service Line Replacement - Phase 1,Town of Oakland,Garrett,1350,PUBLIC,Small,Y,Transmission & Distribution,LSL,,01/01/2027,10/31/2028,10/01/2026,Y,Y,2,N,N,N,,MD0110008,,Y,"1,275,000","1,275,000",DW0064,PROBLEM: LSL SURVEY IN OAKLAND HAS IDENTIFIED LEAD SERVICE LINES AND LINES OF UNKNOWN MATERIAL PROJECT: D/C-REPLACE 106 LEAD SERVICE LINES ACROSS OAKLAND'S TOWN WATER SYSTEM
51,55,DW0052,Greensboro Lead Service Line Investigation,Town of Greensboro,Caroline,2300,PUBLIC,Small,Y,Transmission & Distribution,LSL,,,,,Y,2,1,N,N,N,,MD0050003,,Y,"80,000","75,000",DW0052,PROBLEM: LEAD SERVICE LINE INVENTORY FOR TOWN OF GREENSBORO; 608 OF THE 755 SERVICE LINES IN GREENSBORO HAVE AN UNKNOWN STATUS PROJECT: IDENTIFY THE MATERIAL COMPOSITION OF THE WATER LINES THAT WERE UNIDENTIFIED IN THE INITIAL LEAD SERVICE LINE INVENTORY
52,55,DW0031,Lead Service Line Replacement - Town of Myersville,Town of Myersville,Frederick,2800,PUBLIC,Small,N,Transmission & Distribution,LSL,,12/01/2026,06/30/2027,04/01/2026,Y,2,1,Y,Y,N,,MD0100020,,Y,"67,900","67,900",DW0031,"PROBLEM: TOWN'S WATER SYSTEM INCLUDES ABOUT 10 GALVANIZED AND LEAD SERVICE LINES PROJECT: P/D/C-REPLACE LEAD AND GALVANIZED SERVICE LINES WITH COPPER, PVC, OR HDPE TO ADDRESS LEAD AND COPPER RULE"
53,55,DW0029,Lead Service Line Replacement - Town of Emmitsburg,Town of Emmitsburg,Frederick,4298,PUBLIC,Small,N,Transmission & Distribution,LSL,,12/01/2026,12/31/2027,04/01/2026,Y,2,1,Y,Y,N,,MD0100010,,Y,"1,098,020","1,098,020",DW0029,PROBLEM: TOWN HAS LEAD SERVICE LINES; AIMS TO HELP POTENTIALLY NON-COMPLIANT SYSTEM MEET LCRR RULES PROJECT: P/D/C-REPLACE APPROXIMATELY 161 LEAD OR GALVANIZED WATER SERVICE LINES IN TOWN'S DISTRIBUTION SYSTEM
54,55,DW0046,WC-1280 Glenmore Ave & Vicinity Water Main Replacements,Mayor and City Council of Baltimore,Baltimore City,4863,PUBLIC,Large,Y,Transmission & Distribution,,,07/01/2027,06/30/2029,07/01/2025,Y,Y,1,Y,Y,N,,MD0300002,,,"14,945,675","11,834,649",DW0046,"PROBLEM: AGED UNLINED CAST IRON PIPES DETERIORATING CAUSING POOR WATER QUALITY, BACTERIAL GROWTH AND REDUCED HYDRAULIC CAPACITY PROJECT: CONSTRUCT REHAB/REPLACE APPROXIMATELY 18,500 LF OF 4""-12"" DIAMETER DRINKING WATER MAINS, VALVES, FIRE HYDRANTS, ETC."
55,55,DW0047,WC-1285R Caroline Street & Vicinity Water Main Replacements,Mayor and City Council of Baltimore,Baltimore City,5585,PUBLIC,Large,Y,Transmission & Distribution,,,03/01/2026,09/30/2027,09/01/2024,Y,Y,1,Y,Y,N,,MD0300002,,,"24,513,711","12,896,853",DW0047,"PROBLEM: AGED UNLINED CAST IRON PIPES DETERIORATING CAUSING POOR WATER QUALITY, BACTERIAL GROWTH AND REDUCED HYDRAULIC CAPACITY PROJECT: CONSTRUCT REHAB/REPLACE APPROXIMATELY 19,590 LF OF 3""-12"" DIAMETER DRINKING WATER MAINS, VALVES, FIRE HYDRANTS, ETC."
56,55,DW0083,Town of Centreville Lead Service Line Replacement,Town of Centreville,Queen Anne's,7118,PUBLIC,Small,N,Transmission & Distribution,LSL,,07/01/2026,10/31/2028,10/01/2025,Y,Y,2,Y,N,N,,MD0170001,,Y,"1,689,600","1,689,600",DW0083,PROBLEM: TOWN TRYING TO COMPLY WITH LCCR; LINES BUILT BETWEEN 1913-85; PROTECT PUBLIC HEALTH PROJECT: P/D/C-REPLACEMENT OF APPROX 600 LSL; PROJECT ALSO OFFERS WATER REUSE & CONSERVATION; INSTALL MEMBRANE BIO FILTRATION
57,55,DW0030,Town of Thurmont Lead and Copper Service Line Replacement,Town of Thurmont,Frederick,7875,PUBLIC,Small,N,Transmission & Distribution,LSL,,12/01/2026,12/31/2027,04/01/2026,Y,2,1,Y,N,N,,MD0100023,,Y,"1,767,700","1,767,700",DW0030,"PROBLEM: APPROXIMATELY 235 SERVICE LINES ARE LEAD OR GALVANIZED; NEED TO BE REPLACED FOR LEAD AND COPPER RULE COMPLIANCE PROJECT: P/D/C-REPLACE EXISTING LEAD OR GALVANIZED SERVICE LINES WITH COPPER, PVC, OR HDPE PIPES"
58,55,DW0045,WC-1271 Cross St & Vicinity Water Main Replacements,Mayor and City Council of Baltimore,Baltimore City,9400,PUBLIC,Large,Y,Transmission & Distribution,,,01/01/2028,02/28/2030,09/01/2025,Y,Y,1,Y,Y,N,,MD0300002,,,"25,531,223","21,310,358",DW0045,"PROBLEM: AGED UNLINED CAST IRON PIPES DETERIORATING CAUSING POOR WATER QUALITY, BACTERIAL GROWTH AND REDUCED HYDRAULIC CAPACITY PROJECT: CONSTRUCT REHAB/REPLACE APPROXIMATELY 31,070 LF OF 4""-20"" DIAMETER DRINKING WATER MAINS, VALVES, FIRE HYDRANTS, ETC."
59,55,DW0061,City of Bowie Water Main Rehabilitation Project,City of Bowie,Prince George's,27000,PRIVATE,Large,Y,Transmission & Distribution,,,11/01/2027,06/30/2028,,Y,Y,2,Y,Y,N,,MD0160002,,,"4,500,000","4,500,000",DW0061,"PROBLEM: AGING WATER MAIN INFRASTRUCTURE WITH FREQUENT BREAKS AND CORRODED PIPES IS A PUBLIC HEALTH CONCERN; LOW FLOWS PROJECT: CONSTRUCT REPLACEMENT OF WATER LINES, METERS AND VALVES TO ENSURE PROPER OPERATION AND DELIVERY OF WATER"
60,55,DW0071,RC Willson Transmission Main Replacement,City of Hagerstown,Washington,108600,PUBLIC,Large,Y,Transmission & Distribution,,,12/01/2026,12/31/2028,11/01/2025,Y,2,1,Y,Y,N,,MD0210010,,,"17,250,000","15,000,000",DW0071,"PROBLEM: 95 YEAR OLD WATER SYSTEM IS DETERIORATING PROJECT: CONSTRUCT REPLACEMENT OF 6,000 LF OF TWO PARALLEL 24-INCH WATER TRANSMISSION MAINS"
61,55,DW0041,WC-1243 Cromwell Pump Station Improvements,Mayor and City Council of Baltimore,Baltimore City,1800000,PUBLIC,Large,Y,Transmission & Distribution,,,06/01/2025,06/30/2027,06/01/2015,Y,Y,1,Y,Y,Y,,MD0300002,,,"72,821,687","12,032,359",DW0041,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM"
62,55,DW0097,WC-1243 Cromwell Pump Station Improvements,Baltimore County,Baltimore County,1800000,PUBLIC,Large,Y,Transmission & Distribution,,,06/01/2025,06/30/2027,06/01/2015,Y,Y,1,Y,Y,Y,Joint project w/ Baltimore City,MD0300002,,,0,"48,790,530",DW0097,"PROBLEM: AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER PROJECT: CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. CHLORINATION SYSTEM"
63,50,DW0076,Danville Road Water Main Replacement,Washington Suburban Sanitary Commission,Prince George's,118,PUBLIC,Large,Y,Transmission & Distribution,LSL,,08/01/2026,11/30/2027,10/01/2021,Y,2,2,Y,Y,N,,MD0150005,,Y,"10,645,006","10,645,006",DW0076,"PROBLEM: AGING CAST IRON WATER MAINS DETERIORATING; FREQUENT BREAKS AND LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF TRANS/DISTRIBUTION WATER MAINS; 2.5 MILES OF 8"" TO 24"" PIPE TO BE REPLACED"
64,50,DW0084,Jones Creek Watermain Crossing,Somerset County Sanitary District Inc.,Somerset,470,PRIVATE,Small,Y,Transmission & Distribution,,,08/01/2026,11/30/2026,09/01/2025,Y,Y,1,N,N,N,,MD0190002,,,"345,200","335,200",DW0084,PROBLEM: DW MAIN IS OLD AND DETERIORATING; HAS FAILED IN THE PAST RELEASING DW TO THE CREEK; POSES MAINTENANCE RISK PROJECT: P/D/C-REPLACEMENT OF TRANS/DISTRIBUTION WATERMAIN ADJACENT TO/CROSSING US ROUTE 13 AND JONES CREEK
65,50,DW0020,Berlin Lead Service Line Replacement Phase 2,Town of Berlin,Worcester,920,PUBLIC,Small,Y,Transmission & Distribution,LSL,,11/01/2026,04/30/2027,06/01/2025,Y,Y,1,N,N,N,,MD0230001,,Y,"1,838,520","1,838,520",DW0020,"PROBLEM: TOWN REPLACING LSL TO MEET EPA AND MDE MCL OF ZERO. PROJECT: D/C-REPLACE REMAINING APROX. 333 LSL CONTAINING LEAD GOOSE NECK, GALVANIZED PIPES, & OTHER DEFINING FACTORS"
66,50,DW0067,Town of Sharpsburg Water Service Lead Abatement Project,Washington County Board of County Commissioners,Washington,3750,PUBLIC,Small,N,Transmission & Distribution,LSL,,06/01/2025,11/30/2025,01/01/2025,Y,2,1,Y,Y,N,,MD0210017,,Y,"1,250,000","750,000",DW0067,PROBLEM: EXISTING WATER SYSTEM CONTAINS LEAD COMPONENTS IN METER/CRADLE AND FITTINGS PROJECT: CONSTRUCT REPLACEMENT OF LEAD-CONTAINING COMPONENTS IN METERS AND ASSOCIATED FITTINGS
67,50,DW0089,Midland/Gilmore Raw Water Storage Tank,Town of Lonaconing,Allegany,4700,PUBLIC,Small,Y,Storage,,,06/01/2026,05/31/2027,09/01/2025,Y,2,2,N,N,Y,,MD0010018,,,"12,000,000","12,000,000",DW0089,"PROBLEM: DAM INSPECTION CLASSIFIED A HIGH HAZARD POTENTIAL AND RATED UNSAFE PROJECT: DECOMMISSION EXISTING MIDLAND GILMORE RESERVOIR, RESTORE ELK LICK RUN, AND CONSTRUCT 6 MG RAW WATER STORAGE TANK"
68,50,DW0088,Town of Lonaconing New Georges Creek Water Line,Town of Lonaconing,Allegany,4700,PUBLIC,Small,Y,Transmission & Distribution,,,01/01/2026,05/31/2026,08/01/2025,Y,Y,2,N,N,N,,MD0010018,,,"1,315,000","1,315,000",DW0088,"PROBLEM: FAILING WATER LINE FROM MIDLAND TO BARTON AFFECTING 19 TO 23 SVC CONN PROJECT: P/D/C-REPLACE APPROXIMATELY 4,300 LF 8-IN WATER MAIN AND 19 TO 23 SERVICE CONNECTIONS"
69,50,DW0003,Well 13 Booster Station - Town of Indian Head,Town of Indian Head,Charles,5003,PUBLIC,Small,N,Transmission & Distribution,,,12/01/2026,12/31/2027,04/01/2026,N,Y,1,N,N,N,,MD0080020,,,"1,283,150","1,283,150",DW0003,"PROBLEM: ISSUES WITH PS & WELL HOUSE OPERABILITY, STRUCTURAL CONDITION AND CHEMICALS; PRESSURE ISSUES WITH ANCHOR PNT DEVELOPMENT PROJECT: P/D/C-DESIGN & CONSTRUCT, WATER BOOSTER PS, TIE-IN-POINTS, PIPES, ACCESS DRIVE & PARKING, SETBACK LINES & ZONING INFORMATION"
70,50,DW0050,Denton Water System LCRI: Lead Line Replacement,Town of Denton,Caroline,6343,PUBLIC,Small,Y,Transmission & Distribution,LSL,,08/01/2026,12/31/2037,03/01/2025,Y,Y,1,N,N,N,,MD0050001,,Y,"18,519,000","18,454,000",DW0050,"PROBLEM: LEAD IN DRINKING WATER; TO COMPLY WITH LEAD AND COPPER RULE IMPROVEMENT (LCRI) REQUIREMENTS SET BY EPA PROJECT: D/C-REPLACEMENT OF APPROXIMATELY 596 SERVICE LINES; EACH LINE IS APPROXIMATELY 75 LF, 1.5"" DIAMETER"
71,50,DW0027,Town of Mount Airy Lead Service Line Replacement Program,Town of Mount Airy,Carroll,7000,PUBLIC,Small,N,Transmission & Distribution,LSL,,07/01/2025,07/31/2026,03/01/2025,Y,2,1,N,N,N,,MD0060007,,Y,"283,347","283,347",DW0027,PROBLEM: BASELINE LEAD SERVICE LINE INVENTORY IDENTIFIED 29 GALVANIZED SERVICE LINES TO BE REPLACED PROJECT: P/D/C-REPLACE 29 GALVANIZED SERVICE LINES TO COMPLY WITH REQUIREMENTS UNDER THE LSLR AND NOTIFICATION ACT
72,50,DW0026,Lead Service Line Replacement - City of Taneytown,City of Taneytown,Carroll,8655,PUBLIC,Small,Y,Transmission & Distribution,LSL,,12/01/2026,12/31/2027,04/01/2026,Y,Y,1,Y,Y,N,,MD0060012,,Y,"1,602,700","1,602,700",DW0026,"PROBLEM: TOWN SEEKS TO ACTIVELY COMPLY WITH LCRR RULE AND IMPROVE DRINKING WATER QUALITY PROJECT: P/D/C-REPLACE APPROXIMATELY 235 LEAD SERVICE LINES WITH COPPER, PVC, OR HDPE PIPE"
73,50,DW0025,Well 14 PFAS Treatment Facility - City of Taneytown,City of Taneytown,Carroll,8655,PUBLIC,Small,Y,Treatment,PFAS/EC,,12/01/2026,12/31/2027,04/01/2026,Y,Y,1,Y,Y,N,,MD0060012,Y,,"1,223,300","1,223,300",DW0025,"PROBLEM: WELL 14 TESTED ABOVE INTERIM HEALTH ADVISORY LEVELS FOR PFOA AND PFOS; RISKS NON-COMPLIANCE WITH SAFE DRINKING WATER ACT PROJECT: P/D/C-PROJECT INCLUDES PILOT TESTING, ACQUISITION AND INSTALLATION OF GAC FILTRATION SYSTEM AT WELL 14 FACILITY"
74,45,DW0051,Town of Preston Lead Service Line Replacement Project,Town of Preston,Caroline,723,PUBLIC,Small,N,Transmission & Distribution,LSL,,04/01/2027,12/31/2027,10/01/2026,Y,2,1,N,N,N,,MD0050005,,Y,"1,968,000","1,968,000",DW0051,PROBLEM: 164 KNOWN LEAD SERVICE LINES & SOME LINES ARE UNKNOWN; REPLACEMENT TO COMPLY WITH REVISED LEAD AND COPPER RULE PROJECT: D/C-REPLACEMENT OF APROXIMATELY 164 KNOWN LEAD SERVICE LINES FOUND DURING LSL INVENTORY
75,45,DW0024,Town of Union Bridge Lead Service Line Inventory,Town of Union Bridge,Carroll,1200,PUBLIC,Small,Y,Transmission & Distribution,LSL,,01/01/2026,03/31/2026,12/01/2024,Y,Y,1,Y,Y,N,,MD0060013,,Y,"55,000","55,000",DW0024,PROBLEM: MATERIAL OF 52 SERVICE LINES REMAINS UNKNOWN AFTER INITIAL MATERIAL RECORDS REVIEW; NEED TO COMPLY WITH LCRR REGULATIONS PROJECT: P/C-EXCAVATE AND IDENTIFY 52 WATER LINES OF UNKNOWN MATERIAL; UPDATE LSL INVENTORY
76,45,DW0048,WC-1417 Ridgely's Delight Water Main Replacement,Mayor and City Council of Baltimore,Baltimore City,1300,PUBLIC,Large,Y,Transmission & Distribution,,,07/01/2027,06/30/2029,07/01/2025,Y,Y,1,Y,Y,N,,MD0300002,,,"8,091,145","6,119,591",DW0048,"PROBLEM: AGED UNLINED CAST IRON PIPES DETERIORATING CAUSING POOR WATER QUALITY, BACTERIAL GROWTH AND REDUCED HYDRAULIC CAPACITY PROJECT: CONSTRUCT REHAB/REPLACE APPROXIMATELY 7,300 LF OF 4""-12"" DIAMETER DRINKING WATER MAINS, VALVES, FIRE HYDRANTS, ETC."
77,45,DW0002,Waldorf System Service Line Verification,Charles County,Charles,4000,PUBLIC,Large,N,Transmission & Distribution,LSL,,10/01/2026,12/31/2027,10/01/2025,Y,2,1,N,N,N,,MD0080049,,Y,"2,015,712","2,015,712",DW0002,"PROBLEM: NON-COMPLIANCE WITH LCRR DUE TO 2,613 SERVICE LINES OF UNKNOWN MATERIAL. PROJECT: P/D/C-ID & REPORT MATERIAL; VERIFY INFO; SECURE PITCHER FILTERS FOR LSL OR GRR; EDUCATE CUSTOMERS; BID & PROCUREMENT"
78,45,DW0098,Town of Mount Airy Lead Service Line Identification,Town of Mount Airy,Carroll,7000,PUBLIC,Small,N,Transmission & Distribution,LSL,,06/01/2026,06/30/2027,04/01/2026,Y,2,1,N,N,N,,MD0060007,,Y,"1,192,294","1,192,294",DW0098,PROBLEM: ABOUT 25% OF TOTAL SERVICE LINES COMPOSED OF UNKNOWN MATERIAL BASED ON 2024 PRELIMINARY INVENTORY AND MAY CONTAIN LEAD PROJECT: P/D/C-PERFORM TEST HOLES BY VACUUM EXCAVATION TO IDENTIFY MATERIAL IN THE RELEVANT SERVICE LINES
79,45,DW0008,Fruitland LCRR Inventory Field Investigation,City of Fruitland,Wicomico,8908,PUBLIC,Small,Y,Transmission & Distribution,LSL,,04/01/2026,09/30/2026,07/01/2025,Y,Y,1,N,N,N,,MD0220008,,Y,"912,000","912,000",DW0008,PROBLEM: 880 POTENTIAL LSL OF PRE 1970 PROPERTIES; UNKNOWN LEAD EXPOSURE OF SUCH PROPERTIES LEADING TO LCRR NON-COMPLIANCE PROJECT: D/C-FIELD INVESTIGATIONS ON 880 PROPERTIES TO IDENTIFY LEAD & NOTIFY RESIDENTS
80,45,DW0042,WC-1427 Patterson Park East and Vicinity Water Main Replacements,Mayor and City Council of Baltimore,Baltimore City,9000,PUBLIC,Large,Y,Transmission & Distribution,,,07/01/2027,07/31/2029,07/01/2025,Y,Y,1,Y,Y,N,,MD0300002,,,"19,704,311","15,635,440",DW0042,"PROBLEM: AGED UNLINED CAST IRON PIPES DETERIORATING CAUSING POOR WATER QUALITY, BACTERIAL GROWTH AND REDUCED HYDRAULIC CAPACITY PROJECT: CONSTRUCT REHAB/REPLACE APPROXIMATELY 23,000 LF OF 4""-16"" DIAMETER DRINKING WATER MAINS, VALVES, FIRE HYDRANTS, ETC."
81,45,DW0040,Service Line Stewardship Program - Howard County,Howard County DPW,Howard,10500,PUBLIC,Large,Y,Transmission & Distribution,LSL,,10/01/2026,12/31/2030,10/01/2025,Y,2,1,N,N,N,,MD0130002,,Y,"10,841,745","10,841,745",DW0040,PROBLEM: SOME WATER SERVICE LINES ARE OF UNKNOWN MATERIAL; NEED TO VERIFY AND ADDRESS PRESENCE OF LEAD OR GALVANIZED PIPES PROJECT: P/D/C-CONDUCT LSL INVENTORY IN EASTERN HOWARD COUNTY; REPLACE WATER LINES IN PRIORITY AREAS FIRST AFTER INVENTORY
82,45,DW0079,Lead Service Line Inventory - WSSC,Washington Suburban Sanitary Commission,WSSC,13250,PUBLIC,Large,N,Transmission & Distribution,LSL,,02/01/2025,10/30/2037,07/01/2021,Y,2,2,Y,Y,N,,MD0150005,,Y,"34,250,000","21,121,174",DW0079,"PROBLEM: OUT OF 485,000 RECORDS REVIEWED THERE ARE 11,858 SERVICES OF UNKNOWN MATERIAL AND 1,385 SERVICES CLASSIFIED AS GALVANIZED PROJECT: P-QA/QC OF ALL REMAINING UNKNOWNS W TECH VALIDATION & FIELD VALIDATION; GOAL TO IMPLEMENT AND EXECUTE RISK MITIGATION"
83,45,DW0081,Lead Service Line Replacement - WSSC,Washington Suburban Sanitary Commission,WSSC,13250,PUBLIC,Large,N,Transmission & Distribution,LSL,,04/01/2025,10/31/2037,07/01/2021,Y,2,2,Y,Y,N,,MD0150005,,Y,"155,173,560","127,963,994",DW0081,"PROBLEM: OUT OF 485,000 RECORDS EVALUATE, WSSC ANTICIPATES 5,300 SERVICE LINES WILL BE IDENTIFIED AS LSL OR GRR FOR REPLACEMENT PROJECT: C-REPLACEMENT OF KNOWN LSL/GRR; 5 YEAR PLAN/BUDGET; PRIVATE & PUBLIC MITIGATION; EDUCATION & FOCUS ON VULNERABLE POPULATIONS"
84,45,DW0080,Potomac Main Zone Pipeline Project,Washington Suburban Sanitary Commission,WSSC,1582300,PUBLIC,Large,N,Transmission & Distribution,,,06/01/2028,06/30/2032,10/01/2024,Y,2,2,Y,Y,N,,MD0150005,,,"121,388,000","121,388,000",DW0080,"PROBLEM: AGING CAST IRON WATER MAINS NEED REPLACEMENT; 2.1 MILE OF LINE TO BE ADDRESSED; FREQUENT BREAKS, LEAKS; PUBLIC HEALTH CONCERN PROJECT: P/D/C-PROVIDES REDUNDANT FINISHED WATER MAINS ENSURING RELIABLE WATER SUPPLY TO 1.36M POP; PS & DISCHARGE MAINS REPLACED"
85,40,DW0018,Newark Lead/Copper & Backflow Prevention Water Service Replacement,Worcester County,Worcester,445,PUBLIC,Small,Y,Transmission & Distribution,LSL,,04/01/2026,09/30/2026,06/01/2025,Y,2,1,N,N,N,,MD0230002,,Y,"613,380","613,380",DW0018,"PROBLEM: NEWARK IS NOT COMPLIANT. PIT SETTERS DO NOT STOP BACK SIPHONING. OLD PIPES CAUSING LOW PRESSURE, PIPE FAILURE & HEALTH HAZARD PROJECT: D/C-REPLACE COPPER SETTERS WITH DOUBLE CHECK VALVES; CONNECT ALL NEWARK ROAD & LANGMAID ROAD SERIVICES TO 8"" PVC WM."
86,40,DW0059,Lead and Copper Line Replacement - Town of Rock Hall,Town of Rock Hall,Kent,2525,PUBLIC,Small,Y,Transmission & Distribution,LSL,,04/01/2027,12/31/2027,10/01/2026,Y,2,1,N,N,N,,MD0140006,,Y,"960,000","960,000",DW0059,PROBLEM: TOWN CURRENTLY HAS 800 LINES OF LEAD OR UNKNOWN MATERIAL; REPLACEMENT NEEDED TO COMPLY WITH THE REVISED LEAD & COPPER RULE PROJECT: D/C-REPLACE A PORTION OF THE LEAD SERVICE LINES (80 LINES OR10%/YR FOR 10 YEARS) INDENTIFIED DURING THE LSL INVENTORY
87,40,DW0070,Town of Smithsburg Water System Improvements,Town of Smithsburg,Washington,3250,PUBLIC,Small,N,Transmission & Distribution,,"$1,000,000",08/01/2026,05/31/2027,07/01/2025,Y,Y,2,N,N,N,Green (G),MD0210018,,,"7,228,000","6,327,800",DW0070,"PROBLEM: INADEQUATE FLOW AND PRESSURE TO MAINTAIN FIRE PROTECTION FOR MUCH OF TOWN PROJECT: P/D/C-REPLACEMENT OF 3,915LF OF 12"", 7,535LF OF 8"", 230LF OF 6"" WATERLINES & 26 HYDRANTS; GREEN INFRA WHERE LINES REPLACED"
88,40,DW0072,Service Line Material Identification - City of Hagerstown,City of Hagerstown,Washington,40000,PUBLIC,Large,Y,Transmission & Distribution,LSL,,03/01/2026,12/31/2030,09/01/2024,Y,2,2,N,N,N,,MD0210010,,Y,"15,358,619","14,908,618",DW0072,"PROBLEM: UNKNOWN MATERIAL IN HAGERSTOWN'S WATER SERVICE AREA; TOTAL OF 17,161 ESTIMATED LINES OF UNKNOWN MATERIAL PROJECT: P/D/C-IDENTIFY UNKNOWN LINES USING CUSTOMER SURVEYS, FIELD INSPECTIONS AND OTHER METHODS"
